읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,184434,122856,2184,46443,31967,10289,1131,1698,502,8045,1154,5763,192,46,68,959,67,87,1664,81,62,201,294,36,181,306,447,891,737,54,183,423,93,29,145,156,133,116711,6145,61578
거소·선상투표,,412,397,15,120,101,30,8,5,4,20,5,8,0,0,14,0,2,0,8,2,1,1,4,0,3,0,1,6,0,1,2,4,1,0,1,2,0,369,28,15
관외사전투표,,7086,7084,218,1783,2224,746,31,84,18,492,16,425,36,5,8,81,1,8,61,3,7,9,34,3,19,15,35,62,117,4,16,32,18,2,7,18,7,6645,439,2
재외투표,,434,97,2,10,42,7,1,2,0,6,0,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,95,2,337
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주문진읍,소계,14448,8379,163,3699,1830,431,109,97,64,475,119,326,8,9,1,53,4,2,99,10,10,13,11,4,16,22,32,72,42,2,19,27,7,4,16,13,8,7817,562,6069
,관내사전투표,2431,2431,39,1013,653,139,26,25,13,117,23,142,2,3,0,13,0,0,19,2,2,4,7,1,3,3,8,19,5,1,6,4,2,2,1,3,1,2301,130,0
,주문진읍제1투,2339,1117,21,534,189,50,19,14,11,67,22,36,0,0,0,7,3,0,9,1,4,0,2,1,2,1,6,14,3,0,2,3,1,0,2,4,0,1028,89,1222
,주문진읍제2투,2611,1123,22,477,257,49,16,14,11,65,23,24,2,2,0,9,0,0,11,2,3,1,1,0,3,4,6,8,7,0,3,5,1,0,2,1,2,1031,92,1488
