읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,70042,43966,907,17201,11847,3977,314,301,71,2523,327,2075,76,17,15,454,13,28,633,27,20,46,103,6,32,111,133,170,258,12,26,113,35,8,31,34,31,41975,1991,26076
거소·선상투표,,349,317,11,73,88,25,4,1,3,27,5,19,3,0,1,6,0,1,2,2,1,1,2,0,1,0,1,2,1,0,0,0,1,0,0,2,0,283,34,32
관외사전투표,,3413,3413,97,965,1054,386,13,23,6,208,11,209,21,5,2,46,1,6,36,3,1,6,15,0,7,10,12,16,40,1,4,13,2,1,4,5,4,3233,180,0
재외투표,,149,28,0,6,9,5,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,121
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영랑동,소계,4702,3183,62,1327,850,258,28,23,6,157,33,136,2,0,3,31,2,2,30,0,0,4,5,0,2,3,8,14,13,0,3,18,4,2,2,5,2,3035,148,1519
,관내사전투표,1454,1454,20,523,460,144,11,8,2,69,7,91,1,0,2,13,1,1,6,0,0,1,2,0,1,0,5,8,10,0,0,5,2,0,1,1,2,1397,57,0
,영랑동제1투,1278,709,20,321,168,53,10,5,2,36,10,13,1,0,0,4,0,0,5,0,0,1,1,0,1,0,0,1,1,0,3,3,0,1,0,0,0,660,49,569
,영랑동제2투,1970,1020,22,483,222,61,7,10,2,52,16,32,0,0,1,14,1,1,19,0,0,2,2,0,0,3,3,5,2,0,0,10,2,1,1,4,0,978,42,950
동명동,소계,3080,1799,40,819,437,130,16,9,5,93,19,71,1,0,0,26,0,0,18,1,0,1,4,0,1,4,2,5,13,0,1,3,0,0,0,0,0,1719,80,1281
,관내사전투표,703,703,9,310,184,58,6,0,2,42,6,38,0,0,0,8,0,0,4,0,0,0,4,0,0,1,0,3,4,0,0,1,0,0,0,0,0,680,23,0
,동명동제1투,1624,750,21,316,184,56,7,7,1,41,9,23,1,0,0,17,0,0,8,1,0,1,0,0,1,1,2,1,8,0,1,2,0,0,0,0,0,709,41,874
,동명동제2투,753,346,10,193,69,16,3,2,2,10,4,10,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,330,16,407
금호동,소계,5516,3434,73,1587,772,258,38,12,4,185,30,137,5,1,1,33,0,1,59,1,2,6,6,1,3,10,8,12,13,0,0,4,4,0,3,3,2,3274,160,2082
,관내사전투표,1428,1428,27,577,380,134,18,4,2,79,16,76,2,0,1,12,0,0,11,0,0,3,3,0,2,1,3,6,1,0,0,1,2,0,2,2,1,1366,62,0
