읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,38896,24991,623,9485,6485,1892,235,234,80,1279,216,880,71,16,14,257,24,21,418,21,21,29,72,10,36,83,98,151,125,9,26,98,32,14,33,31,31,23150,1841,13905
거소·선상투표,,608,599,19,106,116,29,9,5,1,55,9,14,7,0,5,14,6,4,1,2,2,3,7,4,0,4,4,11,5,1,1,3,1,1,0,0,1,450,149,9
관외사전투표,,1849,1845,49,527,560,178,6,10,4,124,4,94,10,1,0,14,2,2,31,3,2,2,7,1,3,6,8,14,27,0,4,4,2,1,3,4,4,1711,134,4
재외투표,,73,22,0,9,4,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,51
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
철원읍,소계,4513,2829,61,1072,751,210,27,46,9,139,26,106,4,2,2,27,2,1,48,2,4,5,4,1,8,9,11,7,8,1,1,7,4,2,4,3,2,2616,213,1684
,관내사전투표,1019,1019,28,346,288,88,13,15,2,63,5,59,1,0,1,10,1,1,8,1,3,1,3,0,0,0,0,0,8,1,0,1,2,0,0,1,0,950,69,0
,철원읍제1투,1107,551,10,213,163,39,1,3,1,21,12,12,1,1,0,5,0,0,9,0,0,1,0,1,3,3,3,1,0,0,0,1,1,0,0,1,0,506,45,556
,철원읍제2투,929,472,10,175,129,30,5,7,1,29,2,14,1,0,0,2,0,0,16,1,0,1,0,0,2,3,3,2,0,0,0,3,0,0,3,0,1,440,32,457
,철원읍제3투,221,141,5,62,28,10,2,2,2,6,0,2,0,1,0,2,0,0,5,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,134,7,80
,철원읍제4투,442,278,3,103,67,20,4,16,0,9,1,6,0,0,1,2,1,0,6,0,0,0,1,0,3,0,1,2,0,0,0,0,0,2,1,1,0,250,28,164
,철원읍제5투,795,368,5,173,76,23,2,3,3,11,6,13,1,0,0,6,0,0,4,0,1,1,0,0,0,2,2,1,0,0,1,2,0,0,0,0,0,336,32,427
김화읍,소계,2753,1749,48,668,462,147,13,21,7,78,7,42,6,3,0,22,1,2,14,4,2,2,6,0,2,8,11,10,8,2,0,5,4,1,3,3,1,1613,136,1004
,관내사전투표,638,638,20,199,195,61,1,10,2,40,1,12,3,2,0,13,0,2,3,1,1,2,4,0,1,2,4,0,4,0,0,0,4,0,1,2,1,591,47,0
,김화읍제1투,531,263,4,126,58,15,3,0,0,10,4,6,1,0,0,2,1,0,1,1,0,0,0,0,0,0,3,4,1,0,0,1,0,0,0,0,0,241,22,268
,김화읍제2투,194,130,7,41,31,15,0,3,1,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,109,21,64
,김화읍제3투,1083,536,12,247,127,34,7,4,2,20,1,16,1,1,0,3,0,0,6,2,0,0,2,0,0,3,3,4,3,1,0,4,0,0,1,1,0,505,31,547
,김화읍제4투,307,182,5,55,51,22,2,4,2,6,1,3,1,0,0,4,0,0,3,0,1,0,0,0,1,1,1,2,0,1,0,0,0,0,1,0,0,167,15,125
갈말읍,소계,9814,6222,154,2520,1592,464,65,45,22,279,47,215,17,4,2,56,3,2,117,4,5,5,10,2,6,21,23,34,29,2,2,35,4,5,9,8,9,5817,405,3592
,관내사전투표,2151,2151,74,675,660,196,14,16,6,104,10,97,14,3,0,26,3,1,15,2,3,2,4,1,4,6,8,11,11,0,1,5,0,1,6,2,1,1982,169,0
,갈말읍제1투,949,467,7,231,100,28,6,1,1,19,2,13,1,0,0,3,0,0,8,0,0,1,0,0,0,2,4,3,3,0,0,3,1,1,1,1,0,440,27,482
,갈말읍제2투,894,496,7,213,141,28,7,4,3,17,0,11,1,1,0,3,0,0,16,1,0,0,2,0,0,2,1,3,2,1,0,4,1,0,1,0,3,473,23,398
,갈말읍제3투,920,381,6,186,80,21,8,1,3,14,7,11,0,0,2,4,0,0,7,1,1,0,1,1,0,2,0,3,1,0,0,2,0,0,0,1,0,363,18,539
,갈말읍제4투,590,312,4,127,80,18,2,2,0,16,3,11,0,0,0,4,0,1,4,0,0,0,0,0,0,3,1,1,1,0,0,5,2,1,0,1,0,287,25,278
,갈말읍제5투,739,434,7,223,70,23,8,6,1,12,7,15,0,0,0,5,0,0,4,0,0,1,0,0,0,1,0,4,4,0,0,3,0,0,0,1,0,395,39,305
,갈말읍제6투,562,341,10,188,56,12,5,3,4,8,4,4,0,0,0,3,0,0,6,0,0,0,1,0,0,1,1,1,0,1,0,4,0,2,0,0,2,316,25,221
,갈말읍제7투,1659,927,20,373,254,76,7,5,2,60,9,31,0,0,0,3,0,0,18,0,1,0,1,0,1,3,4,4,2,0,1,6,0,0,1,1,0,883,44,732
,갈말읍제8투,1183,589,12,235,139,53,8,6,2,26,3,22,0,0,0,5,0,0,34,0,0,1,1,0,1,1,3,3,5,0,0,2,0,0,0,0,3,565,24,594
,갈말읍제9투,167,124,7,69,12,9,0,1,0,3,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,113,11,43
