읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,238639,163095,3214,55695,46616,19912,1005,941,258,9879,786,7729,225,48,64,1306,89,93,3266,87,85,173,471,23,115,389,412,492,1157,39,123,662,160,25,111,133,140,155923,7172,75544
거소·선상투표,,723,686,32,194,164,60,11,8,4,33,12,20,2,0,3,11,2,2,4,2,1,1,5,0,2,1,1,2,1,0,3,1,1,0,1,2,2,588,98,37
관외사전투표,,15128,15124,371,3669,4987,2247,49,91,32,967,55,950,69,10,6,156,6,6,136,11,12,28,63,3,15,28,47,62,161,2,22,48,21,3,10,16,17,14376,748,4
재외투표,,739,147,2,33,54,15,0,2,0,8,0,18,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,145,2,592
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신북읍,소계,6902,4514,103,1810,1152,380,47,22,21,193,43,158,9,5,1,43,4,1,105,4,4,8,14,2,2,6,14,21,17,4,6,23,4,1,6,9,5,4247,267,2388
,관내사전투표,1550,1550,34,555,456,143,15,11,5,82,11,80,3,0,0,10,1,1,28,3,1,4,1,1,0,1,2,6,9,1,2,3,1,0,1,4,1,1476,74,0
,신북읍제1투,1255,678,13,286,149,62,9,1,3,24,8,19,4,1,1,8,1,0,12,0,0,0,2,0,1,3,3,3,2,0,2,6,0,0,0,2,1,626,52,577
,신북읍제2투,2054,1145,33,452,298,78,13,5,7,42,10,31,1,1,0,16,1,0,40,1,3,2,4,0,1,1,6,4,3,1,1,7,3,1,3,2,2,1073,72,909
,신북읍제3투,1282,716,16,329,155,56,6,2,5,28,13,13,1,2,0,7,0,0,15,0,0,1,4,1,0,0,0,4,3,1,0,5,0,0,1,1,1,670,46,566
,신북읍제4투,761,425,7,188,94,41,4,3,1,17,1,15,0,1,0,2,1,0,10,0,0,1,3,0,0,1,3,4,0,1,1,2,0,0,1,0,0,402,23,336
동면,소계,12946,8075,169,2748,2338,985,46,43,9,567,30,348,5,2,2,59,2,3,216,3,3,5,21,0,6,15,19,31,52,2,1,28,4,2,2,8,4,7778,297,4871
,관내사전투표,1993,1993,35,649,669,242,11,16,1,111,2,134,0,0,0,11,1,1,27,0,0,0,4,0,1,3,4,6,6,1,0,3,1,1,0,1,2,1943,50,0
,동면제1투,2536,1519,25,502,414,221,6,7,0,140,2,52,2,0,1,14,0,1,40,0,0,0,2,0,3,0,7,6,15,0,0,7,0,0,1,3,0,1471,48,1017
,동면제2투,1121,544,17,229,117,42,6,2,2,42,4,7,0,0,0,4,1,0,13,0,1,0,1,0,0,3,0,5,3,1,0,3,0,1,0,2,1,507,37,577
,동면제3투,202,122,1,58,21,7,7,0,1,6,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,114,8,80
,동면제4투,3523,1890,46,643,530,224,9,11,3,122,8,84,1,1,0,13,0,0,51,1,0,4,8,0,2,4,3,7,14,0,0,6,2,0,1,1,0,1799,91,1633
,동면제5투,3571,2007,45,667,587,249,7,7,2,146,10,71,2,1,1,17,0,0,81,2,2,1,6,0,0,4,5,7,14,0,1,8,1,0,0,0,0,1944,63,1564
동산면,소계,1414,981,23,459,226,62,12,5,4,30,6,31,0,0,1,9,0,0,17,2,1,0,3,0,1,2,2,7,1,0,0,4,0,1,5,1,0,915,66,433
,관내사전투표,351,351,7,129,122,32,3,1,2,8,0,15,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,2,0,0,1,0,0,332,19,0
,동산면제1투,661,395,5,219,63,14,4,2,1,16,4,14,0,0,0,5,0,0,13,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,366,29,266
,동산면제2투,402,235,11,111,41,16,5,2,1,6,2,2,0,0,1,1,0,0,4,2,1,0,1,0,1,1,0,1,0,0,0,2,0,0,4,1,0,217,18,167
신동면,소계,2892,2164,50,865,544,272,12,9,4,113,10,91,3,0,1,19,3,0,26,1,1,2,1,0,4,5,4,9,4,1,0,5,3,0,2,0,1,2065,99,728
,관내사전투표,1227,1227,28,395,371,192,2,4,1,76,3,82,3,0,0,12,1,0,10,0,1,1,0,0,2,3,1,3,0,0,0,4,2,0,2,0,0,1199,28,0
,신동면투표소,1665,937,22,470,173,80,10,5,3,37,7,9,0,0,1,7,2,0,16,1,0,1,1,0,2,2,3,6,4,1,0,1,1,0,0,0,1,866,71,728
동내면,소계,13592,9135,174,3021,2662,1229,52,48,9,513,43,490,12,1,1,65,5,7,191,7,7,4,37,2,3,22,16,16,58,1,8,26,6,1,4,7,5,8753,382,4457
,관내사전투표,3426,3426,63,958,1206,444,12,11,2,200,13,269,4,0,0,15,1,3,34,2,0,1,20,0,1,5,9,5,23,0,2,4,2,0,1,3,1,3314,112,0
,동내면제1투,2731,1378,30,510,338,185,11,13,3,80,8,60,3,0,0,14,1,1,30,0,2,0,2,0,1,4,3,2,7,1,0,8,2,1,2,0,1,1323,55,1353
,동내면제2투,2243,1315,26,582,283,145,10,8,0,35,11,34,3,0,0,8,0,2,35,3,4,0,3,2,0,3,1,5,3,0,5,2,1,0,0,3,0,1217,98,928
,동내면제3투,2532,1464,23,463,406,236,5,8,3,92,5,66,2,0,0,16,0,1,45,0,0,2,7,0,0,2,1,2,13,0,1,5,0,0,0,1,2,1407,57,1068
,동내면제4투,2660,1552,32,508,429,219,14,8,1,106,6,61,0,1,1,12,3,0,47,2,1,1,5,0,1,8,2,2,12,0,0,7,1,0,1,0,1,1492,60,1108
남면,소계,1009,710,16,349,139,65,5,7,3,29,7,19,2,1,0,3,0,0,13,1,0,2,4,0,1,0,3,1,0,0,1,1,1,1,1,2,0,677,33,299
,관내사전투표,337,337,9,132,90,40,2,4,2,17,4,13,0,0,0,2,0,0,0,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,1,0,327,10,0
,남면투표소,672,373,7,217,49,25,3,3,1,12,3,6,2,1,0,1,0,0,13,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,350,23,299
남산면,소계,3242,2178,43,963,503,166,23,23,1,87,23,71,1,0,0,25,4,0,49,1,2,6,3,2,1,6,2,6,4,0,0,7,4,1,2,1,4,2034,144,1064
,관내사전투표,826,826,20,275,258,89,5,6,0,39,6,39,0,0,0,12,1,0,18,1,0,1,2,0,0,3,0,2,0,0,0,1,0,1,0,0,2,781,45,0
,남산면제1투,1255,629,10,316,112,42,9,4,1,26,7,12,0,0,0,6,1,0,9,0,2,3,1,1,0,1,0,0,2,0,0,4,3,0,1,0,2,575,54,626
,남산면제2투,578,351,5,161,76,17,5,11,0,14,6,8,1,0,0,4,1,0,8,0,0,2,0,0,1,2,2,3,1,0,0,0,0,0,1,0,0,329,22,227
,남산면제3투,583,372,8,211,57,18,4,2,0,8,4,12,0,0,0,3,1,0,14,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1,0,349,23,211
서면,소계,3351,2054,52,981,434,138,16,10,6,86,18,78,1,1,0,21,1,1,51,0,1,4,7,1,2,1,4,8,6,1,2,6,2,1,0,2,1,1944,110,1297
,관내사전투표,617,616,15,261,163,51,2,1,2,32,2,43,0,0,0,8,0,0,4,0,1,0,4,0,0,0,0,2,1,1,0,0,0,0,0,1,1,595,21,1
,서면제1투,861,482,13,239,89,37,3,5,0,17,1,12,0,0,0,7,0,0,17,0,0,1,1,0,1,0,0,0,2,0,1,3,0,0,0,0,0,449,33,379
,서면제2투,1197,623,12,297,126,41,6,4,4,24,9,18,1,0,0,6,0,1,16,0,0,2,2,0,1,1,1,3,3,0,1,3,2,1,0,0,0,585,38,574
,서면제3투,676,333,12,184,56,9,5,0,0,13,6,5,0,1,0,0,1,0,14,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,1,0,315,18,343
사북면,소계,2132,1385,30,630,282,107,15,50,4,44,15,49,0,0,1,12,0,0,25,1,0,1,6,1,2,2,4,1,1,0,4,7,0,0,2,1,8,1305,80,747
,관내사전투표,299,299,10,97,78,23,3,11,1,19,0,21,0,0,1,3,0,0,1,1,0,1,3,1,0,1,0,0,1,0,2,0,0,0,0,1,2,281,18,0
,사북면제1투,688,450,10,211,87,44,6,7,1,12,10,17,0,0,0,2,0,0,8,0,0,0,1,0,2,1,0,1,0,0,2,0,0,0,0,0,2,424,26,238
,사북면제2투,300,194,2,95,34,18,1,7,1,7,3,7,0,0,0,3,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,188,6,106
,사북면제3투,845,442,8,227,83,22,5,25,1,6,2,4,0,0,0,4,0,0,11,0,0,0,1,0,0,0,2,0,0,0,0,7,0,0,1,0,3,412,30,403
북산면,소계,797,555,14,272,101,36,11,1,4,21,9,17,0,1,1,1,1,0,4,0,1,1,1,0,0,2,1,1,3,0,0,5,0,1,1,0,0,511,44,242
,관내사전투표,222,222,3,85,51,26,3,1,2,9,3,12,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,3,0,0,1,0,1,0,0,0,207,15,0
,북산면제1투,410,224,5,124,37,6,6,0,0,8,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,4,0,0,1,0,0,202,22,186
,북산면제2투,165,109,6,63,13,4,2,0,2,4,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,7,56
소양동,소계,8307,5713,103,1892,1671,691,37,22,16,366,34,299,7,4,3,53,1,2,114,1,3,6,16,1,0,14,13,18,42,1,4,15,13,0,7,5,6,5480,233,2594
,관내사전투표,2806,2806,47,841,949,334,16,4,6,172,17,189,5,0,1,28,0,0,17,1,1,6,9,1,0,5,6,10,18,0,3,2,6,0,3,2,2,2701,105,0
,소양동제1투,1355,743,17,269,185,58,9,7,4,48,6,27,0,3,1,8,1,1,33,0,2,0,1,0,0,3,3,0,2,1,0,5,2,0,2,0,0,698,45,612
,소양동제2투,3337,1852,35,654,473,262,9,9,5,127,9,74,1,1,1,12,0,1,59,0,0,0,5,0,0,5,4,6,20,0,1,7,5,0,1,1,3,1790,62,1485
,소양동제3투,809,312,4,128,64,37,3,2,1,19,2,9,1,0,0,5,0,0,5,0,0,0,1,0,0,1,0,2,2,0,0,1,0,0,1,2,1,291,21,497
교동,소계,3611,2471,60,925,673,268,15,10,6,127,23,105,5,0,2,17,1,1,34,5,0,0,10,1,0,7,5,15,15,0,0,8,0,0,1,2,2,2343,128,1140
,관내사전투표,1444,1444,37,472,454,179,6,6,6,73,8,78,3,0,1,11,1,0,10,4,0,0,7,0,0,3,2,7,10,0,0,5,0,0,1,1,1,1386,58,0
,교동투표소,2167,1027,23,453,219,89,9,4,0,54,15,27,2,0,1,6,0,1,24,1,0,0,3,1,0,4,3,8,5,0,0,3,0,0,0,1,1,957,70,1140
조운동,소계,3248,2195,55,809,632,254,15,12,4,101,15,94,3,0,0,14,1,1,34,3,1,1,9,0,1,5,6,6,18,1,3,6,2,0,2,1,2,2111,84,1053
,관내사전투표,1335,1335,30,434,424,182,3,7,3,67,7,73,2,0,0,5,1,0,11,3,0,1,5,0,0,1,3,4,11,0,2,2,1,0,1,0,2,1285,50,0
,조운동투표소,1913,860,25,375,208,72,12,5,1,34,8,21,1,0,0,9,0,1,23,0,1,0,4,0,1,4,3,2,7,1,1,4,1,0,1,1,0,826,34,1053
약사명동,소계,2750,1967,29,773,479,220,18,11,3,116,9,96,0,1,1,15,4,1,29,1,1,5,3,1,2,3,1,9,13,1,1,9,1,0,1,3,3,1863,104,783
,관내사전투표,1242,1242,13,455,338,156,7,7,3,65,5,75,0,0,1,6,2,1,15,0,1,3,3,1,0,1,1,7,9,1,1,2,0,0,1,0,2,1182,60,0
,약사명동투표소,1508,725,16,318,141,64,11,4,0,51,4,21,0,1,0,9,2,0,14,1,0,2,0,0,2,2,0,2,4,0,0,7,1,0,0,3,1,681,44,783
근화동,소계,6716,4166,88,1418,1187,492,61,20,8,235,24,197,6,1,0,46,2,4,69,0,0,7,3,0,6,11,14,14,24,3,2,15,5,0,3,6,1,3972,194,2550
,관내사전투표,1730,1730,37,531,554,239,25,4,2,96,8,114,2,0,0,14,1,1,10,0,0,2,2,0,1,1,4,6,9,1,1,2,2,0,2,1,1,1673,57,0
,근화동제1투,3190,1669,32,559,452,199,20,9,3,115,9,69,3,1,0,19,1,2,41,0,0,2,1,0,3,8,8,5,12,2,0,8,2,0,0,4,0,1589,80,1521
,근화동제2투,1796,767,19,328,181,54,16,7,3,24,7,14,1,0,0,13,0,1,18,0,0,3,0,0,2,2,2,3,3,0,1,5,1,0,1,1,0,710,57,1029
