읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,37733,24175,541,10467,6294,1941,220,202,63,985,230,1016,37,12,6,172,8,15,296,18,12,29,38,6,15,70,62,81,103,8,23,64,16,7,14,15,16,23102,1073,13558
거소·선상투표,,69,62,0,24,12,6,0,2,2,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,7,7
관외사전투표,,1687,1687,69,471,518,164,6,10,3,106,8,104,7,3,0,14,0,2,20,1,0,2,6,0,0,8,8,7,25,1,4,8,4,0,2,0,1,1582,105,0
재외투표,,83,14,0,3,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,69
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황지동,소계,6113,4095,89,1713,1161,372,34,39,7,158,23,188,3,1,1,22,5,2,47,3,0,4,5,0,1,8,12,16,25,1,2,8,1,1,2,2,3,3959,136,2018
,관내사전투표,2093,2093,47,737,722,228,17,15,2,81,11,125,2,1,1,7,0,1,14,2,0,2,1,0,1,1,5,4,11,0,0,1,1,0,0,0,2,2042,51,0
,황지동제1투,1686,843,20,465,159,60,7,3,3,18,4,24,1,0,0,3,2,0,10,0,0,1,1,0,0,2,2,5,2,0,1,5,0,1,0,0,1,800,43,843
,황지동제2투,1608,779,18,337,190,53,6,20,2,41,4,22,0,0,0,7,1,0,16,1,0,1,3,0,0,5,4,7,10,1,0,0,0,0,2,2,0,753,26,829
,황지동제3투,726,380,4,174,90,31,4,1,0,18,4,17,0,0,0,5,2,1,7,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,364,16,346
황연동,소계,4321,2709,67,1338,616,173,30,20,4,94,35,91,6,0,1,16,1,2,30,1,2,3,1,0,3,10,4,9,10,1,3,3,2,2,2,6,1,2587,122,1612
,관내사전투표,1213,1213,29,557,323,99,9,5,1,43,11,60,3,0,0,3,0,1,6,1,1,1,0,0,2,4,2,2,3,0,1,1,0,0,0,1,0,1169,44,0
,황연동제1투,1228,551,12,259,127,35,6,4,0,23,7,13,1,0,0,3,0,0,7,0,0,2,0,0,1,2,0,5,6,0,2,1,1,0,1,3,0,521,30,677
,황연동제2투,724,354,15,179,71,9,7,3,2,16,5,8,1,0,0,4,1,1,4,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,332,22,370
,황연동제3투,1156,591,11,343,95,30,8,8,1,12,12,10,1,0,1,6,0,0,13,0,1,0,0,0,0,3,1,2,1,0,0,1,0,2,0,2,1,565,26,565
삼수동,소계,4928,2784,74,1207,730,219,36,33,5,94,27,102,3,1,1,19,1,4,30,5,4,3,6,0,3,6,7,4,2,2,3,4,0,1,1,2,1,2640,144,2144
,관내사전투표,1072,1072,26,462,311,91,7,15,1,36,10,54,0,0,1,5,0,1,4,0,1,0,2,0,1,1,2,0,1,1,2,0,0,0,1,1,0,1037,35,0
,삼수동제1투,2034,790,22,330,195,61,14,8,3,33,5,16,2,0,0,6,1,2,17,3,0,2,3,0,0,4,2,1,0,1,0,2,0,0,0,0,1,734,56,1244
,삼수동제2투,1392,669,21,290,170,47,13,7,1,22,10,25,1,1,0,7,0,1,6,1,2,0,1,0,2,0,2,2,1,0,1,0,0,1,0,0,0,635,34,723
,삼수동제3투,430,253,5,125,54,20,2,3,0,3,2,7,0,0,0,1,0,0,3,1,1,1,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,234,19,177
상장동,소계,9723,5749,100,2244,1629,575,47,45,11,283,39,302,9,2,1,53,0,2,70,3,3,5,11,1,6,15,13,12,19,0,5,27,5,2,2,1,4,5546,203,3974
,관내사전투표,2105,2105,36,759,689,214,14,15,2,92,9,164,1,0,1,11,0,0,8,0,0,2,6,0,0,4,6,5,6,0,0,1,2,1,0,0,0,2048,57,0
,상장동제1투,1300,576,12,306,107,44,8,4,4,14,3,12,1,0,0,8,0,1,12,0,1,0,0,0,0,2,1,1,1,0,2,9,1,1,0,0,0,555,21,724
,상장동제2투,2399,1215,21,409,365,139,9,7,4,84,5,61,2,2,0,14,0,0,21,1,1,1,3,0,4,3,2,3,4,0,2,11,1,0,1,1,2,1183,32,1184
,상장동제3투,977,500,7,176,140,57,9,6,0,33,6,17,2,0,0,2,0,0,3,1,0,1,0,0,1,1,0,1,3,0,0,2,1,0,0,0,1,470,30,477
,상장동제4투,934,446,7,228,103,24,2,5,0,13,9,12,0,0,0,6,0,0,5,0,1,0,0,0,1,3,1,2,0,0,1,1,0,0,0,0,1,425,21,488
,상장동제5투,2008,907,17,366,225,97,5,8,1,47,7,36,3,0,0,12,0,1,21,1,0,1,2,1,0,2,3,0,5,0,0,3,0,0,1,0,0,865,42,1101
문곡소도동,소계,3121,1901,37,956,452,118,16,16,11,71,19,56,2,0,0,11,0,0,24,1,2,4,1,0,2,3,6,9,7,1,2,1,0,0,3,0,2,1833,68,1220
,관내사전투표,535,535,9,253,161,41,6,0,2,16,2,21,0,0,0,3,0,0,1,1,1,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,523,12,0
,문곡소도동제1투,614,264,2,148,52,14,2,4,5,10,3,5,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,1,0,0,256,8,350
,문곡소도동제2투,930,528,18,268,105,25,5,6,3,18,2,22,1,0,0,5,0,0,9,0,1,2,0,0,0,1,1,2,2,0,1,0,0,0,2,0,2,501,27,402
,문곡소도동제3투,1042,574,8,287,134,38,3,6,1,27,12,8,1,0,0,2,0,0,12,0,0,1,0,0,2,1,4,4,2,0,0,0,0,0,0,0,0,553,21,468
장성동,소계,3349,2327,47,1072,582,124,27,14,10,81,32,103,2,3,2,14,0,2,31,1,1,2,4,2,0,12,6,11,8,0,2,3,2,0,1,0,2,2203,124,1022
,관내사전투표,1367,1367,28,607,381,72,14,7,4,36,17,80,2,1,1,9,0,2,9,0,1,1,1,0,0,8,3,6,2,0,1,2,1,0,1,0,1,1298,69,0
,장성동제1투,354,121,3,60,21,7,2,1,0,6,2,4,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,112,9,233
,장성동제2투,1022,509,8,237,123,30,6,3,2,26,8,15,0,0,0,2,0,0,13,0,0,1,0,0,0,1,3,2,5,0,0,0,0,0,0,0,0,485,24,513
,장성동제3투,606,330,8,168,57,15,5,3,4,13,5,4,0,1,1,2,0,0,8,1,0,0,2,1,0,2,0,3,1,0,1,1,1,0,0,0,1,308,22,276
구문소동,소계,2283,1510,34,759,334,99,12,13,5,54,21,37,2,1,0,9,1,0,19,3,0,3,3,1,0,3,3,5,3,1,2,3,0,1,0,2,2,1435,75,773
,관내사전투표,701,701,11,342,179,56,5,5,4,22,10,15,2,0,0,2,0,0,2,2,0,2,1,1,0,3,2,3,0,1,1,1,0,1,0,0,1,674,27,0
,구문소동제1투,954,432,12,219,83,27,2,7,0,24,7,11,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,407,25,522
,구문소동제2투,628,377,11,198,72,16,5,1,1,8,4,11,0,1,0,4,0,0,11,1,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,2,1,354,23,251
철암동,소계,2056,1337,24,680,256,89,12,10,5,41,26,26,3,1,0,13,0,1,24,0,0,3,1,2,0,5,3,8,4,1,0,5,2,0,1,2,0,1248,89,719
,관내사전투표,670,670,12,345,149,38,4,6,1,21,8,13,3,0,0,7,0,1,11,0,0,1,1,1,0,1,1,6,1,1,0,1,2,0,1,0,0,636,34,0
,철암동제1투,806,411,7,192,69,35,5,4,3,10,16,11,0,1,0,2,0,0,11,0,0,1,0,1,0,3,0,0,2,0,0,3,0,0,0,2,0,378,33,395
,철암동제2투,580,256,5,143,38,16,3,0,1,10,2,2,0,0,0,4,0,0,2,0,0,1,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,234,22,324
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
