읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,37601,24890,628,10047,6693,1904,275,258,65,1040,253,968,33,18,12,176,23,22,464,20,14,27,48,8,30,61,66,101,69,10,27,95,19,10,18,37,42,23581,1309,12711
거소·선상투표,,52,49,1,15,11,3,0,2,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,43,6,3
관외사전투표,,2495,2494,53,926,701,206,14,20,5,146,14,145,6,1,2,17,2,1,45,2,2,5,7,0,4,5,8,9,19,0,4,6,0,0,0,7,1,2383,111,1
재외투표,,99,10,0,3,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,89
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평창읍,소계,7104,4923,153,1904,1346,391,61,47,9,208,53,198,2,5,2,34,3,5,107,2,1,3,11,2,5,6,14,15,9,1,4,13,7,1,6,13,8,4649,274,2181
,관내사전투표,2171,2171,64,705,729,224,19,21,1,109,16,119,2,1,0,13,0,3,20,1,0,1,5,1,2,1,4,7,4,1,1,3,2,1,2,2,4,2088,83,0
,평창읍제1투,1257,639,18,271,150,37,5,11,3,25,10,16,0,0,0,12,0,0,9,1,0,2,3,0,1,1,3,2,5,0,2,2,2,0,2,2,1,596,43,618
,평창읍제2투,1630,841,29,341,209,59,9,6,2,37,9,29,0,0,0,3,1,0,35,0,1,0,2,1,0,1,3,2,0,0,0,3,2,0,1,2,0,787,54,789
,평창읍제3투,255,163,8,88,33,3,4,1,0,3,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,155,8,92
,평창읍제4투,464,304,13,119,73,17,9,0,0,8,6,12,0,1,0,1,0,2,9,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,2,1,279,25,160
,평창읍제5투,461,289,12,135,47,23,4,3,2,10,5,8,0,1,0,2,0,0,11,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,1,1,271,18,172
,평창읍제6투,489,295,7,137,64,13,9,2,0,14,4,6,0,0,1,2,1,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,277,18,194
