읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,60632,39859,1009,14802,10084,3471,369,1029,111,1774,461,1398,76,20,17,349,46,59,719,30,38,67,108,17,66,125,134,206,177,32,50,118,38,19,70,69,52,37210,2649,20773
거소·선상투표,,190,183,15,46,28,12,4,3,1,10,1,6,2,0,0,2,0,4,5,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,1,2,2,156,27,7
관외사전투표,,3209,3208,79,1075,933,330,19,37,6,162,8,175,7,2,0,35,0,3,43,3,2,3,11,1,5,8,11,18,32,2,6,8,6,2,1,6,4,3043,165,1
재외투표,,163,42,2,15,11,6,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,121
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍천읍,소계,27117,16742,402,5735,4639,1707,104,266,32,885,196,655,33,7,8,154,14,24,271,13,15,27,40,5,32,67,69,91,93,5,24,47,17,5,24,25,14,15745,997,10375
,관내사전투표,6049,6043,137,1933,1919,634,33,81,7,294,63,300,9,2,5,49,4,5,57,5,4,10,9,0,11,19,26,43,27,2,10,12,5,0,6,8,4,5733,310,6
,홍천읍제1투,1048,553,11,214,139,53,0,9,1,29,5,14,0,0,0,1,0,1,15,0,0,0,2,0,3,1,4,6,2,0,1,1,0,0,0,2,0,514,39,495
,홍천읍제2투,975,503,18,204,93,47,8,7,2,29,5,11,3,0,0,7,1,0,10,1,1,2,1,2,1,1,2,0,4,1,2,2,0,1,1,1,1,469,34,472
