읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,21433,14947,418,5559,3934,1200,141,127,60,777,116,474,40,17,11,192,13,16,194,14,12,22,47,9,32,45,51,107,70,5,25,45,21,12,15,31,24,13876,1071,6486
거소·선상투표,,298,294,7,59,84,18,2,3,2,24,1,10,2,3,0,13,0,1,1,1,0,0,2,0,3,2,0,2,0,0,2,1,1,0,0,2,0,246,48,4
관외사전투표,,1532,1532,41,495,440,158,8,11,5,98,7,70,4,0,2,24,2,0,15,3,0,1,4,1,1,5,5,10,14,1,0,3,4,0,1,3,3,1439,93,0
재외투표,,37,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,33
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화천읍,소계,6274,4057,95,1560,1097,326,30,45,10,208,36,119,10,3,1,51,2,7,47,3,3,6,13,3,3,18,17,23,23,3,6,11,7,2,4,11,5,3808,249,2217
,관내사전투표,1759,1759,36,597,543,162,14,22,1,94,14,63,8,2,0,16,0,3,6,2,2,2,7,1,2,5,9,14,15,1,2,4,5,2,2,5,1,1662,97,0
,화천읍제1투,1405,688,14,308,151,41,9,10,4,34,7,22,0,1,0,13,0,1,10,0,1,3,1,1,1,3,2,2,0,0,1,2,2,0,0,3,3,650,38,717
,화천읍제2투,1958,962,27,347,251,80,5,5,4,57,7,23,2,0,0,14,1,3,18,0,0,0,3,0,0,8,3,5,5,1,3,3,0,0,1,2,1,879,83,996
,화천읍제3투,577,331,13,143,77,28,1,5,0,7,5,3,0,0,1,5,1,0,9,1,0,1,2,1,0,1,2,2,1,1,0,1,0,0,1,1,0,313,18,246
,화천읍제4투,575,317,5,165,75,15,1,3,1,16,3,8,0,0,0,3,0,0,4,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,304,13,258
간동면,소계,2308,1611,46,644,388,133,28,9,8,71,10,53,4,3,4,19,4,2,29,2,1,1,4,0,3,4,5,11,2,0,1,3,4,0,0,1,4,1501,110,697
