읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,445180,300259,5149,81804,93536,51462,1670,2327,324,19772,986,18508,287,66,100,1537,83,132,5839,124,74,204,792,36,124,404,535,555,2353,40,161,1190,131,42,128,120,148,290743,9516,144921
거소·선상투표,,893,863,30,183,184,146,9,12,3,62,5,31,6,1,2,15,0,1,11,2,2,2,4,4,6,2,2,1,4,0,6,2,2,0,0,0,7,747,116,30
관외사전투표,,30757,30701,613,6704,10518,5404,107,283,33,1871,75,2537,79,15,13,229,8,12,292,8,14,33,92,0,19,42,60,79,267,3,30,82,30,4,19,19,24,29618,1083,56
재외투표,,2219,557,5,93,230,64,2,0,0,33,1,96,0,0,0,3,0,0,12,2,0,0,1,0,0,0,1,1,5,0,0,1,0,0,0,1,0,551,6,1662
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주교동,소계,13426,7969,142,2262,2189,1642,67,57,12,345,36,374,7,1,4,49,5,8,212,4,4,8,14,2,8,18,18,18,58,1,5,36,3,2,6,10,4,7631,338,5457
,관내사전투표,3077,3076,55,790,984,642,12,21,2,129,12,226,1,0,0,14,2,0,24,1,1,1,8,1,2,5,5,9,17,0,0,3,1,1,2,1,4,2976,100,1
,주교동제1투,2039,920,20,301,228,170,11,5,6,31,6,24,0,0,1,6,0,0,37,0,1,0,2,0,0,1,2,2,7,0,0,6,0,0,1,0,0,868,52,1119
,주교동제2투,3069,1454,18,436,344,286,21,15,1,69,5,57,2,1,2,13,1,3,49,2,1,1,1,1,5,7,3,3,12,0,1,11,0,1,0,4,0,1376,78,1615
,주교동제3투,2486,1159,22,331,280,264,11,10,1,58,8,30,3,0,0,5,1,2,44,0,0,3,1,0,0,3,4,2,12,1,2,4,1,0,2,4,0,1109,50,1327
,주교동제4투,2755,1360,27,404,353,280,12,6,2,58,5,37,1,0,1,11,1,3,58,1,1,3,2,0,1,2,4,2,10,0,2,12,1,0,1,1,0,1302,58,1395
원신동,소계,17053,11136,149,2903,3390,2447,42,37,3,699,22,687,5,2,2,43,4,4,241,2,3,4,16,0,4,12,17,13,70,0,7,34,3,2,4,0,4,10875,261,5917
,관내사전투표,2406,2406,28,559,857,522,6,7,1,108,3,205,2,0,0,10,0,0,18,1,0,1,2,0,1,1,2,2,11,0,3,7,1,0,0,0,0,2358,48,0
,원신동제1투,3285,2117,11,526,611,552,9,3,1,171,3,112,0,0,1,5,1,1,42,0,0,0,3,0,0,1,3,1,13,0,0,5,0,1,0,0,2,2078,39,1168
,원신동제2투,761,383,6,153,72,73,1,0,1,14,2,14,0,0,0,3,0,0,14,0,0,1,1,0,0,1,1,2,1,0,0,4,0,0,0,0,0,364,19,378
,원신동제3투,3608,2108,38,622,613,422,14,18,0,89,5,112,2,2,0,13,1,1,67,1,2,2,2,0,1,5,3,2,10,0,0,3,1,0,2,0,0,2053,55,1500
,원신동제4투,3879,2310,35,572,705,500,5,4,0,173,3,155,1,0,0,6,1,1,61,0,0,0,5,0,2,1,2,4,19,0,1,4,0,1,2,0,0,2263,47,1569
,원신동제5투,3114,1812,31,471,532,378,7,5,0,144,6,89,0,0,1,6,1,1,39,0,1,0,3,0,0,3,6,2,16,0,3,11,1,0,0,0,2,1759,53,1302
흥도동,소계,31769,21547,326,5129,6612,4832,127,107,14,1452,49,1285,9,1,4,102,6,8,452,5,3,9,47,4,4,21,26,46,127,3,7,90,5,1,10,1,10,20934,613,10222
,관내사전투표,4020,4020,57,815,1415,903,12,31,2,216,2,369,1,0,1,12,2,2,44,0,0,1,8,1,0,4,5,6,18,1,2,10,1,0,2,0,1,3944,76,0
,흥도동제1투,1126,516,8,238,85,84,9,1,2,23,1,17,1,0,1,9,0,0,16,0,0,0,0,0,0,1,0,1,3,0,0,2,1,0,1,0,0,504,12,610
