읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,48991,37499,1343,12910,9728,4048,146,179,42,3461,106,2340,32,9,7,201,5,15,678,7,7,38,319,2,8,59,50,70,290,3,21,215,8,4,8,7,14,36380,1119,11492
거소·선상투표,,98,97,3,28,24,5,0,2,0,5,3,1,2,1,0,8,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,88,9,1
관외사전투표,,3681,3680,147,988,1130,440,20,15,6,294,7,274,12,2,1,25,1,2,31,0,0,6,45,0,1,9,9,9,26,1,5,11,2,2,0,3,4,3528,152,1
재외투표,,450,108,1,41,27,13,1,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,105,3,342
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중앙동,소계,5601,4368,130,1716,993,442,22,12,8,431,12,245,1,0,1,21,0,3,101,1,0,1,34,1,0,4,4,7,37,0,3,28,1,0,2,2,4,4267,101,1233
,관내사전투표,2067,2066,64,741,554,207,10,8,6,202,7,159,0,0,0,8,0,1,10,0,0,0,11,0,0,1,2,3,16,0,2,3,1,0,0,1,3,2020,46,1
,중앙동제1투,1389,821,37,286,186,90,7,4,1,69,3,39,0,0,1,9,0,1,23,1,0,0,7,0,0,3,1,1,5,0,0,16,0,0,0,1,1,792,29,568
,중앙동제2투,2145,1481,29,689,253,145,5,0,1,160,2,47,1,0,0,4,0,1,68,0,0,1,16,1,0,0,1,3,16,0,1,9,0,0,2,0,0,1455,26,664
갈현동,소계,7632,6054,185,2199,1516,634,21,28,5,663,15,390,7,0,0,20,1,1,86,0,1,0,33,0,0,8,9,10,49,2,2,27,2,0,0,0,1,5915,139,1578
,관내사전투표,2065,2065,56,631,667,199,6,12,3,181,5,220,1,0,0,5,0,0,11,0,1,0,9,0,0,3,3,3,11,1,1,3,0,0,0,0,1,2033,32,0
,갈현동제1투,611,293,13,132,50,27,2,0,0,22,2,12,0,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,278,15,318
,갈현동제2투,2355,1729,53,657,386,173,8,8,1,228,7,80,2,0,0,8,1,0,30,0,0,0,14,0,0,3,2,4,16,0,1,3,0,0,0,0,0,1685,44,626
,갈현동제3투,2601,1967,63,779,413,235,5,8,1,232,1,78,4,0,0,4,0,1,36,0,0,0,7,0,0,2,4,3,20,1,0,21,1,0,0,0,0,1919,48,634
