읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,265859,182906,6134,49941,65014,18124,1096,1231,305,13095,705,10896,192,53,63,1004,71,163,3443,65,62,182,269,29,109,294,428,429,1406,35,106,720,97,45,78,96,111,176091,6815,82953
거소·선상투표,,426,406,28,82,110,34,5,7,0,35,6,18,2,0,0,10,0,0,3,0,0,0,1,0,0,0,3,2,1,0,3,3,2,0,0,1,1,357,49,20
관외사전투표,,14636,14632,571,3314,5273,1614,54,115,29,1086,26,1141,51,13,10,128,4,8,124,4,14,24,30,8,18,22,45,54,127,3,27,40,17,4,11,16,13,14038,594,4
재외투표,,1052,242,8,61,85,25,0,0,0,11,0,36,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,1,2,0,0,3,1,0,0,0,0,240,2,810
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광명1동,소계,5720,3300,146,923,1129,277,36,31,12,185,22,164,4,2,0,16,3,1,83,4,1,3,3,2,2,9,11,7,24,1,2,12,3,2,2,2,3,3127,173,2420
,관내사전투표,1217,1217,50,323,470,95,6,9,5,66,8,86,2,0,0,7,2,1,10,0,0,0,0,0,1,4,3,2,9,0,1,0,1,0,1,0,2,1164,53,0
,광명1동제1투,2808,1281,65,371,427,117,20,14,1,65,8,47,1,2,0,3,1,0,37,1,1,1,3,0,1,4,2,4,9,1,1,9,2,0,1,1,1,1221,60,1527
,광명1동제2투,1695,802,31,229,232,65,10,8,6,54,6,31,1,0,0,6,0,0,36,3,0,2,0,2,0,1,6,1,6,0,0,3,0,2,0,1,0,742,60,893
광명2동,소계,7999,4726,255,1387,1641,358,46,30,14,215,26,217,2,3,1,38,3,3,135,1,2,5,5,1,6,9,9,16,37,1,1,19,4,3,2,6,4,4505,221,3273
,관내사전투표,1817,1817,90,464,746,122,10,13,4,90,11,119,1,1,0,11,0,3,20,1,0,2,2,0,2,3,5,7,7,1,0,5,0,0,0,0,1,1741,76,0
,광명2동제1투,2515,1137,60,364,335,97,18,8,7,50,7,35,1,0,1,9,1,0,47,0,0,1,2,0,1,3,2,4,11,0,0,9,1,1,0,3,1,1079,58,1378
,광명2동제2투,1843,875,55,278,277,61,13,4,2,36,4,32,0,1,0,8,1,0,32,0,0,2,0,1,2,1,1,3,5,0,1,5,1,0,2,3,1,832,43,968
,광명2동제3투,1824,897,50,281,283,78,5,5,1,39,4,31,0,1,0,10,1,0,36,0,2,0,1,0,1,2,1,2,14,0,0,0,2,2,0,0,1,853,44,927
광명3동,소계,8724,5295,275,1595,1821,403,40,38,13,267,34,230,6,1,2,43,6,2,112,4,0,8,8,2,7,15,8,16,34,2,2,17,2,1,4,5,6,5029,266,3429
,관내사전투표,2069,2069,111,604,787,157,16,12,6,90,10,108,1,0,1,10,2,0,19,1,0,3,3,1,3,3,3,4,13,1,2,3,0,0,2,1,3,1980,89,0
,광명3동제1투,2266,1009,45,312,343,77,7,9,1,59,2,33,0,0,0,11,2,2,26,0,0,3,1,0,0,5,1,3,4,0,0,3,1,0,0,2,3,955,54,1257
,광명3동제2투,1817,852,49,246,253,71,9,8,3,48,6,36,0,1,1,7,1,0,24,3,0,1,2,0,2,1,4,3,5,1,0,5,0,0,2,1,0,793,59,965
,광명3동제3투,2572,1365,70,433,438,98,8,9,3,70,16,53,5,0,0,15,1,0,43,0,0,1,2,1,2,6,0,6,12,0,0,6,1,1,0,1,0,1301,64,1207
광명4동,소계,12305,7832,380,2393,2716,586,71,62,17,449,41,347,10,3,3,52,5,67,140,0,0,13,9,2,4,8,19,14,65,3,4,23,2,0,3,5,4,7520,312,4473
,관내사전투표,2844,2844,131,793,1157,197,17,19,6,131,6,168,3,1,1,14,2,4,33,0,0,3,5,1,0,3,7,5,23,0,1,4,1,0,3,1,2,2742,102,0
,광명4동제1투,2687,1224,64,377,341,92,21,11,4,79,10,45,2,0,0,16,1,1,59,0,0,3,1,0,0,3,3,2,14,0,0,11,0,0,0,1,0,1161,63,1463
,광명4동제2투,2572,1282,73,349,431,104,13,8,3,77,8,50,2,1,1,11,0,0,48,0,0,1,0,1,1,1,4,5,11,2,2,4,0,0,0,1,2,1214,68,1290
,광명4동제3투,4202,2482,112,874,787,193,20,24,4,162,17,84,3,1,1,11,2,62,0,0,0,6,3,0,3,1,5,2,17,1,1,4,1,0,0,2,0,2403,79,1720
광명5동,소계,12021,7662,359,2111,2730,601,48,66,20,460,47,398,11,3,2,45,0,6,251,5,1,8,11,2,7,12,15,22,40,1,6,23,3,1,5,3,5,7328,334,4359
,관내사전투표,2513,2513,88,613,1080,193,7,15,6,134,19,176,2,1,1,11,0,2,20,3,0,2,4,1,1,3,2,10,12,0,1,3,1,0,2,1,1,2415,98,0
,광명5동제1투,3217,1662,100,493,495,112,20,21,4,101,10,66,3,1,0,13,0,2,91,0,1,4,3,0,2,4,5,3,6,0,1,13,0,0,2,0,2,1578,84,1555
,광명5동제2투,3337,1963,82,600,618,190,6,14,7,149,7,102,3,1,0,15,0,1,54,0,0,1,2,0,3,2,4,6,12,1,2,2,1,1,0,1,0,1887,76,1374
,광명5동제3투,2954,1524,89,405,537,106,15,16,3,76,11,54,3,0,1,6,0,1,86,2,0,1,2,1,1,3,4,3,10,0,2,5,1,0,1,1,2,1448,76,1430
광명6동,소계,8984,6045,262,1813,2068,505,49,41,16,417,34,266,5,1,2,33,5,5,163,1,1,4,12,2,6,8,11,20,36,2,0,29,0,3,3,3,0,5826,219,2939
,관내사전투표,2267,2267,95,638,865,182,16,16,5,138,5,143,0,0,1,14,2,2,25,0,1,2,3,1,1,1,4,9,16,0,0,7,0,0,1,0,0,2193,74,0
,광명6동제1투,2362,1387,63,380,460,129,7,8,2,140,10,62,1,1,1,4,0,2,54,0,0,0,2,1,1,4,2,3,7,1,0,5,0,0,0,0,0,1350,37,975
,광명6동제2투,1839,1045,40,326,340,95,6,8,1,69,12,34,1,0,0,7,1,0,29,0,0,0,4,0,1,1,4,2,8,0,0,9,0,1,1,0,0,1000,45,794
,광명6동제3투,2045,1073,57,330,352,86,10,9,5,62,4,21,3,0,0,8,2,1,47,1,0,2,2,0,2,2,1,5,3,1,0,8,0,2,0,2,0,1028,45,972
,광명6동제4투,471,273,7,139,51,13,10,0,3,8,3,6,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,1,0,255,18,198
광명7동,소계,13720,8612,383,2515,3022,720,69,68,17,507,47,418,6,1,5,34,4,7,206,5,4,7,18,0,5,16,29,20,67,2,5,50,2,3,8,4,7,8281,331,5108
