읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,168786,111583,2423,33718,37716,10653,976,846,147,7812,407,6171,116,30,24,835,39,53,2047,30,25,84,144,18,65,201,244,275,994,34,67,369,68,17,45,50,59,106802,4781,57203
거소·선상투표,,219,205,4,56,65,17,0,5,0,18,0,3,0,0,0,8,0,0,1,0,0,3,0,1,0,0,1,2,0,0,2,1,0,0,0,1,0,188,17,14
관외사전투표,,8717,8716,253,2000,3167,890,46,85,16,630,22,683,36,3,1,109,7,2,55,2,4,9,22,2,9,12,18,39,70,3,18,23,16,1,2,10,8,8273,443,1
재외투표,,626,149,1,36,57,12,0,0,0,10,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,148,1,477
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
갈매동,소계,23124,15150,282,4107,5348,1590,122,107,16,1308,46,968,10,3,3,76,2,7,300,2,4,6,12,1,5,26,42,26,110,3,2,45,9,2,0,7,7,14604,546,7974
,관내사전투표,4940,4934,84,1142,2046,488,31,43,4,343,9,472,1,0,2,20,1,2,35,1,2,2,5,1,1,4,7,6,37,0,0,6,1,1,0,0,1,4798,136,6
,갈매동제1투,585,317,7,158,52,16,4,4,1,22,3,11,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,297,20,268
,갈매동제2투,3751,2222,34,644,722,254,12,17,1,240,3,110,1,1,0,5,0,2,38,0,0,0,1,0,1,6,10,5,15,2,0,7,2,0,0,0,2,2135,87,1529
,갈매동제3투,3762,1799,37,481,596,201,12,10,3,163,7,106,0,0,1,12,0,0,61,0,0,0,1,0,2,3,4,1,15,0,1,8,2,0,0,1,0,1728,71,1963
,갈매동제4투,3287,2031,40,540,677,219,22,13,4,209,9,121,1,2,0,13,0,0,42,0,0,2,2,0,0,4,4,6,20,1,1,11,0,0,0,2,1,1966,65,1256
,갈매동제5투,1851,991,18,328,300,75,14,5,2,50,8,26,4,0,0,7,0,1,47,0,1,0,1,0,0,4,4,2,3,0,0,4,1,1,0,2,2,910,81,860
,갈매동제6투,2511,1370,28,429,432,154,11,8,0,142,2,52,2,0,0,11,0,2,16,0,0,2,1,0,1,3,7,2,10,0,0,4,2,0,0,1,0,1322,48,1141
,갈매동제7투,2437,1486,34,385,523,183,16,7,1,139,5,70,1,0,0,6,1,0,48,1,1,0,1,0,0,2,6,2,9,0,0,4,1,0,0,1,1,1448,38,951
동구동,소계,30272,20923,470,6240,7171,2107,154,181,22,1582,47,1085,12,3,7,153,4,8,339,6,3,18,33,3,8,38,44,42,194,6,4,62,5,3,11,6,9,20080,843,9349
,관내사전투표,4954,4952,95,1135,2088,540,26,61,0,307,12,383,2,0,0,32,1,1,48,3,1,4,8,0,0,7,10,7,39,1,0,7,0,1,1,2,1,4823,129,2
,동구동제1투,1742,855,26,279,255,85,9,9,2,47,0,48,1,0,1,7,0,1,15,1,0,1,1,0,0,0,4,3,7,0,0,5,0,0,0,0,0,807,48,887
,동구동제2투,982,532,11,258,100,45,2,2,1,28,3,22,0,0,0,6,0,0,9,0,1,0,0,1,0,2,1,0,4,0,0,2,0,0,0,0,1,499,33,450
,동구동제3투,2870,1868,54,614,615,161,10,11,0,139,1,78,1,0,0,15,0,0,42,0,0,1,2,2,0,5,5,3,18,2,0,11,1,0,2,1,0,1794,74,1002
,동구동제4투,2493,1571,39,474,544,149,8,12,0,152,4,57,3,1,1,13,0,0,20,0,0,0,1,0,0,4,5,5,17,1,1,2,0,0,1,0,0,1514,57,922
,동구동제5투,2433,1480,28,486,444,133,22,9,3,132,3,61,0,1,0,17,0,0,33,1,0,1,2,0,2,3,1,2,14,0,1,3,0,0,3,0,1,1406,74,953
,동구동제6투,2372,1405,29,400,463,163,14,10,5,96,0,71,1,0,0,10,0,1,29,0,0,1,4,0,0,3,5,3,18,1,0,8,0,0,0,0,0,1335,70,967
,동구동제7투,2289,1483,35,444,462,176,14,15,3,137,5,51,0,0,1,10,0,1,26,0,0,2,2,0,1,5,4,4,15,0,0,5,0,2,2,0,0,1422,61,806
,동구동제8투,2144,1596,43,517,503,146,7,6,1,166,4,71,2,0,2,10,0,2,22,0,1,2,3,0,2,2,4,4,21,0,1,2,0,0,1,0,0,1545,51,548
,동구동제9투,2468,1535,36,439,538,155,9,17,0,111,1,86,1,0,1,8,2,0,24,0,0,1,3,0,1,1,1,3,14,0,0,7,2,0,0,0,1,1462,73,933
,동구동제10투,3005,1963,35,661,605,191,18,15,2,151,6,80,0,1,0,11,1,1,35,0,0,4,5,0,2,4,2,6,15,1,0,8,2,0,1,3,2,1868,95,1042
,동구동제11투,2520,1683,39,533,554,163,15,14,5,116,8,77,1,0,1,14,0,1,36,1,0,1,2,0,0,2,2,2,12,0,1,2,0,0,0,0,3,1605,78,837
인창동,소계,18797,12199,238,3702,4248,1152,119,104,15,777,36,617,15,5,0,76,3,9,249,7,3,8,14,0,9,20,34,23,127,2,13,39,6,2,12,0,5,11689,510,6598
