읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,577163,366185,9149,109831,125802,35105,2418,2477,409,23359,1728,21786,398,76,111,2591,103,175,7745,155,112,262,456,42,181,754,806,774,2930,68,219,1405,211,51,150,156,206,352201,13984,210978
거소·선상투표,,994,918,47,224,284,62,5,12,1,67,9,29,4,3,0,31,0,0,13,0,1,2,2,0,3,4,4,7,3,2,5,1,2,1,0,1,1,830,88,76
관외사전투표,,33230,33222,1024,8011,11966,3530,125,293,55,2067,103,2596,132,17,21,350,6,29,312,30,21,34,75,4,39,66,86,121,299,10,55,80,49,4,19,30,34,31693,1529,8
재외투표,,2165,513,10,117,187,43,1,2,0,16,1,90,1,0,0,0,0,0,12,0,0,1,0,0,0,1,0,1,10,0,0,2,0,0,0,1,0,496,17,1652
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
와부읍,소계,49918,34468,620,11452,10979,3502,279,195,43,2299,159,1991,26,5,13,201,4,19,755,9,8,22,48,1,9,55,58,50,256,4,14,150,12,3,13,10,14,33278,1190,15450
,관내사전투표,7356,7355,111,1865,2944,753,40,60,10,406,21,719,0,1,2,31,2,2,71,4,4,4,14,0,1,5,6,8,67,0,1,14,2,0,2,3,3,7176,179,1
,와부읍제1투,3677,2165,46,730,665,228,18,10,2,160,10,83,3,0,1,14,0,0,60,0,1,2,3,0,1,6,3,2,10,0,2,9,2,0,0,1,1,2073,92,1512
,와부읍제2투,3005,1353,24,536,368,109,22,7,4,70,21,37,0,0,2,10,0,0,44,0,1,1,2,0,0,3,3,5,8,0,0,1,0,0,2,1,1,1282,71,1652
