읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,711112,449603,9942,121245,165053,47812,2630,3458,508,29643,1839,23964,486,106,150,2868,178,254,9658,169,132,381,644,48,238,1178,1028,915,3631,88,301,1681,309,70,212,231,274,431324,18279,261509
거소·선상투표,,1096,1043,40,210,319,117,3,8,6,68,6,37,8,1,0,38,1,1,17,0,2,4,4,0,2,13,4,1,1,0,1,2,0,1,1,2,3,921,122,53
관외사전투표,,44833,44827,1200,9424,17426,5448,141,397,68,2860,106,3310,129,24,22,384,14,25,454,27,22,59,95,4,39,108,96,178,388,19,74,112,68,8,28,43,41,42841,1986,6
재외투표,,2459,611,14,99,238,68,1,3,0,31,1,100,0,0,0,3,0,0,18,0,0,1,2,0,0,0,1,0,11,0,0,7,0,1,1,0,0,600,11,1848
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
심곡동,소계,53656,28336,691,7868,10381,2613,237,206,45,1615,141,1275,27,10,14,216,18,18,705,13,9,26,27,4,21,97,74,71,279,10,18,132,13,3,11,15,13,26916,1420,25320
,관내사전투표,6718,6718,138,1630,2830,647,32,57,9,335,26,480,6,1,7,40,1,4,61,3,1,7,10,1,3,13,11,16,65,0,5,10,1,0,0,1,4,6455,263,0
,심곡동제1투,4423,1578,49,417,550,153,22,16,8,102,6,52,2,1,0,10,2,1,46,0,0,2,1,0,0,6,8,6,11,1,5,9,2,0,1,3,1,1493,85,2845
,심곡동제2투,4530,1740,43,484,594,183,13,12,4,93,7,60,0,1,0,14,1,3,55,2,0,3,1,0,2,8,5,7,23,0,1,16,0,0,2,0,1,1638,102,2790
,심곡동제3투,4659,1786,37,447,614,173,12,17,2,137,5,88,3,1,0,20,3,1,31,0,1,2,4,1,1,5,5,9,33,3,0,5,2,0,2,0,0,1664,122,2873
