읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,443167,291031,6496,81146,100048,32147,1545,2310,343,22422,1054,16393,327,74,78,1999,91,153,4735,113,78,225,493,35,128,843,754,705,2481,52,179,1013,146,58,125,109,156,279054,11977,152136
거소·선상투표,,660,631,38,144,156,55,6,6,4,48,4,22,10,0,0,21,1,1,12,1,0,2,1,0,3,10,1,2,0,0,7,3,2,0,0,0,1,561,70,29
관외사전투표,,29153,29097,722,6547,10485,3445,94,262,65,2294,92,1984,96,9,15,294,5,21,240,13,15,45,90,4,22,69,91,128,314,8,45,61,26,10,14,21,23,27669,1428,56
재외투표,,1528,361,7,69,134,31,1,0,0,35,0,60,0,0,0,1,0,0,5,0,0,1,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,351,10,1167
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세류1동,소계,8767,5661,124,1880,1667,585,50,42,4,401,32,300,4,0,2,41,5,4,105,4,2,4,10,1,0,11,11,17,48,2,2,23,2,2,2,3,1,5391,270,3106
,관내사전투표,1975,1975,40,602,679,192,19,17,3,126,8,146,1,0,1,15,2,2,17,2,2,1,2,0,0,4,6,4,17,0,0,3,0,0,0,0,0,1911,64,0
,세류1동제1투,1574,951,19,321,265,102,10,4,0,82,7,45,1,0,0,4,2,0,22,1,0,0,4,1,0,2,1,4,15,0,0,1,0,1,0,0,0,914,37,623
,세류1동제2투,2583,1146,30,393,297,128,15,8,0,70,13,41,1,0,0,13,0,0,30,0,0,0,0,0,0,2,4,5,11,1,1,3,1,1,2,0,1,1071,75,1437
,세류1동제3투,2635,1589,35,564,426,163,6,13,1,123,4,68,1,0,1,9,1,2,36,1,0,3,4,0,0,3,0,4,5,1,1,16,1,0,0,3,0,1495,94,1046
세류2동,소계,20231,10481,251,3483,3298,974,124,66,13,529,68,408,9,8,1,78,6,9,240,6,4,11,12,3,8,38,38,26,82,1,5,48,7,1,9,9,3,9876,605,9750
,관내사전투표,3269,3269,71,1005,1179,323,31,22,4,160,27,177,4,1,0,17,2,3,23,1,1,1,2,0,2,10,10,5,22,1,2,3,2,0,2,2,2,3117,152,0
,세류2동제1투,3094,1197,31,445,324,99,16,3,1,67,7,33,1,0,0,6,0,0,40,1,1,3,1,0,1,6,2,4,7,0,0,9,1,0,1,1,0,1111,86,1897
,세류2동제2투,2437,1228,38,428,333,132,13,10,1,56,10,49,0,2,1,6,3,1,39,0,1,1,1,1,2,3,3,4,6,0,0,8,0,0,1,1,0,1154,74,1209
,세류2동제3투,2655,1023,27,342,327,76,16,10,2,64,3,27,0,1,0,11,0,0,30,0,0,1,2,1,1,5,4,4,7,0,0,5,0,1,0,0,0,967,56,1632
,세류2동제4투,3258,1245,26,423,369,97,22,5,2,54,9,50,1,3,0,8,1,4,49,1,1,2,1,0,0,4,6,5,7,0,0,7,1,0,2,2,0,1162,83,2013
,세류2동제5투,3163,1419,34,485,423,133,9,7,2,73,6,41,2,0,0,18,0,0,31,3,0,2,4,1,1,8,9,4,14,0,2,8,2,0,3,3,0,1328,91,1744
,세류2동제6투,2355,1100,24,355,343,114,17,9,1,55,6,31,1,1,0,12,0,1,28,0,0,1,1,0,1,2,4,0,19,0,1,8,1,0,0,0,1,1037,63,1255
세류3동,소계,16869,9142,232,3165,2944,826,79,52,12,465,60,365,15,2,2,69,6,3,171,3,2,5,16,0,6,35,31,30,70,2,5,26,3,1,6,4,2,8715,427,7727
,관내사전투표,3418,3418,70,1094,1251,310,33,13,5,148,25,195,7,1,0,22,2,1,26,0,0,2,6,0,1,10,12,14,30,0,3,4,1,1,0,2,2,3291,127,0
,세류3동제1투,3703,1667,46,622,511,141,10,13,2,81,6,49,1,0,1,15,0,1,43,2,1,1,1,0,1,9,6,3,16,0,0,1,0,0,1,1,0,1585,82,2036
,세류3동제2투,2800,1065,36,378,332,88,9,7,1,49,10,27,2,1,0,11,0,0,23,0,0,0,2,0,1,4,3,3,6,1,0,7,1,0,2,0,0,1004,61,1735
,세류3동제3투,3326,1633,45,583,469,152,18,10,3,104,6,53,2,0,0,11,2,1,44,1,1,1,4,0,2,7,6,4,7,1,2,8,1,0,1,1,0,1550,83,1693
,세류3동제4투,3622,1359,35,488,381,135,9,9,1,83,13,41,3,0,1,10,2,0,35,0,0,1,3,0,1,5,4,6,11,0,0,6,0,0,2,0,0,1285,74,2263
평동,소계,32309,19614,457,6125,6388,1853,154,154,28,1250,104,928,16,3,7,165,11,17,436,5,12,14,32,4,13,73,65,39,163,4,10,77,14,3,7,8,14,18653,961,12695
,관내사전투표,5144,5144,107,1492,1969,465,20,29,4,267,22,363,4,0,2,32,2,2,62,1,2,1,12,1,1,20,6,4,41,3,0,10,1,0,2,0,5,4952,192,0
,평동제1투,1905,876,10,335,222,69,18,5,2,64,4,39,3,0,1,8,2,0,20,0,0,0,0,0,1,1,3,2,7,0,1,2,0,0,1,0,1,821,55,1029
,평동제2투,2040,963,24,370,264,73,6,7,0,63,8,29,0,1,0,20,1,0,17,1,0,1,0,0,0,1,3,3,4,0,1,2,0,1,0,0,0,900,63,1077
,평동제3투,2664,1233,33,408,337,114,13,20,6,91,13,36,1,1,0,10,1,3,39,0,0,4,4,0,4,2,5,2,11,0,0,7,2,0,1,1,0,1169,64,1431
,평동제4투,2650,1336,32,401,472,128,8,13,3,81,12,45,0,0,0,12,2,2,18,0,1,2,0,0,0,6,10,4,12,0,4,6,1,1,0,0,3,1279,57,1314
,평동제5투,3446,1822,48,629,532,188,25,10,5,122,8,51,0,0,1,16,0,3,34,0,0,2,2,0,2,11,5,6,16,0,1,15,1,1,0,1,0,1735,87,1624
,평동제6투,3778,2014,50,639,646,161,22,13,1,82,14,79,5,1,0,22,1,2,75,2,7,0,2,2,2,10,8,7,17,0,2,11,3,0,1,2,2,1891,123,1764
,평동제7투,2950,1721,51,532,490,166,18,13,2,121,10,63,1,0,2,20,1,0,66,0,0,2,3,1,1,10,9,1,15,0,0,7,2,0,0,1,2,1610,111,1229
,평동제8투,3573,2099,52,621,694,227,7,30,0,164,3,103,2,0,1,10,1,2,36,0,1,1,4,0,1,3,5,4,17,0,1,4,2,0,2,1,0,1999,100,1474
,평동제9투,4159,2406,50,698,762,262,17,14,5,195,10,120,0,0,0,15,0,3,69,1,1,1,5,0,1,9,11,6,23,1,0,13,2,0,0,2,1,2297,109,1753
서둔동,소계,31148,17123,438,5232,5861,1487,174,160,28,985,102,780,23,7,5,130,10,11,350,7,11,19,18,5,17,58,51,47,155,6,16,74,11,4,11,11,12,16316,807,14025
,관내사전투표,3603,3598,72,1030,1394,332,29,42,1,163,14,252,6,1,0,18,4,3,36,1,2,0,4,0,1,12,8,10,31,0,3,9,1,0,3,1,2,3485,113,5
,서둔동제1투,1833,855,12,322,244,76,8,13,4,52,6,24,1,0,0,4,1,0,23,1,0,0,1,1,0,3,2,3,6,1,0,11,1,0,0,0,0,820,35,978
,서둔동제2투,2168,1233,43,381,404,104,19,19,1,57,4,58,2,0,0,6,0,2,33,0,1,1,1,1,1,6,4,3,12,0,2,5,0,0,2,0,4,1176,57,935
