읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,197970,131562,3072,39540,44546,12642,891,1152,170,9417,547,7129,147,39,52,890,60,60,2185,54,39,129,354,15,64,186,304,334,1090,22,71,476,87,20,72,74,64,125994,5568,66408
거소·선상투표,,463,435,23,125,107,27,5,2,1,30,5,15,6,0,3,9,2,2,4,1,1,3,3,2,0,1,1,2,0,0,1,0,0,1,0,0,2,384,51,28
관외사전투표,,11839,11835,360,2749,4312,1285,33,146,27,799,27,829,31,7,8,111,2,6,103,7,5,24,53,3,14,16,40,49,123,3,13,26,19,6,8,11,9,11264,571,4
재외투표,,704,151,3,36,48,21,0,1,0,7,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,144,7,553
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파장동,소계,20059,12876,302,3950,4296,1155,89,88,14,855,73,743,9,5,4,95,7,5,250,10,4,16,34,1,10,13,29,38,93,1,9,61,6,3,8,7,3,12286,590,7183
,관내사전투표,4365,4365,94,1212,1694,345,21,37,4,226,25,360,2,2,1,22,1,0,32,3,1,4,14,1,4,2,12,14,33,1,2,5,1,0,4,2,1,4182,183,0
,파장동제1투,1661,759,18,296,229,59,11,11,0,31,8,19,0,1,0,3,0,0,15,1,0,1,1,0,1,2,3,0,6,0,0,6,0,1,1,1,1,726,33,902
,파장동제2투,2599,1303,42,433,392,104,15,5,2,81,14,51,0,0,0,14,0,0,43,0,1,1,6,0,0,3,2,5,12,0,2,8,2,0,2,1,0,1241,62,1296
