읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,260169,159543,4197,45709,56749,14648,1031,1877,247,10429,669,7760,211,58,49,1203,80,111,2725,95,58,170,149,20,122,556,500,496,1422,51,121,522,104,34,91,96,105,152465,7078,100626
거소·선상투표,,547,517,18,184,139,26,7,11,0,21,0,22,1,0,0,11,0,1,7,1,0,2,0,0,4,5,1,3,1,0,2,1,1,1,0,0,1,471,46,30
관외사전투표,,13748,13744,458,3253,4892,1385,72,161,29,904,37,850,65,11,12,155,3,5,123,14,9,18,28,2,18,49,58,57,168,10,19,35,25,2,10,21,19,12977,767,4
재외투표,,598,139,4,32,56,6,0,1,0,1,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,137,2,459
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
와동,소계,31500,15493,454,4065,5872,1256,124,259,33,755,82,701,23,5,3,143,10,13,330,10,7,22,7,6,17,64,69,53,118,7,13,52,11,3,11,13,16,14627,866,16007
,관내사전투표,4270,4270,125,1062,1866,311,23,67,8,157,23,278,2,1,2,38,4,3,37,3,0,6,2,0,2,14,12,4,29,0,4,3,2,0,2,3,2,4095,175,0
,와동제1투,3047,1196,38,283,439,95,7,27,2,75,8,52,1,0,1,13,0,0,21,1,1,0,1,0,1,7,5,4,4,3,1,6,3,0,2,3,3,1107,89,1851
,와동제2투,3863,1863,62,493,692,155,16,22,4,102,11,73,4,0,0,14,2,3,35,0,2,3,1,2,1,6,10,7,12,0,1,11,1,0,0,2,2,1749,114,2000
,와동제3투,3457,1709,33,463,607,156,11,32,3,92,4,64,3,1,0,13,0,0,59,1,3,2,1,2,4,7,2,6,9,1,4,11,3,2,2,1,0,1602,107,1748
