읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,211031,141927,3315,43533,48090,14716,973,828,189,9063,580,7163,131,47,48,963,69,62,2562,56,36,101,303,28,84,309,350,341,1112,24,83,441,73,41,76,73,72,135935,5992,69104
거소·선상투표,,315,302,10,67,81,37,4,5,1,19,1,7,4,0,0,6,1,0,4,1,1,1,2,0,1,0,3,0,2,0,1,0,1,0,1,1,0,262,40,13
관외사전투표,,11184,11179,318,2559,4101,1303,37,91,20,728,22,789,43,6,7,118,1,7,92,3,5,14,47,2,11,16,40,46,101,3,17,16,12,3,6,13,12,10609,570,5
재외투표,,801,199,5,32,82,14,0,1,0,7,0,36,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,3,0,0,0,1,0,190,9,602
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
안양1동,소계,10447,7252,150,2177,2410,785,47,37,6,601,17,419,6,2,2,50,2,3,105,2,1,6,12,0,3,18,18,14,64,0,0,14,8,1,1,0,3,6984,268,3195
,관내사전투표,2937,2937,47,727,1150,352,9,11,2,221,8,228,1,1,1,22,2,1,30,0,1,1,4,0,1,4,6,5,23,0,0,1,4,1,0,0,1,2865,72,0
,안양1동제1투,1887,1205,37,420,334,139,12,10,2,90,2,53,3,0,1,10,0,0,16,0,0,1,3,0,2,3,5,1,7,0,0,4,1,0,1,0,0,1157,48,682
,안양1동제2투,3250,2061,44,663,634,194,16,12,2,209,4,96,1,1,0,12,0,1,33,2,0,3,3,0,0,4,6,7,23,0,0,4,3,0,0,0,1,1978,83,1189
,안양1동제3투,414,168,2,62,39,18,0,1,0,13,0,9,0,0,0,0,0,0,6,0,0,0,1,0,0,2,1,1,2,0,0,4,0,0,0,0,0,161,7,246
