읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,95808,60134,1278,24485,15643,5591,707,546,119,2720,505,2217,80,27,19,452,31,30,1169,53,45,52,59,15,55,156,152,186,321,19,58,225,38,26,43,51,59,57232,2902,35674
거소·선상투표,,165,155,5,42,40,17,3,0,1,10,2,4,0,0,0,3,1,2,3,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,139,16,10
관외사전투표,,4819,4818,126,1512,1421,521,39,39,8,276,20,254,17,2,3,47,2,1,70,3,4,12,11,2,9,10,14,15,50,1,7,15,9,1,4,11,2,4538,280,1
재외투표,,260,51,1,6,24,5,0,0,1,3,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,48,3,209
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
점동면,소계,4277,2859,68,1355,609,186,57,40,8,119,34,91,3,1,0,18,3,1,39,2,4,4,3,1,4,10,5,14,5,2,4,6,2,1,2,1,3,2705,154,1418
,관내사전투표,1160,1160,30,482,322,70,18,18,2,52,14,54,0,1,0,4,1,0,7,2,1,2,2,1,4,7,1,3,2,0,2,2,0,1,1,0,1,1107,53,0
,점동면제1투,2043,1026,23,525,189,71,18,11,3,34,11,21,3,0,0,8,2,0,22,0,2,1,1,0,0,3,2,4,3,1,0,2,2,0,0,1,0,963,63,1017
,점동면제2투,633,383,9,195,60,30,9,5,2,16,5,8,0,0,0,4,0,0,3,0,1,1,0,0,0,0,1,5,0,1,0,0,0,0,1,0,2,358,25,250
,점동면제3투,441,290,6,153,38,15,12,6,1,17,4,8,0,0,0,2,0,1,7,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,277,13,151
가남읍,소계,12544,7080,160,2829,1950,628,73,67,15,304,81,232,12,1,2,60,2,4,158,7,7,6,11,4,4,20,20,22,35,1,7,26,2,4,4,6,5,6769,311,5464
,관내사전투표,2000,2000,40,634,704,198,23,18,4,93,19,105,1,0,0,16,0,4,25,1,0,0,2,1,1,4,6,5,4,0,3,4,0,0,0,3,1,1919,81,0
,가남읍제1투,2422,1000,26,450,231,74,14,10,2,52,9,18,3,0,1,12,0,0,24,0,3,1,2,0,0,4,2,4,6,1,0,3,1,0,0,0,0,953,47,1422
,가남읍제2투,1657,866,20,402,176,61,11,9,3,31,26,15,0,1,1,3,0,0,27,2,0,3,1,0,0,2,5,4,5,0,0,5,1,1,2,0,0,817,49,791
,가남읍제3투,925,505,11,249,108,30,10,6,1,15,10,18,3,0,0,3,1,0,12,0,0,0,0,1,1,1,1,1,2,0,2,1,0,1,0,0,0,488,17,420
,가남읍제4투,466,245,4,118,50,5,3,3,0,5,2,8,0,0,0,3,0,0,16,0,0,1,1,0,0,2,1,2,0,0,1,6,0,0,0,0,0,231,14,221
,가남읍제5투,2953,1505,43,570,444,172,6,14,1,71,8,47,3,0,0,15,0,0,27,3,1,0,3,0,2,2,2,3,11,0,0,2,0,1,0,2,1,1454,51,1448
,가남읍제6투,2121,959,16,406,237,88,6,7,4,37,7,21,2,0,0,8,1,0,27,1,3,1,2,2,0,5,3,3,7,0,1,5,0,1,2,1,3,907,52,1162
능서면,소계,5386,3423,76,1555,766,261,52,41,11,136,44,106,3,3,1,22,4,1,69,3,0,3,4,4,3,3,13,8,8,1,5,10,5,2,3,2,4,3232,191,1963
,관내사전투표,1090,1090,28,432,303,93,13,15,2,46,11,60,0,0,0,4,0,0,8,1,0,1,2,1,1,0,2,1,2,0,2,2,3,0,1,0,0,1034,56,0
,능서면제1투,1697,813,15,369,173,57,17,14,3,37,20,15,1,1,1,7,2,0,26,0,0,0,0,1,0,0,7,0,1,0,1,1,1,0,1,1,2,774,39,884
,능서면제2투,1644,918,23,455,176,59,13,7,4,33,8,17,2,2,0,9,1,0,27,2,0,1,1,0,1,1,1,5,4,1,2,3,1,0,1,1,1,862,56,726
,능서면제3투,955,602,10,299,114,52,9,5,2,20,5,14,0,0,0,2,1,1,8,0,0,1,1,2,1,2,3,2,1,0,0,4,0,2,0,0,1,562,40,353
흥천면,소계,4168,2617,43,1312,524,170,33,25,7,97,32,68,2,5,1,13,1,1,88,0,0,0,3,0,2,4,7,8,6,1,1,2,2,1,1,4,0,2464,153,1551
,관내사전투표,815,815,12,368,197,65,12,9,3,40,10,35,0,3,0,1,0,0,10,0,0,0,1,0,1,2,4,2,2,0,1,0,1,0,0,0,0,779,36,0
,흥천면제1투,1879,978,16,481,196,73,9,5,0,33,14,18,1,2,1,10,1,1,41,0,0,0,2,0,0,2,1,2,3,1,0,1,1,1,1,1,0,918,60,901
,흥천면제2투,1474,824,15,463,131,32,12,11,4,24,8,15,1,0,0,2,0,0,37,0,0,0,0,0,1,0,2,4,1,0,0,1,0,0,0,3,0,767,57,650
금사면,소계,2565,1716,26,924,301,88,31,9,7,62,20,51,2,0,0,4,0,0,52,4,1,0,2,0,0,3,5,5,3,0,0,5,1,0,0,2,3,1611,105,849
,관내사전투표,660,660,9,336,143,38,11,1,2,21,6,37,1,0,0,1,0,0,14,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,628,32,0
,금사면제1투,1187,627,12,350,88,27,15,4,1,23,11,10,0,0,0,2,0,0,27,0,0,0,1,0,0,0,2,3,1,0,0,5,0,0,0,2,0,584,43,560
,금사면제2투,718,429,5,238,70,23,5,4,4,18,3,4,1,0,0,1,0,0,11,2,1,0,1,0,0,2,1,1,2,0,0,0,1,0,0,0,1,399,30,289
산북면,소계,2188,1507,33,734,339,111,16,5,3,65,11,57,1,1,0,5,0,0,39,1,1,1,0,0,2,5,3,3,5,0,1,12,0,1,1,1,2,1459,48,681
,관내사전투표,676,676,17,302,190,56,7,2,0,23,3,36,0,0,0,2,0,0,6,0,1,1,0,0,0,0,2,0,2,0,0,4,0,0,0,1,0,655,21,0
,산북면투표소,1512,831,16,432,149,55,9,3,3,42,8,21,1,1,0,3,0,0,33,1,0,0,0,0,2,5,1,3,3,0,1,8,0,1,1,0,2,804,27,681
대신면,소계,6036,3801,68,1880,758,290,50,27,15,157,41,87,5,0,1,19,5,1,65,3,3,4,1,1,6,9,8,15,10,2,5,15,2,6,4,4,4,3571,230,2235
,관내사전투표,1199,1199,22,523,305,119,12,13,5,50,11,36,2,0,0,4,0,0,9,2,0,1,1,0,3,5,1,3,5,0,0,1,1,0,0,0,0,1134,65,0
,대신면제1투,1693,835,11,469,133,54,12,7,2,29,7,11,1,0,0,5,2,1,22,0,0,0,0,0,1,1,2,4,2,0,1,5,1,0,2,1,2,788,47,858
,대신면제2투,1429,780,16,384,144,61,12,1,3,27,12,20,2,0,0,4,1,0,16,1,0,1,0,0,1,3,2,2,0,2,0,3,0,3,0,0,1,722,58,649
,대신면제3투,953,528,8,287,85,32,10,2,3,22,3,12,0,0,0,5,1,0,7,0,0,2,0,1,1,0,0,3,2,0,2,6,0,0,0,1,0,495,33,425
,대신면제4투,762,459,11,217,91,24,4,4,2,29,8,8,0,0,1,1,1,0,11,0,3,0,0,0,0,0,3,3,1,0,2,0,0,3,2,2,1,432,27,303
북내면,소계,4190,2602,48,1246,530,221,33,10,4,94,27,86,5,3,1,22,4,1,65,2,3,3,1,0,3,9,8,10,10,1,1,7,0,1,4,6,0,2469,133,1588
,관내사전투표,783,783,13,311,215,72,5,3,1,29,10,51,1,0,0,8,2,0,13,1,2,0,1,0,1,1,2,3,6,0,0,0,0,0,2,0,0,753,30,0
