읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,182516,110566,3312,30632,39484,10957,606,820,122,7332,477,5756,187,26,36,845,42,51,1992,69,34,111,103,13,63,435,371,288,845,22,88,478,64,31,61,62,56,105871,4695,71950
거소·선상투표,,226,216,16,55,53,20,0,0,0,19,1,6,6,0,0,8,0,0,1,0,1,2,0,0,0,4,0,2,0,0,0,1,0,1,0,0,1,197,19,10
관외사전투표,,9002,8996,332,1947,3430,947,25,73,10,559,22,634,44,3,4,95,0,3,89,8,5,11,18,2,8,32,25,37,88,3,21,31,11,1,6,12,13,8549,447,6
재외투표,,433,95,4,26,34,8,0,1,0,5,0,9,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,94,1,338
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중앙동,소계,27829,17817,500,5174,6291,1799,94,119,19,1194,54,885,30,4,6,123,6,9,276,16,6,15,13,2,6,73,65,33,139,4,10,80,8,4,11,13,10,17091,726,10012
,관내사전투표,5863,5862,131,1676,2281,583,34,35,8,301,15,379,9,0,1,31,1,3,55,7,1,3,7,0,2,20,20,9,31,1,3,18,2,1,1,4,3,5676,186,1
,중앙동제1투,1476,659,15,302,143,33,7,4,1,31,4,19,0,1,1,9,0,2,14,2,0,0,0,0,0,7,0,2,3,0,1,11,1,1,0,3,0,617,42,817
,중앙동제2투,2377,978,26,414,243,58,16,4,0,38,5,27,3,1,0,10,1,1,35,0,1,0,0,0,2,10,4,3,7,1,1,5,0,0,2,1,0,919,59,1399
,중앙동제3투,3361,1757,73,448,612,178,4,9,1,125,7,81,4,1,1,13,2,0,38,1,1,2,2,0,1,7,10,3,19,0,1,11,1,0,1,1,1,1659,98,1604
,중앙동제4투,3270,1830,68,445,644,182,5,12,1,173,3,85,2,0,1,15,1,1,42,1,0,2,1,0,1,9,7,3,24,2,1,5,1,0,1,1,1,1740,90,1440
,중앙동제5투,3186,1904,56,711,529,197,11,7,5,127,6,78,4,1,1,13,1,1,31,2,1,2,0,0,0,2,8,5,22,0,1,5,1,0,0,0,0,1828,76,1282
,중앙동제6투,2606,1459,51,338,544,177,6,13,1,117,6,45,4,0,0,13,0,0,23,1,1,2,1,1,0,6,6,4,9,0,2,11,0,0,0,1,2,1385,74,1147
,중앙동제7투,3417,2025,44,479,801,237,5,19,0,188,2,99,2,0,1,11,0,1,18,0,0,2,1,1,0,7,5,0,20,0,0,9,1,0,5,1,2,1961,64,1392
,중앙동제8투,2273,1343,36,361,494,154,6,16,2,94,6,72,2,0,0,8,0,0,20,2,1,2,1,0,0,5,5,4,4,0,0,5,1,2,1,1,1,1306,37,930
대원동,소계,48099,27863,854,7820,9739,2879,172,180,31,1870,132,1381,35,9,8,204,18,8,477,19,9,30,23,4,21,127,101,86,214,6,18,125,16,9,17,13,6,26661,1202,20236
,관내사전투표,5514,5512,142,1325,2294,549,21,35,5,319,19,410,4,3,1,32,4,1,48,5,1,5,7,0,1,18,16,7,45,3,1,8,2,3,2,2,2,5340,172,2
,대원동제1투,4389,1576,48,577,430,128,11,10,1,90,8,53,2,1,1,20,1,0,34,1,0,1,0,1,2,9,9,11,12,1,1,9,0,2,1,0,0,1475,101,2813
,대원동제2투,2112,1278,46,404,389,147,11,10,0,80,10,40,2,1,0,8,2,0,18,1,0,3,1,1,0,7,4,6,10,0,1,9,2,0,0,1,1,1215,63,834
,대원동제3투,2239,1166,61,331,402,92,8,13,3,64,8,54,2,0,1,4,0,1,24,1,4,1,3,0,0,5,2,6,6,0,0,10,0,1,0,1,1,1109,57,1073
,대원동제4투,4412,1836,65,559,562,166,11,18,2,113,10,79,1,1,0,13,2,0,46,3,1,2,1,0,1,13,9,5,26,0,1,14,5,0,2,1,1,1733,103,2576
,대원동제5투,1910,1257,34,368,427,151,4,8,2,108,5,64,1,0,1,11,0,0,14,1,1,1,0,0,0,2,3,2,9,0,1,4,0,0,0,0,0,1222,35,653
,대원동제6투,2438,1537,42,445,493,182,13,8,1,133,10,64,1,0,1,15,0,1,32,0,0,3,0,0,1,7,4,2,12,1,3,7,1,0,1,2,0,1485,52,901
,대원동제7투,3952,2267,69,646,772,244,16,15,4,156,13,82,7,3,0,14,1,0,55,0,0,2,1,1,3,9,7,12,16,1,2,17,2,0,3,0,0,2173,94,1685
,대원동제8투,3219,1707,42,476,599,183,12,3,1,127,4,86,3,0,1,8,0,1,41,0,0,1,1,0,1,9,3,7,15,0,1,5,0,0,0,1,0,1631,76,1512
,대원동제9투,4108,2205,83,668,714,207,14,15,5,158,23,83,3,0,1,14,3,0,32,4,1,4,1,0,3,12,6,9,20,0,1,6,0,1,2,1,0,2094,111,1903
,대원동제10투,1857,1037,35,262,384,99,8,7,1,56,2,54,0,0,0,11,0,1,13,0,1,1,4,0,0,5,10,3,9,0,1,4,0,0,2,2,0,975,62,820
,대원동제11투,4219,2451,72,621,900,302,13,12,3,184,9,136,2,0,0,24,1,2,24,0,0,3,2,0,4,14,9,5,14,0,2,13,3,2,3,2,1,2382,69,1768
,대원동제12투,2725,1347,40,338,489,157,10,9,0,107,2,68,4,0,0,13,1,0,27,0,0,1,1,1,0,4,4,3,4,0,0,8,0,0,0,0,0,1291,56,1378
,대원동제13투,2837,1572,38,458,513,176,8,13,2,111,6,65,2,0,1,8,2,0,38,3,0,1,0,0,4,9,10,6,8,0,2,7,1,0,0,0,0,1492,80,1265
,대원동제14투,2168,1115,37,342,371,96,12,4,1,64,3,43,1,0,0,9,1,1,31,0,0,1,1,0,1,4,5,2,8,0,1,4,0,0,1,0,0,1044,71,1053
남촌동,소계,17479,7221,238,2166,2426,626,49,51,13,385,44,365,9,0,4,85,3,7,115,3,2,10,13,2,6,30,34,19,65,1,6,36,3,0,7,3,6,6832,389,10258
,관내사전투표,2329,2328,57,588,920,225,10,18,3,112,9,179,3,0,0,18,1,3,10,1,0,5,6,0,0,8,8,5,25,0,1,5,1,0,1,1,2,2225,103,1
,남촌동제1투,2170,1090,47,408,275,80,9,11,4,57,19,25,1,0,0,10,0,2,24,1,0,2,3,1,1,5,7,3,5,0,2,4,0,0,1,0,3,1010,80,1080
,남촌동제2투,1908,611,21,248,155,39,8,4,1,27,7,21,0,0,1,6,1,1,13,1,0,0,0,0,0,5,2,0,4,0,0,1,1,0,2,1,0,570,41,1297
,남촌동제3투,2909,615,22,166,211,45,5,4,0,48,2,21,0,0,2,12,0,0,16,0,0,0,0,0,0,3,3,0,7,0,1,3,0,0,2,1,0,574,41,2294
,남촌동제4투,2637,1515,54,462,502,165,8,6,3,84,4,63,4,0,1,17,0,0,25,0,1,1,3,0,1,5,8,8,13,1,2,13,1,0,1,0,1,1457,58,1122
,남촌동제5투,2983,601,23,186,192,44,4,4,1,27,1,25,1,0,0,14,1,1,18,0,1,1,1,0,2,1,6,0,7,0,0,7,0,0,0,0,0,568,33,2382
,남촌동제6투,2543,461,14,108,171,28,5,4,1,30,2,31,0,0,0,8,0,0,9,0,0,1,0,1,2,3,0,3,4,0,0,3,0,0,0,0,0,428,33,2082
신장동,소계,42990,25345,709,7040,9247,2421,153,217,28,1697,127,1272,31,4,5,177,6,11,559,14,6,23,15,0,12,92,62,58,160,4,16,101,9,10,13,11,9,24319,1026,17645
,관내사전투표,6075,6074,143,1367,2634,558,25,62,4,354,17,496,4,0,1,33,1,5,75,1,1,2,5,0,1,11,10,12,33,1,4,12,3,3,1,2,0,5881,193,1
,신장동제1투,2386,1236,25,484,347,75,20,18,3,55,10,31,1,0,0,9,1,1,43,1,2,2,0,0,3,6,4,5,4,0,2,11,1,1,1,1,2,1169,67,1150
,신장동제2투,2859,1518,40,451,506,144,6,14,2,118,12,60,0,0,0,8,0,1,33,0,0,1,0,0,1,6,8,7,12,1,1,13,0,0,0,3,2,1450,68,1341
,신장동제3투,3296,1644,54,568,541,87,21,14,4,83,12,52,6,1,0,9,0,0,33,0,0,0,2,0,2,4,3,5,8,2,2,10,2,1,1,0,1,1528,116,1652
,신장동제4투,3428,1875,60,709,541,137,9,14,2,118,13,77,2,0,1,11,0,0,42,2,0,4,1,0,1,10,7,6,12,0,2,14,0,2,1,2,0,1800,75,1553
,신장동제5투,2588,1357,48,385,463,178,7,4,1,110,4,46,3,1,0,10,2,0,24,2,0,1,0,0,0,5,2,2,11,0,0,1,1,0,1,0,1,1313,44,1231
,신장동제6투,2834,1212,37,338,430,109,13,15,3,70,7,38,2,0,0,13,0,0,42,2,0,1,0,0,0,6,1,3,7,0,1,5,0,1,0,0,0,1144,68,1622
,신장동제7투,3469,1560,53,439,572,120,11,13,2,90,12,60,1,0,0,14,0,0,61,1,0,1,1,0,0,7,7,4,13,0,0,4,1,0,0,0,0,1487,73,1909
,신장동제8투,4231,2406,74,617,839,284,11,20,2,182,11,118,4,0,2,24,0,1,74,0,0,5,1,0,1,9,5,4,14,0,2,7,1,1,2,2,0,2317,89,1825
