읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,139778,99584,6079,29710,31436,10077,524,476,96,7064,345,5590,76,15,24,502,32,38,1983,34,20,81,367,8,44,135,160,182,699,15,63,371,33,12,34,29,48,96402,3182,40194
거소·선상투표,,199,192,27,59,44,17,2,0,0,9,2,9,2,0,0,3,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,181,11,7
관외사전투표,,9915,9909,628,2270,3451,1153,34,56,12,694,25,729,21,2,3,64,4,8,78,5,2,11,38,0,9,12,19,34,107,1,20,15,6,3,5,3,6,9528,381,6
재외투표,,679,174,10,34,70,21,1,0,0,7,1,18,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,170,4,505
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고천동,소계,10345,7437,507,2490,2190,701,56,32,16,421,49,360,3,1,4,44,2,2,178,1,1,7,29,0,2,11,11,18,41,1,4,25,3,1,5,4,7,7227,210,2908
,관내사전투표,3538,3538,264,1058,1147,342,21,13,5,182,34,235,2,0,3,14,1,2,42,1,1,3,16,0,0,3,5,9,19,1,2,5,1,1,1,3,3,3439,99,0
,고천동제1투,1513,759,53,284,193,62,14,3,2,29,3,22,0,1,0,3,1,0,37,0,0,3,1,0,0,2,1,2,4,0,1,5,0,0,0,1,0,727,32,754
,고천동제2투,2236,1291,80,458,349,119,5,11,6,78,5,49,0,0,0,13,0,0,40,0,0,1,5,0,0,1,3,2,10,0,1,12,2,0,3,0,4,1257,34,945
