읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,385807,234103,5220,65411,80597,21863,1598,3777,303,15379,4450,12610,282,63,73,1704,85,156,4195,109,72,181,317,25,149,413,641,579,2253,63,168,849,213,38,122,128,138,224224,9879,151704
거소·선상투표,,700,647,31,154,184,52,6,14,1,50,18,25,7,1,0,13,2,2,3,1,1,3,1,0,1,2,2,6,0,0,1,2,1,0,0,1,0,585,62,53
관외사전투표,,20825,20817,586,4557,7519,2218,84,375,30,1391,164,1512,98,17,9,228,7,13,176,20,15,29,54,4,22,44,62,106,201,8,39,56,29,3,10,37,19,19742,1075,8
재외투표,,1297,305,4,66,105,44,2,0,0,15,1,47,0,0,1,0,0,0,4,1,0,0,1,0,0,1,0,1,5,0,0,3,0,0,0,0,0,301,4,992
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부1동,소계,26653,12333,288,3806,3896,993,107,157,16,695,361,534,11,4,4,96,6,8,224,11,3,16,11,1,18,25,38,43,157,7,10,56,22,6,11,9,10,11660,673,14320
,관내사전투표,3559,3557,74,1033,1298,290,27,39,6,167,102,229,2,0,0,27,1,2,29,1,1,6,2,0,3,8,6,13,33,0,1,8,8,1,3,1,1,3422,135,2
,의정부1동제1투,3588,1261,30,414,315,109,14,19,0,87,66,31,2,0,1,13,2,0,31,2,0,2,1,0,2,2,6,6,17,0,1,9,2,0,3,1,0,1188,73,2327
,의정부1동제2투,5136,1563,33,479,461,120,17,15,3,106,38,50,1,0,0,17,1,0,31,1,0,1,3,0,4,4,10,6,25,1,1,17,1,0,0,2,7,1455,108,3573
,의정부1동제3투,3524,1425,30,470,444,95,15,22,0,68,47,41,3,1,1,13,1,2,32,3,2,2,1,0,1,1,4,2,20,2,2,7,4,1,2,1,1,1341,84,2099
,의정부1동제4투,2987,1411,38,514,381,106,10,19,1,76,42,48,1,0,0,12,1,0,34,1,0,0,2,1,2,6,1,5,17,1,1,4,2,2,1,3,0,1332,79,1576
,의정부1동제5투,3692,1435,40,382,475,149,11,19,2,92,22,60,1,2,1,7,0,2,26,2,0,3,0,0,3,1,4,7,26,1,2,4,2,1,2,0,0,1349,86,2257
,의정부1동제6투,4167,1681,43,514,522,124,13,24,4,99,44,75,1,1,1,7,0,2,41,1,0,2,2,0,3,3,7,4,19,2,2,7,3,1,0,1,1,1573,108,2486
의정부2동,소계,26475,14042,314,3748,4917,1364,108,162,19,861,332,728,19,5,4,129,3,11,250,3,5,11,23,2,7,30,58,27,151,6,16,63,15,2,7,7,11,13418,624,12433
,관내사전투표,3986,3986,92,935,1606,392,23,32,3,203,95,314,4,1,0,30,1,2,34,0,0,4,7,0,0,2,8,4,41,3,3,7,4,0,0,2,3,3855,131,0
,의정부2동제1투,3602,1340,50,362,439,110,17,17,1,70,34,55,4,0,2,11,0,1,24,2,0,0,5,0,1,8,8,5,17,0,2,7,2,0,0,1,1,1256,84,2262
,의정부2동제2투,2983,1241,26,401,348,99,19,19,4,65,41,51,1,1,0,21,0,1,35,1,2,0,1,0,1,0,11,1,12,1,4,3,0,0,2,0,1,1172,69,1742
,의정부2동제3투,3616,1527,25,409,511,154,14,23,1,91,43,63,1,0,1,17,1,0,45,0,0,0,2,0,2,4,5,4,18,0,2,8,2,1,1,1,1,1450,77,2089
,의정부2동제4투,2459,955,17,287,304,71,9,11,3,65,20,38,0,1,0,13,0,3,32,0,0,3,1,1,0,3,5,0,13,0,2,7,1,0,1,1,1,913,42,1504
,의정부2동제5투,2995,1187,29,351,372,100,7,23,4,73,28,51,2,2,0,19,0,2,24,0,2,1,2,0,2,3,5,5,11,1,1,7,1,1,1,1,2,1133,54,1808
,의정부2동제6투,3485,1644,35,467,565,137,10,20,2,95,43,57,2,0,1,10,1,2,39,0,0,2,3,0,0,7,12,2,16,1,2,18,2,0,1,0,1,1553,91,1841
,의정부2동제7투,3349,2162,40,536,772,301,9,17,1,199,28,99,5,0,0,8,0,0,17,0,1,1,2,1,1,3,4,6,23,0,0,6,3,0,1,1,1,2086,76,1187
호원1동,소계,29710,18575,439,5713,6344,1620,151,159,31,1153,304,971,17,3,3,97,5,16,374,4,3,10,26,0,10,25,53,33,165,6,11,55,7,6,11,8,12,17845,730,11135
,관내사전투표,5610,5610,125,1513,2257,490,45,45,11,260,75,418,4,0,1,22,2,6,43,2,1,3,7,0,2,3,9,11,40,2,2,9,0,0,0,1,1,5410,200,0
,호원1동제1투,2767,1409,42,475,443,136,12,14,1,100,17,52,0,1,0,6,0,2,24,0,0,0,3,0,0,0,3,1,11,0,0,4,3,0,2,0,0,1352,57,1358
,호원1동제2투,3507,2095,40,822,576,162,22,22,2,140,30,89,1,0,1,8,2,3,48,0,0,1,5,0,1,1,9,3,18,0,1,7,2,1,3,2,0,2022,73,1412
,호원1동제3투,2233,1048,36,314,329,78,12,7,1,58,39,42,1,0,0,6,0,1,29,1,0,0,2,0,1,3,3,2,13,0,0,4,0,0,1,1,2,986,62,1185
,호원1동제4투,5083,2184,69,593,750,193,26,18,4,143,35,102,2,1,1,26,0,0,62,0,2,2,4,0,2,4,9,5,20,0,2,11,1,1,1,2,2,2093,91,2899
,호원1동제5투,2404,1492,42,438,503,137,11,8,4,95,13,67,4,0,0,7,0,3,47,0,0,2,2,0,1,7,3,3,14,0,3,4,0,0,0,1,2,1421,71,912
,호원1동제6투,2962,1862,37,637,592,136,9,13,3,145,42,77,0,1,0,5,0,0,48,0,0,0,1,0,2,2,8,3,15,4,1,4,1,2,1,0,1,1790,72,1100
,호원1동제7투,3445,1907,33,605,578,205,10,22,2,138,42,84,4,0,0,11,0,0,51,0,0,1,2,0,1,2,8,4,21,0,1,8,0,2,2,1,3,1841,66,1538
,호원1동제8투,1699,968,15,316,316,83,4,10,3,74,11,40,1,0,0,6,1,1,22,1,0,1,0,0,0,3,1,1,13,0,1,4,0,0,1,0,1,930,38,731
호원2동,소계,28961,19079,391,5446,6560,1823,155,169,24,1278,449,1040,18,2,6,96,11,11,334,1,6,14,26,0,8,26,60,45,189,2,12,74,9,0,10,8,17,18320,759,9882
,관내사전투표,6473,6473,117,1638,2654,628,36,54,6,325,131,505,3,1,2,14,2,2,47,0,2,3,8,0,0,5,13,5,51,0,1,10,6,0,3,0,7,6279,194,0
,호원2동제1투,3672,1807,37,545,551,153,13,18,3,132,55,81,5,1,0,10,2,2,56,1,2,4,3,0,1,3,7,4,18,1,3,14,2,0,2,1,2,1732,75,1865
,호원2동제2투,3135,1843,43,545,589,183,19,17,4,127,44,68,1,0,0,17,1,2,38,0,0,1,3,0,1,3,7,4,22,0,2,4,1,0,0,2,4,1752,91,1292
