읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,179068,110102,2322,40143,32508,9020,702,845,200,6259,739,4773,201,62,50,855,68,67,2386,67,64,120,136,28,99,361,370,423,764,35,112,445,79,23,68,84,79,104557,5545,68966
거소·선상투표,,535,503,34,109,68,25,4,17,3,30,7,13,2,3,3,8,2,2,13,2,3,1,1,2,3,4,1,4,0,0,3,0,1,1,0,3,3,375,128,32
관외사전투표,,8614,8612,222,2418,2700,790,33,79,20,609,29,466,50,9,5,107,5,2,113,11,9,17,22,1,12,33,44,47,101,2,28,36,11,2,5,16,7,8061,551,2
재외투표,,476,104,3,16,37,13,0,0,0,6,0,13,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,102,2,372
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장호원읍,소계,11932,7429,153,3159,1979,498,79,30,21,347,69,229,8,4,2,47,4,4,149,2,9,9,7,3,4,19,17,34,25,4,10,33,4,2,9,4,5,6982,447,4503
,관내사전투표,2662,2662,52,972,891,202,22,9,6,123,21,113,4,2,0,15,1,1,37,1,1,3,1,0,0,6,6,15,10,1,4,6,2,0,2,1,3,2533,129,0
,장호원읍제1투,1960,884,18,381,212,44,9,5,2,43,9,24,1,0,0,11,0,1,26,0,1,1,0,0,0,3,4,6,3,0,1,4,0,0,4,0,0,813,71,1076
,장호원읍제2투,1614,784,17,373,173,42,15,3,2,30,12,19,1,1,0,6,0,0,18,0,2,0,0,0,2,1,1,2,5,0,2,9,1,0,1,0,1,739,45,830
,장호원읍제3투,821,466,8,241,79,24,10,3,5,12,9,11,0,0,0,0,2,0,19,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,431,35,355
,장호원읍제4투,928,579,10,337,117,22,4,3,1,19,4,6,1,0,1,2,0,0,13,0,0,1,0,0,0,2,0,2,2,1,0,3,0,0,0,0,0,551,28,349
,장호원읍제5투,920,488,11,202,114,42,3,1,1,48,3,10,0,0,0,3,0,0,6,0,1,1,1,0,1,3,0,2,2,0,0,3,0,0,1,2,0,461,27,432
,장호원읍제6투,507,285,10,139,60,9,4,2,2,8,6,2,0,0,0,4,0,1,5,1,3,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,263,22,222
,장호원읍제7투,2520,1281,27,514,333,113,12,4,2,64,5,44,1,1,1,6,1,1,25,0,1,1,1,2,1,4,4,4,3,1,3,7,1,2,0,1,1,1191,90,1239
부발읍,소계,26612,15340,376,4955,4988,1432,72,140,26,880,80,707,19,9,6,113,10,12,371,4,9,19,19,4,15,48,52,45,97,3,17,68,9,3,12,10,6,14636,704,11272
,관내사전투표,4328,4328,92,1418,1522,397,16,37,11,217,18,285,3,2,0,29,4,2,61,0,3,3,2,0,3,8,11,5,17,1,3,12,3,1,2,1,1,4190,138,0
,부발읍제1투,3981,1494,32,564,403,105,7,15,4,72,10,42,3,0,2,12,3,0,73,1,2,3,0,0,6,8,9,9,16,0,2,11,1,1,2,1,2,1421,73,2487
,부발읍제2투,1942,902,26,395,197,57,8,12,2,34,11,16,2,1,0,6,1,1,40,1,0,1,2,0,0,4,3,4,3,1,0,6,1,0,1,0,0,836,66,1040
,부발읍제3투,514,318,9,176,53,16,4,4,0,9,4,6,0,5,0,1,0,0,7,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,301,17,196
,부발읍제4투,3023,1547,43,475,486,170,10,11,2,118,3,48,2,0,2,8,0,0,45,0,0,3,4,1,1,4,4,5,12,0,2,6,0,0,0,1,0,1466,81,1476
