읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,371239,231730,4964,68470,78005,23354,1447,1787,296,14440,1089,13298,269,73,104,1684,110,115,5397,102,95,252,821,25,150,453,588,625,1717,33,189,944,151,33,128,143,131,221482,10248,139509
거소·선상투표,,1094,1057,36,247,289,81,7,10,7,93,11,37,5,1,1,28,2,4,12,1,5,2,8,0,2,5,6,8,0,2,3,4,2,3,3,4,1,930,127,37
관외사전투표,,20443,20431,474,5041,7234,2307,81,176,33,1216,62,1558,72,7,9,181,9,9,232,5,13,26,94,4,23,35,52,80,180,7,39,60,30,5,15,12,24,19405,1026,12
재외투표,,1431,362,4,65,133,51,1,1,2,20,0,54,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,3,1,0,0,4,0,0,1,1,1,354,8,1069
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산읍,소계,36951,20794,482,6897,6761,1779,173,154,30,1052,112,910,28,7,12,182,13,7,435,8,7,28,40,1,19,43,61,58,148,4,12,86,12,2,19,18,11,19611,1183,16157
,관내사전투표,6219,6219,131,1751,2499,514,27,48,7,283,22,411,6,2,1,53,3,2,69,2,2,9,9,1,6,3,15,16,44,2,4,9,1,1,5,1,3,5962,257,0
,문산읍제1투,2868,1511,38,621,406,128,14,9,3,78,5,53,4,0,0,9,1,0,44,0,1,2,4,0,0,4,0,3,6,0,1,7,0,0,1,4,1,1447,64,1357
,문산읍제2투,4505,2122,46,604,703,202,19,18,5,135,7,93,6,0,4,25,2,0,52,3,0,1,4,0,1,2,8,5,15,0,1,17,0,0,2,1,0,1981,141,2383
,문산읍제3투,3756,1606,31,584,432,120,26,14,1,97,14,58,6,0,3,13,0,1,54,0,1,1,3,0,1,3,6,6,13,0,0,9,1,0,4,3,0,1505,101,2150
,문산읍제4투,2421,989,21,335,302,102,7,7,1,60,4,38,0,0,0,9,0,0,29,0,0,1,1,0,1,1,5,2,8,1,0,3,1,0,0,1,1,941,48,1432
,문산읍제5투,3415,1506,45,487,471,112,23,9,2,72,9,42,1,2,1,17,1,1,47,0,0,2,2,0,3,11,7,5,11,0,2,10,1,0,1,1,0,1398,108,1909
,문산읍제6투,869,491,14,193,135,35,7,5,2,14,5,13,2,1,1,0,0,0,12,1,1,1,0,0,1,2,0,0,1,1,0,5,2,0,0,1,1,456,35,378
,문산읍제7투,1020,603,27,299,111,30,14,7,1,8,5,14,0,1,0,2,1,0,9,0,0,1,2,0,2,2,1,0,3,0,1,0,0,0,2,2,0,545,58,417
,문산읍제8투,675,358,14,168,69,34,5,1,0,9,8,9,1,0,0,2,1,0,5,0,1,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,1,335,23,317
,문산읍제9투,2587,1275,31,496,365,121,3,8,3,70,7,38,1,1,0,6,0,1,24,0,0,2,2,0,0,4,5,4,5,0,1,2,0,0,0,1,2,1203,72,1312
,문산읍제10투,1667,881,24,375,203,57,9,6,1,43,11,32,0,0,1,11,1,1,18,2,1,3,1,0,1,3,4,3,6,0,1,4,1,0,1,0,1,825,56,786
,문산읍제11투,3539,1666,32,514,543,151,13,9,3,75,11,56,0,0,1,16,1,1,52,0,0,2,5,0,1,5,6,3,14,0,1,11,1,0,2,0,1,1530,136,1873
,문산읍제12투,3410,1567,28,470,522,173,6,13,1,108,4,53,1,0,0,19,2,0,20,0,0,3,6,0,2,2,4,10,22,0,0,6,4,1,1,2,0,1483,84,1843
조리읍,소계,24704,14574,317,5042,4545,1284,103,110,23,811,81,668,9,5,5,116,4,11,430,2,3,14,37,1,10,24,35,37,107,1,11,83,9,3,11,8,8,13968,606,10130
,관내사전투표,3888,3888,69,1188,1498,337,20,29,6,179,13,278,5,1,4,29,3,2,44,0,1,3,9,0,2,1,8,9,16,0,4,6,1,1,2,3,0,3771,117,0
,조리읍제1투,3789,2299,46,802,653,206,18,14,2,164,10,114,0,1,1,23,1,1,89,1,0,2,8,0,0,3,4,6,19,0,2,21,1,0,4,0,2,2218,81,1490
,조리읍제2투,2732,1289,43,460,386,89,7,19,1,72,8,45,1,0,0,12,0,1,35,0,1,2,5,0,1,4,2,2,10,0,2,13,2,0,1,1,1,1226,63,1443
,조리읍제3투,1906,968,29,362,281,80,9,9,0,50,11,26,2,0,0,10,0,1,38,0,0,1,0,0,0,2,2,2,5,0,0,7,1,0,0,0,0,928,40,938
,조리읍제4투,3094,1806,36,635,515,194,10,8,3,119,5,72,0,0,0,11,0,0,54,0,0,5,3,0,2,3,7,7,15,0,0,9,0,0,0,3,1,1717,89,1288
,조리읍제5투,1649,597,23,226,157,33,8,4,4,22,4,21,1,0,0,3,0,1,15,0,0,0,3,0,1,3,2,4,8,1,1,6,1,0,0,0,1,553,44,1052
,조리읍제6투,3434,1683,33,539,528,160,10,15,2,113,9,63,0,1,0,9,0,2,63,0,1,0,6,0,1,4,5,3,23,0,0,10,1,1,2,0,3,1607,76,1751
,조리읍제7투,1801,875,12,367,212,75,7,8,3,38,6,13,0,1,0,9,0,3,53,1,0,1,2,1,1,1,1,1,4,0,0,4,0,1,1,0,0,826,49,926
,조리읍제8투,1161,578,13,222,170,52,8,1,0,25,6,12,0,1,0,5,0,0,26,0,0,0,1,0,1,0,2,2,3,0,1,4,1,0,0,1,0,557,21,583
,조리읍제9투,1250,591,13,241,145,58,6,3,2,29,9,24,0,0,0,5,0,0,13,0,0,0,0,0,1,3,2,1,4,0,1,3,1,0,1,0,0,565,26,659
법원읍,소계,9537,5482,170,2208,1404,394,63,59,12,249,54,141,4,7,9,48,9,6,138,4,5,12,12,2,1,13,18,24,21,1,2,12,7,0,6,8,4,5127,355,4055
,관내사전투표,1686,1686,52,585,516,154,15,21,3,81,11,67,4,4,2,6,1,2,23,3,2,3,3,0,0,2,6,8,7,1,0,3,3,0,0,1,2,1591,95,0
,법원읍제1투,1944,825,24,361,190,58,14,12,5,27,4,18,0,1,1,13,3,1,18,0,0,2,3,1,0,1,0,3,0,0,2,1,2,0,0,2,0,767,58,1119
,법원읍제2투,544,315,15,140,68,18,2,4,0,15,7,4,0,1,0,0,0,1,6,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,2,3,1,293,22,229
,법원읍제3투,660,381,13,166,96,18,4,5,2,17,3,9,0,0,0,2,0,0,8,0,2,0,0,0,0,2,1,2,1,0,0,3,0,0,1,0,0,355,26,279
,법원읍제4투,1667,778,25,289,209,55,4,4,1,36,11,17,0,0,4,9,2,1,26,1,0,2,3,0,0,4,5,2,4,0,0,1,1,0,1,1,0,718,60,889
,법원읍제5투,1394,627,15,288,137,32,8,5,0,32,8,10,0,0,0,6,3,1,23,0,0,4,0,0,0,2,1,3,1,0,0,1,1,0,2,0,1,584,43,767
,법원읍제6투,1642,870,26,379,188,59,16,8,1,41,10,16,0,1,2,12,0,0,34,0,1,1,1,1,1,1,3,6,8,0,0,2,0,0,0,1,0,819,51,772
파주읍,소계,11298,6336,144,2545,1649,478,76,47,15,270,68,252,9,2,5,72,8,1,142,3,4,5,18,4,5,15,20,17,37,1,3,28,1,2,4,7,6,5963,373,4962
,관내사전투표,2043,2043,43,766,593,173,20,15,5,97,20,129,3,2,2,17,4,0,16,1,2,1,4,1,2,5,6,2,9,0,0,4,0,1,0,3,3,1949,94,0
,파주읍제1투,2934,1077,19,468,256,73,7,6,2,34,14,33,0,0,0,16,1,0,28,0,0,3,3,0,1,4,4,4,10,0,2,6,1,0,1,2,0,998,79,1857
,파주읍제2투,2263,1040,26,357,313,82,11,9,2,48,9,39,2,0,3,14,1,1,33,0,1,0,1,0,1,3,6,5,4,0,1,10,0,1,2,1,0,986,54,1223
,파주읍제3투,926,489,21,193,105,37,11,6,4,19,6,22,1,0,0,4,0,0,10,0,0,0,1,0,1,1,1,1,5,0,0,3,0,0,0,0,2,454,35,437
,파주읍제4투,1011,529,12,239,126,34,11,4,0,21,5,8,1,0,0,5,1,0,17,1,1,0,2,2,0,1,1,1,3,1,0,0,0,0,1,1,0,499,30,482
,파주읍제5투,909,463,11,213,97,35,8,3,1,18,6,12,1,0,0,9,1,0,9,0,0,0,3,0,0,1,1,2,1,0,0,1,0,0,0,0,0,433,30,446
,파주읍제6투,1212,695,12,309,159,44,8,4,1,33,8,9,1,0,0,7,0,0,29,1,0,1,4,1,0,0,1,2,5,0,0,4,0,0,0,0,1,644,51,517
광탄면,소계,10141,5757,125,2483,1397,472,70,31,21,273,67,191,7,6,5,45,6,6,156,5,4,3,15,0,6,8,20,8,24,1,3,13,2,0,3,7,7,5490,267,4384
,관내사전투표,2036,2036,43,771,595,182,26,10,7,102,20,98,2,3,3,18,2,0,19,2,1,1,8,0,5,2,4,5,9,0,0,3,0,0,0,2,2,1945,91,0
,광탄면제1투,2544,1070,23,472,255,79,18,6,5,40,18,27,0,0,1,9,1,2,39,1,1,0,4,0,0,3,4,2,6,1,1,2,0,0,1,0,1,1022,48,1474
,광탄면제2투,1898,940,14,472,204,62,8,6,4,45,10,20,1,1,0,12,2,0,23,1,0,0,1,0,1,0,3,0,3,0,0,2,1,0,0,1,3,900,40,958
,광탄면제3투,1007,550,16,265,85,52,4,3,4,31,9,18,1,2,0,0,0,1,18,1,2,0,0,0,0,2,3,0,1,0,0,1,1,0,1,0,0,521,29,457
