읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,128937,75618,1700,28578,21547,5515,726,1136,179,3848,782,2801,129,37,31,678,56,42,1645,42,50,92,84,17,68,190,235,269,434,29,48,280,61,24,58,55,63,71529,4089,53319
거소·선상투표,,292,277,11,56,80,15,5,5,2,13,3,7,1,1,0,11,0,1,18,0,0,4,0,0,1,0,1,2,2,0,0,2,1,0,0,1,2,245,32,15
관외사전투표,,5524,5520,135,1696,1744,453,30,68,18,319,18,315,34,6,0,72,3,4,56,3,10,7,12,0,6,10,26,46,52,7,8,18,10,2,4,9,7,5208,312,4
재외투표,,293,72,0,17,28,5,1,0,0,4,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,70,2,221
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소흘읍,소계,34963,18990,413,6495,6157,1537,136,299,29,1050,159,772,26,6,7,155,12,7,401,7,15,22,20,1,10,45,46,48,161,5,10,90,22,3,10,8,11,18195,795,15973
,관내사전투표,5344,5343,100,1605,2087,413,30,82,8,245,43,320,5,4,2,37,1,1,48,3,7,6,2,0,0,10,7,10,51,3,1,10,5,0,1,3,2,5152,191,1
,소흘읍제1투,3685,1421,36,487,411,97,22,35,6,77,10,58,2,0,1,17,1,1,45,0,2,1,0,0,2,7,5,6,15,0,0,8,2,2,0,0,0,1356,65,2264
,소흘읍제2투,1474,762,15,353,159,43,12,9,1,47,13,22,0,0,1,7,0,1,19,1,0,1,2,0,0,3,1,2,2,1,1,3,1,0,0,0,0,720,42,712
