읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,53770,39026,679,18125,6720,2550,508,580,158,2283,393,1229,83,34,23,335,42,41,669,36,36,69,128,26,100,159,150,336,162,32,89,104,48,23,65,110,125,36250,2776,14744
거소·선상투표,,177,163,3,74,26,4,5,2,1,12,3,8,2,1,0,3,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,2,0,154,9,14
관외사전투표,,2731,2730,69,942,666,230,17,37,12,168,9,132,22,2,1,27,3,1,42,1,3,8,17,3,9,8,10,27,34,0,10,9,8,2,2,8,5,2544,186,1
재외투표,,277,79,2,29,23,10,0,2,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,77,2,198
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거창읍,소계,30374,20563,303,9433,3913,1459,232,287,64,1321,179,694,34,15,11,193,14,21,396,13,13,29,75,7,52,82,95,178,99,12,41,49,22,7,22,28,34,19427,1136,9811
,관내사전투표,7491,7490,93,3345,1700,532,72,127,11,427,52,338,12,6,1,58,5,9,65,7,4,11,38,4,17,24,31,59,37,3,12,11,4,0,8,5,9,7137,353,1
,거창읍제1투,2324,1264,16,527,250,102,5,23,3,93,11,48,1,0,0,20,2,0,26,0,1,1,3,0,4,4,8,15,5,1,6,1,3,1,4,2,3,1189,75,1060
,거창읍제2투,2399,1423,16,725,187,95,23,17,4,93,17,31,2,3,2,7,0,1,54,0,0,2,3,1,6,8,5,11,8,2,3,4,4,1,0,2,3,1340,83,976
,거창읍제3투,2537,1502,28,720,262,83,16,26,7,98,11,36,5,4,0,18,2,5,23,1,1,1,3,0,2,6,9,14,7,1,4,6,1,0,1,4,2,1407,95,1035
,거창읍제4투,3348,1844,37,833,329,127,16,28,4,126,19,46,1,0,1,18,0,2,87,1,1,2,6,0,3,9,8,16,11,0,2,4,1,1,4,2,3,1748,96,1504
,거창읍제5투,2953,1674,25,829,260,127,27,7,7,114,14,47,4,0,2,12,1,0,32,2,1,3,6,1,2,8,9,10,5,2,6,5,3,1,0,5,2,1579,95,1279
,거창읍제6투,2169,1203,22,554,205,97,20,10,8,59,17,28,2,0,0,12,0,1,21,0,2,4,6,0,4,7,6,14,8,0,2,5,1,1,0,1,0,1117,86,966
,거창읍제7투,2150,1218,26,533,221,109,11,11,2,81,10,37,1,1,4,18,1,1,25,0,1,1,4,0,4,8,4,14,1,0,2,3,1,0,2,1,2,1140,78,932
,거창읍제8투,1218,816,19,413,104,33,13,11,4,45,7,13,1,1,0,10,1,2,20,2,0,1,2,1,7,3,6,14,4,1,0,1,0,2,2,2,6,751,65,402
,거창읍제9투,1453,906,10,366,199,74,10,11,4,95,6,32,1,0,0,6,1,0,26,0,0,1,1,0,1,3,4,6,4,2,1,7,1,0,1,1,1,875,31,547
,거창읍제10투,2332,1223,11,588,196,80,19,16,10,90,15,38,4,0,1,14,1,0,17,0,2,2,3,0,2,2,5,5,9,0,3,2,3,0,0,3,3,1144,79,1109
주상면,소계,1580,1245,24,650,139,64,19,10,5,77,18,32,1,1,0,6,1,1,18,1,2,4,3,0,2,8,6,11,6,2,0,5,4,0,1,2,6,1129,116,335
,관내사전투표,790,790,17,398,95,43,13,8,1,44,14,25,0,0,0,4,0,0,10,0,1,4,3,0,2,4,5,7,5,2,0,3,3,0,1,1,5,718,72,0
,주상면투표소,790,455,7,252,44,21,6,2,4,33,4,7,1,1,0,2,1,1,8,1,1,0,0,0,0,4,1,4,1,0,0,2,1,0,0,1,1,411,44,335
웅양면,소계,1754,1311,34,651,203,58,26,36,8,65,15,36,7,2,1,9,2,1,20,3,1,3,6,4,5,4,2,5,1,3,6,6,1,3,3,2,7,1239,72,443
,관내사전투표,872,872,23,446,124,38,18,26,6,46,8,29,5,1,1,4,2,1,14,2,1,1,5,3,3,2,2,3,1,1,2,1,1,1,1,1,4,827,45,0
,웅양면투표소,882,439,11,205,79,20,8,10,2,19,7,7,2,1,0,5,0,0,6,1,0,2,1,1,2,2,0,2,0,2,4,5,0,2,2,1,3,412,27,443
고제면,소계,1405,1076,19,510,145,68,32,43,7,49,15,27,1,2,0,3,2,4,10,3,4,1,4,0,0,4,2,7,2,1,1,3,0,0,2,4,2,977,99,329
,관내사전투표,649,649,15,294,93,51,20,23,7,24,8,21,1,1,0,2,1,3,3,2,2,1,4,0,0,3,2,5,0,1,0,0,0,0,1,2,2,592,57,0
,고제면투표소,756,427,4,216,52,17,12,20,0,25,7,6,0,1,0,1,1,1,7,1,2,0,0,0,0,1,0,2,2,0,1,3,0,0,1,2,0,385,42,329
북상면,소계,1443,1088,15,464,166,63,20,33,7,71,21,35,1,0,2,8,0,1,11,1,1,3,3,2,1,3,1,9,2,0,0,5,2,2,3,9,5,970,118,355
,관내사전투표,710,710,12,316,100,45,12,25,6,50,9,22,1,0,2,2,0,0,3,0,1,3,3,0,1,3,1,4,1,0,0,2,1,2,2,2,3,634,76,0
,북상면투표소,733,378,3,148,66,18,8,8,1,21,12,13,0,0,0,6,0,1,8,1,0,0,0,2,0,0,0,5,1,0,0,3,1,0,1,7,2,336,42,355
위천면,소계,1792,1374,21,655,189,71,21,28,8,83,16,36,1,1,0,13,3,0,15,4,0,6,0,0,10,9,2,23,3,2,7,4,0,2,4,5,5,1247,127,418
,관내사전투표,840,840,11,399,121,58,16,17,6,47,8,21,1,0,0,4,3,0,7,0,0,4,0,0,5,5,0,18,2,1,2,1,0,0,2,4,3,766,74,0
,위천면투표소,952,534,10,256,68,13,5,11,2,36,8,15,0,1,0,9,0,0,8,4,0,2,0,0,5,4,2,5,1,1,5,3,0,2,2,1,2,481,53,418
마리면,소계,2048,1554,39,722,229,102,19,18,3,89,23,37,4,3,1,26,5,1,38,0,3,2,4,0,2,3,3,11,2,1,4,2,4,1,6,6,9,1422,132,494
,관내사전투표,970,970,24,443,160,79,12,8,1,57,15,25,3,2,0,20,5,1,8,0,1,0,4,0,2,1,3,7,2,0,3,1,1,1,2,2,7,900,70,0
,마리면투표소,1078,584,15,279,69,23,7,10,2,32,8,12,1,1,1,6,0,0,30,0,2,2,0,0,0,2,0,4,0,1,1,1,3,0,4,4,2,522,62,494
남상면,소계,2302,1753,37,893,245,88,33,13,10,76,18,36,1,1,1,10,2,3,32,0,2,4,5,2,1,10,1,18,3,3,6,4,1,1,4,11,11,1586,167,549
,관내사전투표,1206,1206,29,621,178,68,23,8,4,51,11,28,1,1,1,7,1,2,6,0,1,4,5,1,1,7,0,13,1,3,5,2,0,1,3,9,7,1103,103,0
,남상면투표소,1096,547,8,272,67,20,10,5,6,25,7,8,0,0,0,3,1,1,26,0,1,0,0,1,0,3,1,5,2,0,1,2,1,0,1,2,4,483,64,549
남하면,소계,1758,1413,32,677,204,104,13,17,5,60,15,37,4,2,2,14,2,4,25,5,1,2,3,1,4,7,5,11,4,2,4,2,1,2,4,7,5,1287,126,345
,관내사전투표,925,925,23,443,157,74,7,16,4,43,7,26,2,0,1,8,1,1,13,1,1,1,2,0,3,7,2,8,3,1,2,2,1,0,2,4,3,869,56,0
,남하면투표소,833,488,9,234,47,30,6,1,1,17,8,11,2,2,1,6,1,3,12,4,0,1,1,1,1,0,3,3,1,1,2,0,0,2,2,3,2,418,70,345
신원면,소계,1341,1001,25,485,116,43,24,9,7,44,15,20,1,1,2,7,1,1,10,0,3,4,1,1,4,4,6,9,0,0,1,3,1,0,6,10,8,872,129,340
,관내사전투표,538,538,13,272,69,25,8,7,5,25,9,16,1,1,0,4,1,1,3,0,1,1,0,1,2,3,3,3,0,0,0,1,0,0,2,2,3,482,56,0
,신원면투표소,803,463,12,213,47,18,16,2,2,19,6,4,0,0,2,3,0,0,7,0,2,3,1,0,2,1,3,6,0,0,1,2,1,0,4,8,5,390,73,340
가조면,소계,3586,2775,35,1474,350,143,27,37,15,128,28,74,3,2,1,12,6,1,38,5,2,3,5,4,7,9,11,14,4,4,3,4,2,2,7,10,14,2484,291,811
