읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,46075,31388,703,15407,6174,2016,388,384,115,1028,246,943,50,24,18,272,19,30,553,25,32,45,43,16,45,78,88,152,107,15,34,109,29,16,38,46,45,29333,2055,14687
거소·선상투표,,284,275,17,107,57,10,8,4,3,7,4,9,4,0,0,2,3,1,2,0,1,1,0,0,1,1,2,3,0,0,1,0,0,0,0,1,1,250,25,9
관외사전투표,,2651,2651,61,1010,694,239,24,24,6,139,10,126,9,1,1,32,2,4,25,1,1,5,8,0,1,11,10,19,24,0,5,10,8,0,0,3,2,2515,136,0
재외투표,,267,53,1,23,11,1,0,5,0,2,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,52,1,214
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고성읍,소계,19552,12632,240,6023,2818,893,108,137,32,477,81,387,17,6,6,130,4,6,227,6,11,16,15,3,15,37,41,48,50,4,13,35,12,2,16,14,8,11938,694,6920
,관내사전투표,4843,4842,102,1990,1361,422,26,57,9,170,21,202,5,1,1,51,2,3,43,2,4,7,7,1,2,15,20,16,22,3,5,8,4,0,1,6,3,4592,250,1
,고성읍제1투,2575,1348,20,717,254,83,12,16,6,37,7,35,3,0,0,14,1,0,39,0,2,0,1,0,2,5,5,5,4,0,0,5,1,0,1,1,2,1278,70,1227
,고성읍제2투,4031,2207,33,1162,408,142,22,17,6,109,19,42,4,1,1,23,0,1,39,1,2,2,3,0,4,5,2,9,8,0,3,9,1,0,4,3,0,2085,122,1824
