읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,39540,28254,567,12752,6079,1805,324,253,122,868,314,829,54,15,26,194,27,21,437,17,25,50,44,12,64,109,87,159,89,17,41,81,26,12,32,45,53,25650,2604,11286
거소·선상투표,,215,192,5,76,39,5,6,2,1,8,2,7,1,0,1,2,1,0,1,0,0,2,0,0,3,1,1,2,0,0,0,0,0,1,0,0,0,167,25,23
관외사전투표,,2165,2165,43,829,533,207,14,16,8,129,9,96,9,0,0,30,1,4,15,0,1,6,7,0,6,7,5,14,12,1,5,6,2,0,0,3,5,2023,142,0
재외투표,,187,40,0,13,13,3,0,0,0,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,39,1,147
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남해읍,소계,10783,7560,144,3128,1857,632,52,66,29,285,80,281,21,4,7,53,5,4,112,1,4,8,11,1,19,26,27,38,45,6,11,20,8,1,10,7,14,7017,543,3223
,관내사전투표,3716,3716,77,1409,1072,344,18,32,11,148,31,172,13,1,3,27,2,1,32,0,3,3,9,1,8,11,10,13,19,4,2,9,2,1,6,2,5,3501,215,0
,남해읍제1투,1736,924,13,399,183,78,7,11,4,44,12,29,0,0,0,9,0,2,17,0,0,1,0,0,4,3,6,6,7,0,4,2,3,0,0,2,4,850,74,812
,남해읍제2투,1085,647,16,343,121,30,8,4,4,17,13,14,2,1,1,4,0,1,12,0,0,1,0,0,1,1,1,3,2,1,0,0,1,0,1,1,1,605,42,438
,남해읍제3투,1841,997,18,398,230,89,7,8,3,31,6,32,3,1,2,8,0,0,24,1,1,2,1,0,1,5,1,6,8,0,2,5,1,0,0,1,2,897,100,844
,남해읍제4투,2405,1276,20,579,251,91,12,11,7,45,18,34,3,1,1,5,3,0,27,0,0,1,1,0,5,6,9,10,9,1,3,4,1,0,3,1,2,1164,112,1129
이동면,소계,3359,2472,50,1225,473,152,42,18,5,71,26,48,2,3,1,9,3,0,30,1,4,5,3,1,5,6,6,14,3,1,5,6,0,2,3,5,3,2231,241,887
