읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,93495,61614,1246,30258,12295,4023,689,494,150,2626,617,2140,87,39,31,573,50,35,886,43,44,104,172,34,71,161,147,264,279,19,50,211,34,30,39,87,92,58120,3494,31881
거소·선상투표,,365,330,21,109,48,25,7,4,0,10,3,8,2,0,1,7,0,0,1,0,2,3,0,0,1,1,0,2,0,1,3,1,0,0,1,0,5,266,64,35
관외사전투표,,4668,4667,104,1833,1152,412,30,42,6,297,9,212,20,3,2,54,0,6,33,1,5,14,15,0,7,20,16,30,43,1,5,17,8,1,4,5,10,4417,250,1
재외투표,,356,75,0,21,26,6,0,2,0,2,0,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,74,1,281
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
삼랑진읍,소계,5905,3614,80,2003,573,173,41,25,8,116,44,100,1,1,1,30,2,0,42,1,4,7,8,6,5,6,3,18,12,2,1,13,3,0,1,5,5,3340,274,2291
,관내사전투표,1160,1159,22,600,226,78,16,7,3,38,10,49,0,0,0,8,0,0,7,0,0,1,3,4,2,1,1,4,3,1,1,5,0,0,0,1,1,1092,67,1
,삼랑진읍제1투,1982,997,14,584,129,45,5,6,2,43,14,27,1,0,0,13,0,0,13,0,1,1,2,1,0,4,0,6,5,1,0,5,0,0,0,1,1,924,73,985
,삼랑진읍제2투,1703,802,27,449,127,24,9,5,1,16,12,13,0,0,1,8,2,0,12,0,3,2,0,1,3,0,1,1,2,0,0,3,3,0,1,1,2,729,73,901
