읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,94968,63515,1274,29833,13708,4710,548,715,169,2864,485,2189,107,47,29,461,25,40,1083,39,51,79,85,21,57,170,153,300,333,18,54,190,56,26,47,88,86,60140,3375,31453
거소·선상투표,,323,299,10,130,38,13,2,5,0,17,4,7,3,0,0,12,0,0,2,1,0,1,1,1,1,3,0,4,0,1,0,2,1,0,0,0,0,259,40,24
관외사전투표,,4722,4721,112,1700,1268,427,19,37,11,268,22,244,29,6,2,52,0,6,44,4,6,9,12,0,5,16,14,26,69,0,9,15,7,0,0,10,6,4455,266,1
재외투표,,273,53,5,20,12,1,0,1,0,0,1,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,220
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사천읍,소계,14952,9343,163,4059,2287,786,66,121,19,460,64,347,10,7,6,86,3,5,185,4,2,10,15,2,8,22,23,46,49,1,8,31,7,2,13,12,9,8938,405,5609
,관내사전투표,4090,4090,78,1518,1248,409,30,58,6,196,19,214,6,3,3,43,0,2,39,1,1,2,8,1,2,6,7,14,19,0,1,5,2,1,2,4,5,3953,137,0
,사천읍제1투,3496,1676,30,757,389,120,12,24,4,91,12,45,2,3,2,12,0,0,38,2,0,2,1,1,2,5,5,12,9,0,2,10,2,0,2,1,1,1598,78,1820
,사천읍제2투,1964,1039,11,459,215,93,10,9,5,74,8,25,1,1,0,13,1,1,41,0,1,1,0,0,2,3,2,5,8,0,1,2,0,0,2,2,2,998,41,925
,사천읍제3투,1900,807,17,430,112,49,5,5,2,33,10,23,0,0,0,5,0,1,24,1,0,3,2,0,0,1,3,3,4,1,2,6,1,1,2,1,0,747,60,1093
,사천읍제4투,3502,1731,27,895,323,115,9,25,2,66,15,40,1,0,1,13,2,1,43,0,0,2,4,0,2,7,6,12,9,0,2,8,2,0,5,4,1,1642,89,1771
정동면,소계,7336,4667,89,1939,1087,437,48,71,9,253,33,166,15,3,0,40,1,3,151,0,2,5,5,3,4,13,10,17,27,2,1,9,2,0,4,5,6,4460,207,2669
,관내사전투표,1437,1437,18,567,400,120,9,25,2,77,10,66,1,1,0,13,0,1,30,0,0,1,1,0,1,6,3,8,6,1,0,0,1,0,0,1,0,1369,68,0
,정동면제1투,1565,880,20,407,182,78,7,13,4,34,8,27,2,1,0,6,1,0,23,0,0,2,1,0,2,1,0,1,7,0,1,0,0,0,1,1,3,833,47,685
,정동면제2투,2014,1237,24,476,273,137,18,20,1,81,8,40,8,0,0,15,0,1,49,0,0,1,2,2,1,5,4,4,9,0,0,6,0,0,2,0,2,1189,48,777
