읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,32209,23309,505,11210,3998,1460,284,303,95,1204,228,771,45,25,23,176,18,16,340,25,23,49,100,17,42,67,71,148,80,20,42,81,21,24,36,90,81,21718,1591,8900
거소·선상투표,,199,176,12,67,24,8,5,7,2,6,3,3,3,1,0,2,0,0,1,1,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,152,24,23
관외사전투표,,2546,2545,55,1097,580,203,22,28,9,149,8,121,8,1,3,29,0,0,30,1,3,7,12,0,4,8,8,11,25,1,8,10,3,0,1,5,2,2452,93,1
재외투표,,163,30,0,8,8,2,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,29,1,133
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산청읍,소계,5471,3893,75,1830,712,297,37,54,14,205,44,126,6,4,4,31,5,6,47,5,1,8,26,4,9,9,11,22,7,4,4,17,4,6,8,11,10,3663,230,1578
,관내사전투표,2065,2065,37,912,439,181,18,27,5,96,17,84,2,1,4,13,4,1,14,3,1,6,16,3,6,6,3,11,3,2,2,7,3,2,3,5,4,1941,124,0
,산청읍제1투,2635,1364,28,691,193,91,18,18,7,89,18,32,4,2,0,16,1,3,30,1,0,2,7,1,2,2,8,9,3,1,2,9,1,3,2,3,4,1301,63,1271
,산청읍제2투,771,464,10,227,80,25,1,9,2,20,9,10,0,1,0,2,0,2,3,1,0,0,3,0,1,1,0,2,1,1,0,1,0,1,3,3,2,421,43,307
차황면,소계,1251,936,20,431,119,60,15,10,4,66,17,21,1,3,1,2,1,2,16,2,3,4,2,1,3,5,4,10,3,2,1,4,0,3,3,8,8,855,81,315
,관내사전투표,495,495,12,221,74,36,10,5,2,39,10,13,1,0,0,2,1,0,4,0,3,2,0,1,2,2,1,2,2,1,0,2,0,0,1,5,5,459,36,0
,차황면투표소,756,441,8,210,45,24,5,5,2,27,7,8,0,3,1,0,0,2,12,2,0,2,2,0,1,3,3,8,1,1,1,2,0,3,2,3,3,396,45,315
오부면,소계,917,666,12,313,97,38,12,11,6,32,8,20,1,0,1,5,0,1,11,2,2,2,6,2,2,1,0,1,1,2,1,1,0,1,1,2,9,604,62,251
,관내사전투표,343,343,9,152,65,21,8,6,1,17,2,11,0,0,1,2,0,0,5,1,1,2,4,0,1,1,0,1,0,0,1,0,0,0,1,0,2,315,28,0
,오부면투표소,574,323,3,161,32,17,4,5,5,15,6,9,1,0,0,3,0,1,6,1,1,0,2,2,1,0,0,0,1,2,0,1,0,1,0,2,7,289,34,251
생초면,소계,1832,1242,30,649,148,63,16,14,6,70,20,25,3,2,1,5,0,0,20,3,0,1,3,2,3,3,6,12,2,1,1,4,0,2,2,4,5,1126,116,590
,관내사전투표,584,584,14,304,79,34,7,7,3,37,8,14,0,1,1,5,0,0,7,2,0,0,2,1,1,1,3,4,1,0,0,0,0,0,1,1,3,541,43,0
,생초면투표소,1248,658,16,345,69,29,9,7,3,33,12,11,3,1,0,0,0,0,13,1,0,1,1,1,2,2,3,8,1,1,1,4,0,2,1,3,2,585,73,590
