읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,290959,197790,3689,90527,43382,15268,1509,3578,505,10987,995,7573,331,83,84,1547,74,125,3019,144,99,267,707,54,197,538,501,810,1324,59,185,662,204,51,133,199,195,189605,8185,93169
거소·선상투표,,750,714,26,291,116,34,8,8,13,32,14,17,10,2,0,15,1,2,4,1,2,3,3,1,1,2,1,5,2,0,1,2,1,0,1,3,2,624,90,36
관외사전투표,,19298,19295,490,6791,5064,1887,88,311,46,1193,50,1018,101,12,15,223,2,15,140,20,16,40,92,6,29,71,64,132,227,7,30,48,35,2,12,30,26,18333,962,3
재외투표,,873,200,5,60,61,24,0,0,0,6,0,21,0,1,1,0,0,0,4,0,3,0,2,0,0,1,0,1,3,1,0,1,1,0,1,0,0,197,3,673
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산읍,소계,7138,4606,79,2134,995,347,34,105,12,232,27,163,4,3,2,31,4,4,90,5,1,5,21,4,3,8,8,22,21,1,4,11,7,0,2,3,6,4398,208,2532
,관내사전투표,1897,1897,28,753,516,173,9,42,2,99,10,94,1,0,0,11,2,0,24,1,0,2,11,2,2,0,2,8,6,0,0,3,4,0,0,2,2,1809,88,0
,문산읍제1투,2650,1269,26,654,238,66,18,24,5,59,5,25,1,1,0,10,2,2,34,2,1,1,5,2,1,4,3,7,9,0,3,1,0,0,1,0,3,1213,56,1381
,문산읍제2투,2591,1440,25,727,241,108,7,39,5,74,12,44,2,2,2,10,0,2,32,2,0,2,5,0,0,4,3,7,6,1,1,7,3,0,1,1,1,1376,64,1151
