읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,182901,131973,2080,49330,30651,23653,589,1856,174,7770,364,5360,165,49,30,967,36,64,1481,61,30,245,136,14,63,434,297,363,1011,28,93,415,102,7,54,52,78,128102,3871,50928
거소·선상투표,,473,449,17,146,89,53,6,2,1,30,0,10,7,0,0,21,1,2,4,0,0,2,1,0,1,4,2,3,0,1,0,0,0,0,0,0,3,406,43,24
관외사전투표,,11322,11318,278,3524,2825,1980,34,151,19,705,28,534,56,8,7,120,5,8,71,7,5,18,26,3,12,47,33,63,137,4,23,28,26,2,6,8,16,10817,501,4
재외투표,,481,114,2,32,35,20,0,2,0,4,0,12,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,112,2,367
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
반송동,소계,32260,23553,305,9719,5318,3634,115,362,21,1462,58,937,21,10,4,147,2,12,282,9,4,27,22,1,7,66,56,55,167,5,18,90,13,0,12,9,4,22974,579,8707
,관내사전투표,6204,6204,64,2198,1759,1025,17,101,4,323,8,392,5,3,1,23,0,2,41,3,1,7,8,0,1,7,10,10,61,3,4,7,1,0,3,2,1,6095,109,0
,반송동제1투,2064,1462,21,660,288,208,8,31,2,83,4,56,3,1,0,9,0,1,22,1,0,0,0,0,0,6,8,1,13,0,1,7,1,0,1,0,0,1436,26,602
,반송동제2투,2273,1554,21,692,307,224,3,21,1,103,7,42,1,0,1,10,0,1,24,0,0,1,4,0,0,2,5,7,15,0,1,12,0,0,0,1,0,1506,48,719
,반송동제3투,2042,1382,24,575,298,201,11,13,1,136,2,48,2,0,0,5,0,0,16,0,0,1,1,0,1,4,3,2,6,0,0,6,1,0,2,0,0,1359,23,660
,반송동제4투,2149,1495,23,600,305,260,9,20,0,122,2,61,1,0,0,13,0,0,21,0,0,0,3,0,0,7,4,6,2,0,3,6,0,0,0,1,0,1469,26,654
,반송동제5투,2282,1593,15,622,343,263,7,25,1,164,0,60,0,1,0,7,0,2,19,0,0,1,0,0,1,6,3,3,9,0,0,6,1,0,0,0,0,1559,34,689
,반송동제6투,2358,1661,24,673,377,276,4,17,0,133,5,61,2,0,0,16,0,1,11,2,0,0,0,0,2,6,2,3,7,0,1,2,0,0,1,0,1,1627,34,697
,반송동제7투,2569,1676,15,688,341,273,7,31,5,95,6,51,1,1,0,13,0,2,44,1,0,2,3,0,0,6,2,7,12,0,4,8,2,0,2,1,0,1623,53,893
,반송동제8투,2574,1563,24,750,294,193,10,14,0,75,5,44,2,1,0,10,2,1,28,0,0,1,2,1,1,5,5,4,9,1,0,10,3,0,1,0,1,1497,66,1011
,반송동제9투,2454,1461,21,736,276,180,14,16,2,48,6,34,2,1,0,14,0,0,21,0,1,2,0,0,0,1,2,3,13,1,1,8,2,0,1,2,0,1408,53,993
,반송동제10투,2499,1505,26,663,318,191,10,35,0,77,7,35,2,1,1,19,0,1,12,1,2,6,0,0,1,7,3,4,9,0,2,8,1,0,1,1,0,1444,61,994
,반송동제11투,2792,1997,27,862,412,340,15,38,5,103,6,53,0,1,1,8,0,1,23,1,0,6,1,0,0,9,9,5,11,0,1,10,1,0,0,1,1,1951,46,795
중앙동,소계,19299,11343,187,4463,2581,1826,66,166,16,660,33,445,5,4,5,106,0,7,139,4,1,23,12,2,8,35,16,30,81,4,6,40,10,0,2,6,5,10994,349,7956
,관내사전투표,3275,3275,47,1169,873,549,15,61,1,165,9,196,1,0,0,27,0,2,13,2,0,6,4,0,0,8,5,10,25,1,1,3,1,0,0,3,0,3197,78,0
,중앙동제1투,2440,1075,22,454,196,184,7,13,1,57,5,28,1,0,1,16,0,1,14,0,0,2,3,0,1,2,2,3,8,0,1,5,2,0,0,1,0,1030,45,1365
,중앙동제2투,3184,1267,30,544,255,180,6,14,4,74,1,39,0,1,1,20,0,1,20,1,1,1,0,1,3,2,2,2,11,1,3,5,1,0,0,0,1,1225,42,1917
,중앙동제3투,2065,1083,13,560,199,115,11,11,4,41,10,26,0,3,0,8,0,0,22,0,0,2,2,0,2,5,1,2,4,1,0,5,0,0,1,1,1,1050,33,982
,중앙동제4투,3201,1549,17,611,320,255,12,27,0,121,3,43,0,0,1,19,0,0,20,0,0,3,2,1,2,5,2,5,11,0,0,7,4,0,0,0,2,1493,56,1652
,중앙동제5투,2078,1163,23,412,290,199,10,22,2,51,3,42,0,0,1,5,0,0,31,0,0,6,1,0,0,5,0,2,11,1,1,6,1,0,1,0,1,1127,36,915
,중앙동제6투,3056,1931,35,713,448,344,5,18,4,151,2,71,3,0,1,11,0,3,19,1,0,3,0,0,0,8,4,6,11,0,0,9,1,0,0,1,0,1872,59,1125
상남동,소계,23001,16648,235,6359,3902,2860,66,201,24,1024,36,741,17,4,3,125,3,10,189,7,2,23,17,0,4,52,34,35,125,2,12,56,6,0,7,6,11,16198,450,6353
,관내사전투표,6615,6615,99,2233,1864,1185,13,93,7,360,11,407,4,3,3,30,2,3,31,3,0,8,7,0,1,18,9,9,51,1,1,7,1,0,1,2,3,6470,145,0
,상남동제1투,2598,1539,26,579,341,284,6,28,2,96,3,46,2,0,0,17,0,2,18,2,0,3,3,0,1,4,6,4,10,1,4,10,0,0,1,0,1,1500,39,1059
,상남동제2투,2222,1215,17,521,232,200,10,7,3,63,0,36,2,0,0,12,0,1,17,0,0,1,1,0,0,11,4,2,12,0,2,5,1,0,0,2,4,1166,49,1007
,상남동제3투,2605,1743,25,698,334,308,11,18,3,110,7,58,4,0,0,16,0,3,42,0,0,0,2,0,0,6,4,5,23,0,0,14,0,0,0,0,1,1692,51,862
,상남동제4투,2961,1980,23,838,393,315,7,24,3,135,8,70,2,1,0,18,1,0,42,1,0,6,1,0,0,7,5,7,8,0,2,7,3,0,3,0,0,1930,50,981
,상남동제5투,3112,1947,23,738,445,354,10,20,5,140,2,75,1,0,0,17,0,0,10,1,2,4,3,0,2,3,3,5,15,0,2,6,0,0,2,2,1,1891,56,1165
