읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,221981,152072,3461,65294,36583,14476,877,2451,232,8425,569,5705,216,80,41,1386,51,84,2255,54,63,244,179,32,114,413,394,516,1088,36,123,490,96,16,70,105,134,146353,5719,69909
거소·선상투표,,612,583,19,181,118,40,7,10,2,47,5,12,7,3,1,23,1,1,6,0,0,2,3,0,1,4,4,3,3,0,3,3,1,0,0,4,3,517,66,29
관외사전투표,,13447,13444,469,4573,3617,1417,48,210,36,810,32,699,64,10,4,159,3,9,93,9,12,26,36,4,7,38,48,96,152,5,33,30,27,3,9,17,22,12827,617,3
재외투표,,586,139,1,40,50,14,1,2,0,9,0,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1,447
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동읍,소계,16637,11135,241,4727,2769,996,76,159,30,546,47,376,13,6,2,133,5,6,289,3,7,24,9,2,13,23,22,35,55,4,2,40,3,1,8,9,4,10685,450,5502
,관내사전투표,3613,3612,74,1330,1111,357,18,47,8,168,19,197,6,1,1,41,2,3,50,0,1,10,5,0,0,6,4,9,19,0,0,10,1,0,0,1,1,3500,112,1
,동읍제1투,1061,662,12,217,170,75,5,10,2,65,3,17,2,0,0,9,0,0,31,0,0,1,2,0,1,1,1,3,3,1,0,1,0,0,1,0,1,634,28,399
,동읍제2투,2268,1176,22,566,227,108,9,17,3,58,5,27,0,1,0,15,2,2,33,0,1,2,1,0,1,4,5,6,3,0,0,4,0,0,1,2,1,1126,50,1092
,동읍제3투,1773,1057,29,485,269,79,6,17,5,37,6,33,0,0,0,11,0,0,24,0,1,1,0,0,4,0,3,2,6,0,1,0,0,0,1,1,0,1021,36,716
,동읍제4투,2614,1602,43,617,436,143,8,31,2,95,6,38,3,2,0,21,1,1,33,1,1,3,0,0,3,2,6,7,12,1,0,5,2,0,0,1,0,1524,78,1012
,동읍제5투,2771,1484,39,622,318,136,17,26,6,74,1,39,1,0,1,16,0,0,72,2,2,4,1,1,3,3,3,6,10,1,0,9,0,0,3,3,1,1420,64,1287
,동읍제6투,1341,795,12,440,139,48,4,6,2,32,4,10,1,0,0,10,0,0,25,0,0,2,0,1,0,4,0,2,0,1,1,4,0,1,1,1,0,751,44,546
,동읍제7투,1196,747,10,450,99,50,9,5,2,17,3,15,0,2,0,10,0,0,21,0,1,1,0,0,1,3,0,0,2,0,0,7,0,0,1,0,0,709,38,449
북면,소계,30566,20455,454,8412,5320,1947,127,288,23,1272,74,848,22,7,2,183,4,11,305,8,6,22,22,9,9,73,45,80,92,1,12,45,7,3,2,17,19,19771,684,10111
,관내사전투표,6628,6628,144,2446,2027,661,24,72,4,404,20,431,8,2,2,40,1,2,32,3,1,5,7,2,1,17,12,12,34,1,2,6,1,1,1,5,7,6438,190,0
,북면제1투,3670,2157,45,930,515,203,11,30,3,162,6,72,2,1,0,26,1,2,30,1,3,4,1,0,1,4,5,6,6,0,0,10,0,0,0,3,4,2087,70,1513
,북면제2투,1500,733,22,302,179,75,3,11,0,52,3,16,0,1,0,5,0,0,12,0,0,0,0,1,1,3,5,1,6,0,1,0,1,0,0,0,0,700,33,767
,북면제3투,3860,2265,56,827,625,233,12,35,4,159,8,89,5,0,0,21,0,3,51,0,0,2,3,0,1,8,4,15,14,0,1,4,1,0,0,2,4,2187,78,1595
,북면제4투,3438,1953,42,903,417,167,10,38,1,109,7,54,1,1,0,16,1,0,54,2,0,3,0,0,3,15,6,12,9,0,4,5,1,1,0,1,2,1885,68,1485
,북면제5투,4002,2366,51,842,688,256,13,49,2,185,6,80,0,0,0,21,0,3,52,1,0,2,4,0,0,13,7,16,6,0,2,10,1,0,0,1,0,2311,55,1636
