읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,155783,105763,2025,43564,27453,10008,635,1009,173,5634,493,4245,159,39,36,979,44,63,1734,51,39,135,92,18,92,255,307,341,663,36,75,335,78,13,63,68,95,101049,4714,50020
거소·선상투표,,2488,2425,93,658,648,216,5,8,4,193,13,55,16,1,3,94,1,3,15,1,2,5,2,1,9,5,8,18,6,5,8,11,8,3,1,7,14,2140,285,63
관외사전투표,,6444,6437,147,2073,1801,709,28,53,21,385,26,351,36,3,4,91,2,6,56,4,4,15,17,0,3,18,25,41,74,2,14,18,16,1,5,6,11,6066,371,7
재외투표,,510,118,3,23,43,12,0,1,0,3,0,19,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,1,0,116,2,392
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충무동,소계,13142,8891,195,4254,2056,605,54,58,13,454,47,224,16,5,3,68,4,4,147,6,4,8,8,1,12,22,31,29,58,5,8,32,7,1,3,4,7,8453,438,4251
,관내사전투표,3531,3531,85,1429,1012,267,12,20,2,191,19,123,13,2,0,26,1,1,42,2,4,3,3,0,6,5,10,11,25,3,2,11,4,0,1,3,3,3341,190,0
,충무동제1투,2376,1296,20,775,202,52,18,11,1,60,10,13,0,0,0,6,2,2,29,1,0,0,1,0,3,6,2,4,8,0,1,2,2,0,0,0,1,1232,64,1080
,충무동제2투,3278,1660,35,762,385,131,8,15,2,95,8,37,1,0,1,11,1,0,34,0,0,2,1,0,1,5,10,6,14,0,4,9,0,0,1,1,3,1583,77,1618
