읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,109810,73737,1453,34318,16910,4835,823,544,188,3142,393,2589,101,52,26,681,27,44,1276,54,37,113,88,18,92,209,196,352,414,34,80,248,54,29,56,117,71,69664,4073,36073
거소·선상투표,,521,489,27,162,81,29,9,2,4,30,7,9,1,4,1,10,2,1,8,3,1,3,1,1,3,3,3,5,1,1,2,2,2,1,1,0,1,421,68,32
관외사전투표,,4405,4404,110,1453,1259,417,35,29,11,245,13,214,22,4,2,60,1,3,42,3,5,12,13,0,7,20,22,39,53,3,10,21,7,0,5,11,6,4157,247,1
재외투표,,191,44,0,8,17,4,2,1,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,43,1,147
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산양읍,소계,4118,2663,67,1386,482,109,31,24,8,81,17,72,3,1,2,19,1,0,63,1,3,6,3,1,5,4,4,19,5,0,3,1,1,5,3,6,4,2440,223,1455
,관내사전투표,1003,1003,25,449,253,52,9,11,2,33,7,47,2,0,1,10,1,0,11,0,1,0,1,0,2,2,1,4,2,0,1,0,0,0,1,1,1,930,73,0
,산양읍제1투,2228,1130,34,616,169,40,15,8,5,28,8,19,0,1,1,9,0,0,33,1,1,6,1,1,3,2,2,13,2,0,2,0,0,2,2,2,2,1028,102,1098
,산양읍제2투,563,318,3,185,44,11,6,5,1,13,0,4,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,0,1,0,288,30,245
,산양읍제3투,228,152,1,97,13,6,1,0,0,6,1,0,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,139,13,76
,산양읍제4투,96,60,4,39,3,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,55,5,36
용남면,소계,9568,6059,98,2838,1408,420,69,56,10,258,25,207,6,2,3,77,2,4,105,5,1,5,8,1,6,21,20,22,31,2,7,23,4,2,4,12,6,5768,291,3509
,관내사전투표,2062,2062,31,855,571,158,21,21,6,91,11,120,3,2,1,26,0,1,16,2,0,1,5,0,0,5,3,7,12,1,3,4,2,0,1,3,1,1984,78,0
,용남면제1투,2764,1469,22,643,389,111,20,16,0,74,3,31,1,0,1,15,0,2,19,1,1,2,0,0,4,10,6,4,8,0,1,7,1,1,1,4,2,1400,69,1295
,용남면제2투,2476,1251,17,700,192,63,17,10,3,47,4,23,1,0,1,20,1,0,43,1,0,0,0,0,1,2,8,5,3,1,3,5,0,0,1,2,0,1174,77,1225
,용남면제3투,193,125,5,84,5,4,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,111,14,68
,용남면제4투,2073,1152,23,556,251,84,10,8,0,44,3,33,1,0,0,16,1,1,27,1,0,2,3,1,1,4,3,6,8,0,0,5,0,1,1,2,3,1099,53,921
도산면,소계,2746,1991,47,1005,370,106,30,15,8,38,14,56,2,1,1,12,2,1,22,1,2,3,2,0,3,7,3,8,5,1,2,6,2,3,4,9,2,1793,198,755
,관내사전투표,762,762,17,352,186,46,8,6,1,18,7,26,0,0,0,5,1,0,3,0,1,1,1,0,1,2,0,6,3,0,1,1,0,0,0,2,1,696,66,0
,도산면제1투,1176,668,18,342,93,41,15,5,3,11,4,18,1,1,1,4,0,1,13,1,0,1,1,0,1,3,1,1,0,0,1,3,2,2,1,4,1,594,74,508
