읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,41739,30798,830,13346,7063,2074,353,399,107,1014,301,1099,48,21,26,253,29,26,395,22,30,86,92,22,37,83,89,156,102,19,35,102,33,23,37,80,83,28515,2283,10941
거소·선상투표,,641,551,26,218,98,22,8,3,7,10,18,13,5,1,1,7,0,2,4,0,4,1,2,0,1,0,1,3,0,0,1,5,0,0,1,2,2,466,85,90
관외사전투표,,3304,3298,71,1211,890,289,17,43,5,167,10,192,8,0,1,43,0,2,33,0,1,5,17,1,5,7,17,18,30,2,7,14,3,2,5,10,9,3135,163,6
재외투표,,179,44,1,21,8,1,0,1,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,1,135
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하동읍,소계,8380,5895,138,2490,1518,478,36,61,12,238,48,244,8,3,5,47,5,3,83,4,4,14,19,4,7,10,16,27,20,1,5,9,8,2,6,13,9,5595,300,2485
,관내사전투표,3043,3042,72,1233,861,258,18,24,6,122,23,164,4,0,4,21,3,3,24,2,1,6,10,1,3,3,9,10,8,1,2,4,3,0,1,5,3,2912,130,1
,하동읍제1투,1416,756,12,348,166,49,4,9,2,27,8,18,1,2,0,5,1,0,22,1,2,1,1,1,1,1,1,6,3,0,0,2,1,0,2,1,2,700,56,660
,하동읍제2투,1463,785,18,333,205,62,4,16,2,44,3,22,0,0,0,3,1,0,16,1,0,1,2,0,2,2,2,2,4,0,1,0,3,0,1,1,2,753,32,678
,하동읍제3투,790,474,14,213,100,35,6,8,1,13,6,17,1,0,0,4,0,0,4,0,1,2,1,0,1,4,1,2,2,0,1,1,1,1,1,2,1,444,30,316
,하동읍제4투,1668,838,22,363,186,74,4,4,1,32,8,23,2,1,1,14,0,0,17,0,0,4,5,2,0,0,3,7,3,0,1,2,0,1,1,4,1,786,52,830
화개면,소계,2628,1899,52,739,501,143,18,28,7,51,8,82,1,2,2,18,2,0,25,2,0,3,6,1,2,10,3,10,2,1,2,14,3,3,2,5,6,1754,145,729
,관내사전투표,1071,1071,36,404,296,81,11,15,4,28,3,66,0,2,1,12,0,0,8,2,0,3,2,1,0,5,1,5,0,1,1,5,0,1,1,1,1,997,74,0
,화개면제1투,968,469,8,187,115,35,3,7,1,17,5,9,0,0,1,5,2,0,13,0,0,0,2,0,1,1,2,5,1,0,1,7,2,1,1,2,3,437,32,499
,화개면제2투,589,359,8,148,90,27,4,6,2,6,0,7,1,0,0,1,0,0,4,0,0,0,2,0,1,4,0,0,1,0,0,2,1,1,0,2,2,320,39,230
악양면,소계,3018,2115,52,907,450,145,20,37,7,59,29,83,2,1,2,21,2,2,25,3,3,10,29,1,0,6,5,9,4,4,3,16,3,2,4,1,6,1953,162,903
,관내사전투표,1240,1240,36,549,275,72,11,23,4,35,19,55,0,0,2,6,1,1,10,2,1,4,19,0,0,1,3,4,2,3,0,3,2,1,1,0,2,1147,93,0
,악양면투표소,1778,875,16,358,175,73,9,14,3,24,10,28,2,1,0,15,1,1,15,1,2,6,10,1,0,5,2,5,2,1,3,13,1,1,3,1,4,806,69,903
적량면,소계,1701,1221,48,489,307,71,23,18,3,45,12,33,3,1,2,14,4,0,16,1,0,7,1,0,4,2,2,4,4,2,0,5,2,3,3,3,4,1136,85,480
,관내사전투표,657,657,25,270,176,39,12,8,3,25,2,19,1,0,1,6,2,0,7,0,0,3,1,0,1,0,1,2,2,1,0,2,2,2,2,1,1,617,40,0
,적량면투표소,1044,564,23,219,131,32,11,10,0,20,10,14,2,1,1,8,2,0,9,1,0,4,0,0,3,2,1,2,2,1,0,3,0,1,1,2,3,519,45,480
횡천면,소계,1646,1210,47,598,230,62,15,7,5,38,9,41,1,2,0,4,2,0,10,2,1,2,0,1,0,2,2,5,0,1,0,2,0,1,0,5,6,1101,109,436
,관내사전투표,699,699,32,334,144,35,9,5,2,19,4,32,1,2,0,1,1,0,5,2,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,4,3,641,58,0
,횡천면투표소,947,511,15,264,86,27,6,2,3,19,5,9,0,0,0,3,1,0,5,0,0,0,0,1,0,2,1,3,0,1,0,2,0,1,0,1,3,460,51,436
고전면,소계,1930,1332,43,592,288,79,25,14,6,30,17,38,4,0,1,2,1,2,22,1,1,3,1,1,1,10,5,6,5,1,0,3,1,1,2,4,2,1212,120,598
,관내사전투표,656,656,23,273,166,37,11,2,3,14,5,23,4,0,0,1,0,2,10,0,1,2,0,1,0,4,3,2,2,0,0,2,0,0,2,1,0,594,62,0
,고전면제1투,681,347,10,183,48,19,8,5,3,10,4,7,0,0,0,0,1,0,6,1,0,1,1,0,1,2,1,2,1,1,0,0,1,1,0,2,2,321,26,334
,고전면제2투,593,329,10,136,74,23,6,7,0,6,8,8,0,0,1,1,0,0,6,0,0,0,0,0,0,4,1,2,2,0,0,1,0,0,0,1,0,297,32,264
금남면,소계,2842,1989,56,872,446,128,39,19,4,56,21,40,2,0,1,12,2,3,24,2,4,3,1,1,1,7,8,15,2,0,3,1,3,0,3,6,7,1792,197,853
,관내사전투표,986,986,27,425,233,60,20,11,3,28,14,21,0,0,1,7,0,1,10,2,2,2,0,0,1,1,3,6,0,0,1,0,1,0,0,0,3,883,103,0
,금남면제1투,1039,524,16,237,107,41,9,2,1,16,4,9,1,0,0,0,1,2,8,0,1,1,1,0,0,1,5,5,1,0,0,1,0,0,0,3,2,475,49,515
,금남면제2투,817,479,13,210,106,27,10,6,0,12,3,10,1,0,0,5,1,0,6,0,1,0,0,1,0,5,0,4,1,0,2,0,2,0,3,3,2,434,45,338
금성면,소계,2512,1850,54,754,441,140,16,32,14,64,21,46,0,1,3,10,2,1,22,2,2,14,4,3,2,2,8,16,3,1,4,3,3,0,1,7,6,1702,148,662
,관내사전투표,1045,1045,34,400,272,82,11,21,9,44,17,31,0,0,2,3,1,1,6,0,2,8,3,1,0,0,5,9,0,0,2,1,2,0,0,3,3,973,72,0
,금성면제1투,808,426,13,172,94,34,3,8,2,14,2,8,0,1,0,2,1,0,7,1,0,3,1,1,1,1,2,2,2,0,0,2,1,0,0,2,1,381,45,382
,금성면제2투,659,379,7,182,75,24,2,3,3,6,2,7,0,0,1,5,0,0,9,1,0,3,0,1,1,1,1,5,1,1,2,0,0,0,1,2,2,348,31,280
진교면,소계,5143,3653,88,1630,828,230,57,37,17,102,35,118,5,2,1,31,5,5,50,3,6,8,5,3,9,12,9,16,16,1,4,11,4,2,2,6,6,3364,289,1490
,관내사전투표,2224,2224,61,964,537,128,42,23,7,66,20,74,2,1,0,21,3,3,21,3,3,4,4,2,4,9,6,8,11,1,3,5,3,1,2,2,4,2048,176,0
,진교면제1투,1647,756,15,357,161,59,8,6,7,14,8,25,2,0,0,4,1,2,10,0,1,2,1,1,4,1,2,3,4,0,0,1,1,0,0,0,0,700,56,891
,진교면제2투,1272,673,12,309,130,43,7,8,3,22,7,19,1,1,1,6,1,0,19,0,2,2,0,0,1,2,1,5,1,0,1,5,0,1,0,4,2,616,57,599
양보면,소계,1504,1123,37,555,213,63,19,9,6,23,14,30,2,1,3,7,1,1,16,1,1,3,1,0,0,1,2,7,1,1,1,3,1,0,1,4,4,1032,91,381
,관내사전투표,622,622,20,303,133,38,5,4,3,11,10,20,0,1,1,4,0,1,6,1,1,2,1,0,0,1,2,2,1,0,1,1,0,0,1,3,1,578,44,0
,양보면투표소,882,501,17,252,80,25,14,5,3,12,4,10,2,0,2,3,1,0,10,0,0,1,0,0,0,0,0,5,0,1,0,2,1,0,0,1,3,454,47,381
