읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,35263,25515,576,11287,4836,1516,339,422,143,1375,322,924,46,23,21,196,26,20,331,36,43,55,104,29,57,100,100,182,90,25,67,90,33,22,63,84,106,23689,1826,9748
거소·선상투표,,251,235,8,86,34,8,2,4,6,14,4,3,4,1,0,1,1,0,4,2,4,2,3,0,1,2,0,1,0,1,1,0,0,1,0,1,1,200,35,16
관외사전투표,,1982,1982,47,722,499,174,11,27,7,113,11,99,8,4,1,23,0,0,16,3,4,7,15,4,1,7,9,21,23,0,6,7,3,1,1,0,6,1880,102,0
재외투표,,153,33,0,5,11,6,0,1,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,1,120
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
함양읍,소계,14352,9852,190,4356,2075,595,98,194,40,551,93,396,10,8,6,78,9,11,124,10,11,16,36,7,24,50,43,78,31,12,19,40,14,5,23,25,21,9299,553,4500
,관내사전투표,4218,4218,82,1726,1037,267,36,75,19,227,37,229,7,2,4,27,3,3,22,1,3,9,19,2,9,22,12,31,16,5,10,13,9,2,8,11,13,3998,220,0
,함양읍제1투,1223,559,9,268,101,22,8,10,1,27,10,19,0,0,0,12,0,0,11,0,0,2,3,0,4,2,1,5,0,4,0,2,0,0,4,1,0,526,33,664
,함양읍제2투,1603,931,15,502,134,52,9,14,7,52,12,26,1,1,0,6,1,0,19,3,0,2,2,0,0,5,3,5,4,0,1,3,0,0,2,3,1,885,46,672
,함양읍제3투,2834,1615,41,656,376,111,15,30,4,94,9,55,1,3,1,11,4,2,34,1,0,2,5,0,2,5,13,15,7,0,2,7,3,3,2,1,1,1516,99,1219
,함양읍제4투,867,500,11,226,66,22,9,17,3,34,6,5,1,1,0,5,0,1,5,0,3,0,2,3,3,8,2,5,0,1,1,4,1,0,3,3,1,452,48,367
,함양읍제5투,1808,1097,13,524,219,73,8,17,1,68,11,35,0,1,0,13,1,4,16,2,0,1,4,0,2,4,3,9,3,0,2,6,0,0,3,0,3,1046,51,711
,함양읍제6투,1163,597,12,282,96,35,6,16,5,34,2,16,0,0,1,3,0,1,12,2,4,0,1,2,4,1,6,6,1,1,1,2,1,0,0,4,2,559,38,566
,함양읍제7투,636,335,7,172,46,13,7,15,0,15,6,11,0,0,0,1,0,0,5,1,1,0,0,0,0,3,3,2,0,1,2,3,0,0,1,2,0,317,18,301
마천면,소계,1919,1350,38,543,279,86,19,23,10,96,29,50,3,0,3,5,1,0,12,2,3,4,7,2,2,1,6,15,0,1,3,2,1,0,3,5,20,1274,76,569
