읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,224495,141103,1967,74683,22289,8212,1678,1538,420,9864,1195,4142,204,46,44,1240,50,77,3636,62,43,134,188,45,122,431,289,640,836,41,158,625,98,28,56,107,99,135287,5816,83392
거소·선상투표,,355,328,9,147,48,18,1,5,1,30,4,6,2,0,0,8,0,0,2,0,0,2,1,0,2,2,1,0,2,0,4,0,0,0,0,0,1,296,32,27
관외사전투표,,11495,11488,264,4728,2352,925,91,115,35,904,58,498,66,7,11,146,7,9,171,7,7,23,40,5,21,34,33,85,124,6,32,39,30,2,5,18,13,10911,577,7
재외투표,,559,124,4,42,28,8,0,0,0,15,0,14,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,120,4,435
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하양읍,소계,20813,12955,181,7157,1825,717,131,118,53,838,113,335,22,5,2,94,5,12,348,3,4,13,23,4,12,60,20,69,74,5,9,53,8,5,5,8,7,12338,617,7858
,관내사전투표,3744,3744,49,1800,756,263,22,37,7,254,38,170,5,0,0,26,3,5,68,0,1,4,5,0,2,9,6,20,30,2,2,10,3,1,1,5,1,3605,139,0
,하양읍제1투,2235,1035,14,581,132,42,15,11,7,58,11,22,5,2,0,6,0,1,43,1,1,0,2,1,1,5,2,3,6,0,0,4,1,0,1,0,2,980,55,1200
,하양읍제2투,2026,1007,15,583,97,46,15,14,5,69,8,15,2,1,0,10,0,0,36,0,0,2,9,0,2,5,1,4,5,0,0,4,1,0,0,0,0,949,58,1019
