읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,221727,148804,2237,79795,21770,13200,1652,1645,461,7218,1523,4491,197,71,63,1159,83,83,2783,83,69,252,149,42,194,462,352,751,645,46,163,593,114,54,122,184,115,142821,5983,72923
거소·선상투표,,528,501,18,262,61,35,4,3,6,16,11,10,4,1,0,15,0,0,5,0,2,1,1,0,2,1,2,7,0,0,1,5,0,0,2,1,0,476,25,27
관외사전투표,,10143,10139,264,4123,2098,1073,72,88,19,582,37,419,49,5,5,124,3,3,136,10,6,23,34,1,13,35,44,76,122,4,25,38,16,5,8,19,17,9596,543,4
재외투표,,717,158,0,61,40,12,3,0,0,5,1,21,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,0,153,5,559
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
감포읍,소계,4917,2967,37,1854,289,104,46,71,20,72,64,57,5,5,0,21,3,0,61,1,4,2,1,4,6,3,4,21,3,2,1,3,2,0,5,7,5,2783,184,1950
,관내사전투표,1365,1365,14,837,156,54,22,31,5,39,29,36,1,4,0,10,0,0,13,0,2,1,0,2,2,2,2,13,1,1,0,2,1,0,3,4,4,1291,74,0
,감포읍제1투,2263,996,12,623,91,35,11,30,11,23,21,16,3,0,0,8,1,0,24,0,1,1,1,0,4,1,2,5,0,1,1,1,0,0,0,0,0,927,69,1267
,감포읍제2투,1289,606,11,394,42,15,13,10,4,10,14,5,1,1,0,3,2,0,24,1,1,0,0,2,0,0,0,3,2,0,0,0,1,0,2,3,1,565,41,683
안강읍,소계,21663,13768,194,8014,1573,1149,161,117,38,531,196,300,14,3,12,82,6,7,369,8,6,23,4,5,25,56,31,62,50,8,11,47,8,8,14,16,10,13158,610,7895
,관내사전투표,5310,5310,63,3085,702,467,53,48,16,175,88,143,3,2,4,26,3,2,72,4,0,9,2,2,13,15,11,17,24,3,5,10,3,1,5,4,3,5083,227,0
,안강읍제1투,2176,1064,14,681,99,55,23,7,5,37,14,17,2,0,0,4,1,0,29,0,2,1,0,1,1,2,4,4,3,0,0,5,0,2,2,3,0,1018,46,1112
,안강읍제2투,3032,1507,27,954,111,80,23,17,2,47,28,27,3,0,0,8,1,1,56,2,1,2,0,1,3,9,3,6,1,2,0,6,0,1,1,1,1,1425,82,1525
,안강읍제3투,1107,619,4,380,55,34,6,7,2,19,5,14,0,0,1,2,1,0,16,0,0,2,0,0,2,3,1,6,0,2,2,1,0,2,1,3,2,573,46,488
,안강읍제4투,3355,1750,32,1012,174,150,14,10,4,79,26,30,1,0,4,16,0,2,85,1,2,4,1,0,1,9,4,8,5,0,0,6,3,0,1,2,0,1686,64,1605
,안강읍제5투,2718,1364,21,698,169,155,23,14,3,66,18,25,1,1,3,19,0,1,39,1,0,1,1,1,1,7,3,13,12,0,3,4,1,1,0,1,1,1307,57,1354
,안강읍제6투,2792,1514,23,798,202,185,10,13,4,78,8,31,4,0,0,7,0,0,53,0,1,3,0,0,4,9,3,6,4,0,1,15,1,1,4,1,2,1471,43,1278
,안강읍제7투,1173,640,10,406,61,23,9,1,2,30,9,13,0,0,0,0,0,1,19,0,0,1,0,0,0,2,2,2,1,1,0,0,0,0,0,1,1,595,45,533
건천읍,소계,8403,5275,74,3284,572,276,76,53,25,148,84,107,11,5,3,35,4,7,108,2,0,7,3,2,10,16,21,28,17,1,3,16,4,4,4,11,1,5022,253,3128
,관내사전투표,2461,2461,37,1519,302,144,32,21,12,69,37,66,7,5,0,10,1,2,36,1,0,3,2,2,2,9,8,14,6,0,0,0,3,4,2,1,0,2357,104,0
,건천읍제1투,2477,1073,14,631,129,67,21,14,4,29,13,14,1,0,0,9,1,2,28,0,0,1,0,0,5,5,7,8,4,1,1,8,0,0,1,2,1,1021,52,1404
,건천읍제2투,1829,833,11,522,78,35,6,9,2,27,14,12,3,0,3,10,1,2,20,1,0,1,0,0,1,1,3,3,4,0,1,4,1,0,0,2,0,777,56,996
