읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,340237,211813,3253,106241,40091,13415,2856,879,362,13767,1462,6334,372,70,75,1854,104,127,4215,86,84,235,211,37,197,1041,630,1018,1411,72,265,995,172,36,113,181,164,202425,9388,128424
거소·선상투표,,609,580,27,235,83,29,10,6,4,35,8,9,1,2,0,14,1,0,6,0,0,0,0,0,3,15,2,6,1,0,5,4,1,0,0,0,1,508,72,29
관외사전투표,,19442,19425,455,7814,4263,1522,198,76,63,1408,92,736,125,20,13,249,13,15,223,12,17,39,45,2,36,87,81,196,222,6,60,62,36,5,8,42,41,18282,1143,17
재외투표,,729,192,4,64,64,15,2,0,0,8,0,15,1,0,2,1,0,0,6,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,188,4,537
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
선산읍,소계,12758,8151,96,5284,819,313,136,48,17,289,100,145,7,5,1,66,7,1,176,6,2,11,4,3,11,42,17,31,32,6,6,35,6,1,4,6,11,7744,407,4607
,관내사전투표,2938,2938,39,1842,377,143,49,12,6,111,35,62,2,1,0,20,1,0,41,1,1,1,3,1,1,13,3,12,12,1,2,12,3,0,0,0,2,2809,129,0
,선산읍제1투,1758,942,6,642,66,29,15,3,3,31,16,14,1,0,0,14,3,1,18,2,0,1,0,0,3,4,4,3,3,2,0,4,1,0,1,1,1,892,50,816
,선산읍제2투,1480,784,5,530,51,36,11,4,2,31,11,16,0,1,0,6,2,0,17,1,0,0,0,0,0,3,4,2,6,0,1,8,1,0,0,0,2,751,33,696
,선산읍제3투,2033,1100,12,794,61,18,19,6,2,33,13,11,2,1,1,6,0,0,31,1,1,2,0,0,1,8,2,2,6,1,0,4,0,0,1,0,2,1041,59,933
,선산읍제4투,702,452,8,305,33,15,4,9,1,12,6,8,0,1,0,0,0,0,7,1,0,2,0,0,1,1,0,2,0,1,0,1,0,1,0,4,1,424,28,250
,선산읍제5투,3847,1935,26,1171,231,72,38,14,3,71,19,34,2,1,0,20,1,0,62,0,0,5,1,2,5,13,4,10,5,1,3,6,1,0,2,1,3,1827,108,1912
고아읍,소계,25924,16445,225,9268,2453,923,226,72,27,1000,156,332,23,6,4,155,9,10,366,8,5,17,16,3,9,101,31,95,86,5,18,79,16,2,14,11,20,15791,654,9479
,관내사전투표,2886,2886,40,1622,528,145,42,18,4,147,24,67,2,1,1,19,1,1,36,2,0,1,0,1,1,8,4,14,13,0,2,9,3,0,0,1,4,2761,125,0
,고아읍제1투,1599,854,10,547,62,24,19,10,2,35,18,15,3,0,0,7,1,2,24,0,0,0,0,0,0,6,3,6,1,1,0,4,1,1,0,2,1,805,49,745
,고아읍제2투,2199,1135,19,717,110,55,22,4,3,39,21,10,1,0,0,9,0,0,33,1,2,2,1,0,3,17,3,6,7,1,0,10,2,0,1,2,1,1102,33,1064
,고아읍제3투,3642,2172,28,1215,334,121,26,6,3,134,16,49,1,1,1,20,2,1,47,0,0,2,2,0,0,18,3,17,18,0,4,13,3,0,2,1,4,2092,80,1470
,고아읍제4투,3235,1957,33,1098,285,115,27,5,6,125,12,33,3,2,0,17,2,1,45,0,0,3,5,1,0,17,5,12,11,0,5,9,1,0,4,2,1,1885,72,1278
,고아읍제5투,1164,790,8,522,45,21,18,7,3,18,12,4,1,0,0,5,1,2,40,1,0,3,0,0,1,4,3,6,4,0,1,4,0,0,1,0,4,739,51,374
,고아읍제6투,2272,1303,15,862,112,36,25,9,2,44,13,12,3,1,0,18,1,1,38,1,2,1,1,1,0,6,3,5,4,1,4,11,0,0,1,3,0,1236,67,969
,고아읍제7투,2240,1190,17,681,159,61,15,4,2,58,18,28,3,1,1,19,0,1,43,0,0,2,1,0,0,4,2,5,2,0,1,2,0,0,1,0,1,1132,58,1050
,고아읍제8투,3205,1947,20,999,338,157,20,4,1,178,11,53,3,0,0,20,1,0,33,2,0,0,4,0,4,9,3,11,14,0,0,10,2,0,2,0,1,1900,47,1258
