읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,120897,81948,1331,45919,11886,4981,992,437,311,4082,906,2137,144,46,33,665,63,57,1783,54,49,88,85,30,109,252,197,422,378,38,104,336,53,26,56,120,117,78287,3661,38949
거소·선상투표,,556,522,17,299,40,26,10,9,4,13,6,7,2,1,1,7,2,0,7,0,0,0,0,0,3,2,0,5,0,0,2,0,0,0,1,0,0,464,58,34
관외사전투표,,5794,5793,142,2317,1197,513,52,29,17,410,32,250,42,6,5,88,1,7,90,6,7,13,17,0,7,21,19,36,67,7,12,20,12,2,4,13,13,5474,319,1
재외투표,,429,100,7,44,23,7,3,2,0,3,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,1,0,0,100,0,329
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아포읍,소계,6148,4023,39,2542,416,155,81,13,21,148,62,68,4,1,0,28,3,3,142,1,3,4,3,0,3,15,7,25,8,1,4,19,2,3,4,3,5,3836,187,2125
,관내사전투표,2004,2004,17,1244,253,93,36,7,11,71,30,34,1,1,0,13,2,3,45,1,2,2,2,0,2,9,5,11,3,0,4,5,0,1,2,1,1,1912,92,0
,아포읍제1투,1110,589,12,384,38,14,12,2,6,20,5,12,1,0,0,4,0,0,22,0,1,0,0,0,1,1,0,6,1,0,0,1,1,0,2,1,3,550,39,521
,아포읍제2투,970,507,3,357,24,16,9,1,1,10,18,4,0,0,0,4,1,0,26,0,0,1,1,0,0,1,0,2,0,0,0,4,0,0,0,0,1,484,23,463
,아포읍제3투,2064,923,7,557,101,32,24,3,3,47,9,18,2,0,0,7,0,0,49,0,0,1,0,0,0,4,2,6,4,1,0,9,1,2,0,1,0,890,33,1141
농소면,소계,2772,1984,34,1139,236,130,20,19,12,87,28,42,1,1,0,18,1,0,59,1,0,4,2,3,0,2,2,8,7,0,2,2,3,0,1,3,1,1868,116,788
,관내사전투표,1084,1084,19,603,156,66,6,13,7,51,14,30,0,0,0,12,1,0,22,0,0,2,1,1,0,0,1,3,5,0,2,1,2,0,1,2,1,1022,62,0
,농소면제1투,720,366,7,215,31,16,5,0,2,18,9,10,1,0,0,1,0,0,22,0,0,1,1,0,0,0,1,3,1,0,0,1,1,0,0,0,0,346,20,354
,농소면제2투,968,534,8,321,49,48,9,6,3,18,5,2,0,1,0,5,0,0,15,1,0,1,0,2,0,2,0,2,1,0,0,0,0,0,0,1,0,500,34,434
남면,소계,2885,1971,25,1173,223,105,28,10,9,76,31,48,3,2,2,8,0,2,50,2,2,6,3,1,5,6,2,14,9,1,4,12,0,0,0,5,9,1876,95,914
,관내사전투표,983,983,12,536,144,67,13,7,2,40,14,37,2,1,2,2,0,1,12,1,0,5,2,1,3,2,1,7,7,0,2,6,0,0,0,1,1,931,52,0
,남면제1투,1019,483,9,301,40,17,11,2,4,19,10,2,0,1,0,4,0,1,18,0,1,0,1,0,2,3,1,1,1,1,0,4,0,0,0,4,6,464,19,536
,남면제2투,883,505,4,336,39,21,4,1,3,17,7,9,1,0,0,2,0,0,20,1,1,1,0,0,0,1,0,6,1,0,2,2,0,0,0,0,2,481,24,378
개령면,소계,2292,1674,22,1110,148,52,29,10,12,38,28,29,4,4,1,15,1,1,37,4,2,0,1,1,4,7,1,8,0,1,0,3,1,1,1,3,1,1580,94,618
,관내사전투표,920,919,9,614,92,22,17,7,6,22,17,18,3,1,0,5,1,0,13,3,1,0,0,0,3,4,1,3,0,1,0,1,0,0,1,0,1,866,53,1
,개령면투표소,1372,755,13,496,56,30,12,3,6,16,11,11,1,3,1,10,0,1,24,1,1,0,1,1,1,3,0,5,0,0,0,2,1,1,0,3,0,714,41,617
감문면,소계,2999,2147,40,1441,153,54,35,8,15,62,32,33,2,0,2,8,2,1,36,3,2,2,1,1,6,7,6,13,2,0,2,7,0,1,2,9,1,1989,158,852
,관내사전투표,1197,1197,23,811,94,29,17,5,8,37,13,16,0,0,2,4,2,1,11,0,2,2,0,0,4,4,2,10,1,0,1,1,0,0,1,5,0,1106,91,0
,감문면제1투,1046,530,10,327,39,16,9,3,5,14,11,11,0,0,0,3,0,0,12,3,0,0,0,1,0,1,4,0,1,0,1,3,0,1,0,3,1,479,51,516
,감문면제2투,756,420,7,303,20,9,9,0,2,11,8,6,2,0,0,1,0,0,13,0,0,0,1,0,2,2,0,3,0,0,0,3,0,0,1,1,0,404,16,336
어모면,소계,3714,2574,47,1569,230,108,52,10,10,83,46,46,1,1,1,18,2,3,113,0,1,2,3,2,3,5,5,14,5,2,4,9,0,1,3,5,8,2412,162,1140
,관내사전투표,1382,1381,26,817,161,61,32,4,6,53,24,35,0,1,1,9,1,2,24,0,0,1,3,0,1,3,3,6,4,1,1,4,0,0,3,3,2,1292,89,1
,어모면제1투,1258,615,12,378,45,32,14,4,2,19,12,7,1,0,0,8,0,0,30,0,1,1,0,2,2,1,1,5,0,0,1,2,0,1,0,2,3,586,29,643
,어모면제2투,1074,578,9,374,24,15,6,2,2,11,10,4,0,0,0,1,1,1,59,0,0,0,0,0,0,1,1,3,1,1,2,3,0,0,0,0,3,534,44,496
봉산면,소계,3231,2431,41,1509,312,109,38,9,13,92,32,46,3,1,1,11,4,1,27,2,0,3,1,2,8,4,3,13,5,2,4,4,1,3,1,4,4,2313,118,800
,관내사전투표,1374,1374,26,801,215,74,13,4,8,59,19,34,2,1,1,6,1,1,11,1,0,0,0,0,4,3,2,8,4,1,3,0,1,3,1,2,0,1309,65,0
,봉산면제1투,1012,546,11,367,62,21,11,1,2,20,9,5,0,0,0,1,0,0,6,1,0,0,1,1,2,0,1,2,1,0,1,4,0,0,0,1,2,533,13,466
,봉산면제2투,845,511,4,341,35,14,14,4,3,13,4,7,1,0,0,4,3,0,10,0,0,3,0,1,2,1,0,3,0,1,0,0,0,0,0,1,2,471,40,334
대항면,소계,3185,2201,53,1397,216,99,17,17,14,53,40,37,2,0,1,22,3,2,37,0,1,1,2,2,1,4,7,7,5,1,2,7,0,3,5,5,4,2067,134,984
,관내사전투표,972,972,22,600,116,52,5,6,6,22,17,26,2,0,1,6,3,0,10,0,0,0,0,1,0,2,4,4,2,1,1,2,0,1,2,3,3,920,52,0
,대항면제1투,1253,605,14,389,47,26,7,3,4,19,16,6,0,0,0,8,0,1,11,0,0,0,1,0,0,0,1,1,2,0,0,4,0,2,2,2,1,567,38,648
,대항면제2투,960,624,17,408,53,21,5,8,4,12,7,5,0,0,0,8,0,1,16,0,1,1,1,1,1,2,2,2,1,0,1,1,0,0,1,0,0,580,44,336
감천면,소계,1887,1381,18,877,125,90,22,6,9,22,25,19,2,0,0,12,1,0,32,7,0,3,0,1,0,4,3,7,4,0,1,5,1,1,0,2,1,1300,81,506
,관내사전투표,770,770,10,495,80,60,12,0,5,10,11,14,0,0,0,7,1,0,7,4,0,2,0,0,0,0,1,3,3,0,1,2,0,1,0,0,0,729,41,0
,감천면투표소,1117,611,8,382,45,30,10,6,4,12,14,5,2,0,0,5,0,0,25,3,0,1,0,1,0,4,2,4,1,0,0,3,1,0,0,2,1,571,40,506
조마면,소계,1950,1383,20,896,114,52,26,10,13,31,34,14,3,3,2,22,4,1,27,2,3,1,2,0,1,5,4,3,3,0,0,10,1,1,0,2,1,1311,72,567
,관내사전투표,842,842,13,553,75,30,16,5,6,11,27,10,2,2,1,7,2,1,15,2,2,0,1,0,0,2,2,2,2,0,0,3,0,1,0,0,1,794,48,0
,조마면투표소,1108,541,7,343,39,22,10,5,7,20,7,4,1,1,1,15,2,0,12,0,1,1,1,0,1,3,2,1,1,0,0,7,1,0,0,2,0,517,24,567
구성면,소계,2561,1753,27,1191,154,68,16,11,11,38,25,20,3,3,0,7,1,1,37,1,0,2,1,0,1,2,4,9,2,4,1,2,0,1,0,3,3,1649,104,808
,관내사전투표,817,817,13,546,84,40,9,6,7,20,9,14,2,0,0,2,0,1,12,0,0,1,1,0,0,0,2,5,1,2,0,0,0,0,0,0,1,778,39,0
,구성면제1투,988,563,7,389,42,21,6,0,3,10,4,5,1,3,0,3,0,0,18,1,0,0,0,0,1,1,1,2,1,2,1,2,0,0,0,1,2,527,36,425
,구성면제2투,756,373,7,256,28,7,1,5,1,8,12,1,0,0,0,2,1,0,7,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,2,0,344,29,383
지례면,소계,1561,1147,21,688,126,51,26,5,6,42,28,18,2,5,0,2,2,3,22,1,1,3,3,2,4,4,6,6,1,0,1,3,0,1,2,3,0,1088,59,414
,관내사전투표,628,628,13,371,74,34,16,2,2,30,13,12,2,2,0,1,0,2,7,1,0,1,2,1,3,2,1,4,1,0,0,0,0,0,0,0,0,597,31,0
,지례면제1투,675,353,4,224,39,10,5,0,3,6,7,4,0,2,0,1,0,0,12,0,0,2,1,1,1,1,3,2,0,0,1,1,0,1,1,2,0,334,19,322
,지례면제2투,258,166,4,93,13,7,5,3,1,6,8,2,0,1,0,0,2,1,3,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,1,1,0,157,9,92
부항면,소계,1111,806,19,457,67,43,12,7,11,27,22,9,1,0,0,6,0,0,13,4,2,2,2,2,2,3,4,5,4,0,0,1,0,3,1,6,3,738,68,305
,관내사전투표,482,482,10,280,49,27,9,6,5,16,9,7,0,0,0,4,0,0,3,3,0,0,1,1,1,2,3,3,2,0,0,0,0,1,1,1,3,447,35,0
,부항면투표소,629,324,9,177,18,16,3,1,6,11,13,2,1,0,0,2,0,0,10,1,2,2,1,1,1,1,1,2,2,0,0,1,0,2,0,5,0,291,33,305
대덕면,소계,1899,1303,33,745,140,53,36,15,11,35,22,21,5,1,2,6,3,2,17,1,1,1,2,1,4,5,3,7,3,0,3,3,0,1,0,2,3,1187,116,596
,관내사전투표,843,843,19,500,91,32,23,12,6,20,15,14,4,1,2,3,2,0,8,1,1,0,1,1,2,3,1,5,3,0,2,0,0,0,0,1,1,774,69,0
,대덕면투표소,1056,460,14,245,49,21,13,3,5,15,7,7,1,0,0,3,1,2,9,0,0,1,1,0,2,2,2,2,0,0,1,3,0,1,0,1,2,413,47,596
증산면,소계,962,729,18,430,73,31,14,6,4,21,7,10,2,0,0,3,2,1,24,0,4,1,0,1,1,5,2,1,1,0,0,15,1,1,0,1,6,686,43,233
,관내사전투표,446,446,12,279,46,15,11,6,1,8,3,5,1,0,0,2,0,0,17,0,3,1,0,0,0,3,2,1,0,0,0,0,0,1,0,1,6,424,22,0
,증산면투표소,516,283,6,151,27,16,3,0,3,13,4,5,1,0,0,1,2,1,7,0,1,0,0,1,1,2,0,0,1,0,0,15,1,0,0,0,0,262,21,233
자산동,소계,6381,4285,49,2925,439,173,63,11,11,128,39,66,2,0,1,28,5,1,83,1,2,5,1,1,1,13,9,23,16,2,2,14,4,0,4,4,4,4130,155,2096
,관내사전투표,1963,1963,27,1332,225,86,24,5,5,55,16,39,1,0,0,8,3,1,18,0,0,2,0,0,0,8,5,9,7,1,1,5,1,0,2,3,2,1891,72,0
,자산동제1투,1068,562,4,394,50,21,12,3,2,17,3,3,0,0,0,8,1,0,16,0,0,0,0,1,0,1,0,2,1,0,0,2,2,0,0,1,0,544,18,506
,자산동제2투,1685,838,8,566,91,36,10,1,1,28,13,9,1,0,1,2,1,0,17,0,1,1,1,0,0,3,4,5,1,0,1,1,0,0,1,0,1,805,33,847
,자산동제3투,1665,922,10,633,73,30,17,2,3,28,7,15,0,0,0,10,0,0,32,1,1,2,0,0,1,1,0,7,7,1,0,6,1,0,1,0,1,890,32,743
평화남산동,소계,7125,4607,59,3032,503,177,67,15,24,150,45,90,6,3,2,26,4,3,101,1,2,3,4,0,3,10,11,21,20,4,2,19,3,1,4,9,4,4428,179,2518
,관내사전투표,2046,2046,20,1319,268,87,19,3,13,71,16,51,5,3,1,10,2,3,19,1,0,0,2,0,2,8,5,10,13,0,1,3,0,1,0,5,2,1963,83,0
,평화남산동제1투,1059,514,9,360,39,15,13,1,1,14,3,5,0,0,0,4,0,0,21,0,0,0,1,0,0,0,1,2,2,0,0,6,0,0,0,0,2,499,15,545
,평화남산동제2투,1334,671,10,456,63,22,15,3,2,18,5,16,0,0,0,3,0,0,16,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,634,37,663
,평화남산동제3투,1395,732,10,476,72,32,7,2,5,20,11,13,1,0,0,6,2,0,21,0,1,3,0,0,0,1,1,6,4,2,1,7,2,0,3,3,0,712,20,663
,평화남산동제4투,1291,644,10,421,61,21,13,6,3,27,10,5,0,0,1,3,0,0,24,0,0,0,1,0,1,1,4,2,0,2,0,3,0,0,0,1,0,620,24,647
양금동,소계,3782,2745,36,1809,258,115,41,8,16,96,44,60,1,2,3,16,2,1,52,1,1,0,0,2,6,11,5,20,5,2,6,14,0,0,1,4,7,2645,100,1037
,관내사전투표,1465,1465,20,940,160,64,20,3,6,55,27,47,1,1,2,6,1,1,22,1,1,0,0,1,1,5,5,14,2,1,1,2,0,0,0,1,3,1414,51,0
,양금동제1투,997,594,8,418,38,15,10,3,6,22,7,5,0,1,0,4,0,0,19,0,0,0,0,0,1,3,0,3,1,0,2,6,0,0,0,0,1,573,21,403
,양금동제2투,1320,686,8,451,60,36,11,2,4,19,10,8,0,0,1,6,1,0,11,0,0,0,0,1,4,3,0,3,2,1,3,6,0,0,1,3,3,658,28,634
대신동,소계,18499,11461,185,6166,1794,841,90,65,24,692,87,290,23,4,2,105,6,11,266,7,4,16,10,3,20,41,27,68,72,5,25,52,12,0,9,13,14,11049,412,7038
,관내사전투표,4709,4708,78,2424,890,353,28,35,7,274,34,162,7,1,0,44,2,3,66,1,2,2,7,2,7,17,11,34,33,1,8,13,4,0,1,7,8,4566,142,1
,대신동제1투,2740,1130,19,598,148,71,12,8,3,81,14,19,5,0,0,9,1,1,41,0,1,3,1,1,3,6,2,8,7,0,0,8,1,0,0,0,0,1071,59,1610
,대신동제2투,1810,992,16,521,169,85,7,2,2,51,6,29,3,0,1,6,0,2,24,0,0,4,0,0,2,3,4,5,7,1,0,5,1,0,2,2,0,960,32,818
,대신동제3투,2552,1278,18,682,184,100,16,5,1,73,13,22,3,1,0,13,2,2,42,3,0,2,0,0,3,4,2,7,2,0,5,9,2,0,1,2,0,1219,59,1274
,대신동제4투,2001,1141,22,674,121,94,9,5,2,70,2,20,3,0,0,12,0,2,21,1,0,1,1,0,3,6,2,5,11,0,1,6,4,0,2,1,3,1104,37,860
,대신동제5투,1496,700,8,439,63,35,10,2,1,35,6,7,0,1,0,11,0,0,27,0,0,2,0,0,0,1,2,3,5,2,4,5,0,0,1,0,1,671,29,796
