읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,63178,42351,578,24954,5031,1930,605,579,157,1701,628,978,65,35,16,371,28,42,817,31,25,50,46,22,70,195,105,282,176,20,75,144,30,34,44,78,53,39995,2356,20827
거소·선상투표,,298,272,7,137,28,9,3,3,2,11,7,5,1,0,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,3,1,230,42,26
관외사전투표,,3127,3127,67,1303,660,235,27,28,7,190,16,141,18,1,0,45,0,2,49,4,2,3,7,1,1,37,6,32,37,0,5,6,4,6,2,6,7,2955,172,0
재외투표,,179,37,0,15,7,5,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,36,1,142
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문경읍,소계,6091,3935,50,2475,378,131,51,59,16,157,86,87,4,0,1,27,4,7,66,4,5,3,5,3,9,19,8,25,5,3,2,12,5,2,2,8,7,3726,209,2156
,관내사전투표,1694,1694,22,1026,204,68,20,24,4,76,39,58,1,0,1,13,2,2,14,3,3,1,5,0,5,10,3,7,2,2,2,2,1,0,0,2,2,1624,70,0
,문경읍제1투,1933,928,8,615,70,32,13,13,6,34,17,16,3,0,0,4,1,0,22,1,0,1,0,2,1,4,1,5,2,0,0,4,2,0,1,0,1,879,49,1005
,문경읍제2투,1666,832,15,525,61,22,12,14,4,25,19,8,0,0,0,5,0,3,24,0,1,1,0,0,1,4,3,8,1,1,0,3,1,1,1,3,2,768,64,834
,문경읍제3투,798,481,5,309,43,9,6,8,2,22,11,5,0,0,0,5,1,2,6,0,1,0,0,1,2,1,1,5,0,0,0,3,1,1,0,3,2,455,26,317
가은읍,소계,3477,2407,36,1430,211,121,45,52,7,62,49,59,3,3,1,12,3,3,29,3,2,3,2,1,1,22,4,25,6,2,5,12,1,0,0,3,5,2223,184,1070
,관내사전투표,1199,1199,15,705,118,65,22,23,4,32,30,41,2,2,0,4,3,2,8,2,1,0,1,0,1,8,3,13,0,2,2,6,1,0,0,1,2,1119,80,0
,가은읍제1투,1769,916,15,569,70,42,17,20,3,24,10,15,1,0,1,6,0,1,15,1,1,3,1,0,0,5,0,9,5,0,2,3,0,0,0,1,2,842,74,853
,가은읍제2투,509,292,6,156,23,14,6,9,0,6,9,3,0,1,0,2,0,0,6,0,0,0,0,1,0,9,1,3,1,0,1,3,0,0,0,1,1,262,30,217
영순면,소계,2046,1462,25,940,105,41,24,23,8,39,21,28,3,1,1,12,2,1,35,2,4,4,0,0,8,7,4,16,3,1,3,2,0,1,4,6,2,1376,86,584
,관내사전투표,866,866,15,552,66,22,15,16,6,25,11,18,2,0,0,6,1,0,20,0,2,3,0,0,5,4,2,10,2,1,2,1,0,1,3,3,2,816,50,0
,영순면투표소,1180,596,10,388,39,19,9,7,2,14,10,10,1,1,1,6,1,1,15,2,2,1,0,0,3,3,2,6,1,0,1,1,0,0,1,3,0,560,36,584
산양면,소계,2657,1839,27,1207,149,49,38,34,8,41,37,12,3,2,1,12,1,2,39,1,0,2,0,1,2,4,6,8,2,1,6,7,1,5,6,4,3,1721,118,818
,관내사전투표,886,886,12,579,91,26,17,20,1,16,24,4,1,2,0,6,0,0,5,1,0,1,0,0,1,0,3,4,1,0,1,1,0,1,3,1,1,823,63,0
,산양면제1투,895,483,9,309,33,14,14,5,3,12,9,5,2,0,0,4,1,0,17,0,0,0,0,0,0,2,1,0,1,1,1,4,1,3,1,2,2,456,27,412
,산양면제2투,876,470,6,319,25,9,7,9,4,13,4,3,0,0,1,2,0,2,17,0,0,1,0,1,1,2,2,4,0,0,4,2,0,1,2,1,0,442,28,406
호계면,소계,2144,1459,25,898,128,47,25,14,11,31,26,22,2,0,1,12,2,3,48,4,0,1,0,0,2,5,3,12,3,2,8,1,2,4,3,1,2,1348,111,685
,관내사전투표,965,965,18,597,94,36,10,11,8,23,13,15,2,0,0,5,2,3,16,4,0,0,0,0,2,3,1,7,2,2,6,1,1,3,2,1,1,889,76,0
,호계면투표소,1179,494,7,301,34,11,15,3,3,8,13,7,0,0,1,7,0,0,32,0,0,1,0,0,0,2,2,5,1,0,2,0,1,1,1,0,1,459,35,685
산북면,소계,2538,1796,29,1008,165,87,28,32,15,55,43,37,4,2,1,12,1,4,36,1,0,1,2,3,4,4,5,13,4,0,7,11,0,0,4,8,2,1628,168,742
,관내사전투표,1078,1078,16,601,110,51,15,23,8,38,30,25,4,1,0,8,1,3,12,1,0,1,1,2,2,0,4,5,2,0,3,4,0,0,3,6,1,981,97,0
,산북면투표소,1460,718,13,407,55,36,13,9,7,17,13,12,0,1,1,4,0,1,24,0,0,0,1,1,2,4,1,8,2,0,4,7,0,0,1,2,1,647,71,742
동로면,소계,1643,1190,22,655,134,44,20,37,3,33,26,21,3,3,2,7,2,2,24,3,0,2,0,1,4,3,3,4,2,2,2,4,1,0,4,4,3,1080,110,453
,관내사전투표,735,735,12,386,91,35,8,25,1,24,9,16,2,1,2,4,2,1,6,2,0,1,0,1,2,3,3,2,0,2,2,2,0,0,2,3,3,653,82,0
,동로면투표소,908,455,10,269,43,9,12,12,2,9,17,5,1,2,0,3,0,1,18,1,0,1,0,0,2,0,0,2,2,0,0,2,1,0,2,1,0,427,28,453
