읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,29008,20672,338,11506,2751,1109,362,346,78,788,362,509,23,12,13,201,29,17,393,20,19,45,16,15,30,67,62,88,77,13,34,69,19,28,22,59,39,19559,1113,8336
거소·선상투표,,123,119,1,68,14,4,3,1,0,6,7,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,112,7,4
관외사전투표,,1790,1790,35,763,386,175,12,10,3,100,15,95,6,0,0,32,1,0,25,1,0,7,1,0,1,6,3,12,11,0,7,3,4,0,1,2,3,1720,70,0
재외투표,,44,17,0,6,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,27
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화읍,소계,8285,5699,83,3254,814,306,97,73,24,244,74,138,5,1,2,58,6,5,105,4,5,7,3,3,7,20,18,31,28,5,4,15,4,4,3,9,8,5467,232,2586
,관내사전투표,2687,2687,29,1453,452,172,36,41,12,134,23,91,3,1,2,21,2,3,42,1,2,2,1,2,1,6,12,14,20,1,2,3,0,1,1,4,3,2593,94,0
,봉화읍제1투,1780,887,15,500,126,47,16,6,1,52,9,13,1,0,0,8,0,0,23,0,3,1,1,0,2,3,1,4,5,3,1,6,1,1,0,0,1,850,37,893
,봉화읍제2투,1397,718,9,421,92,33,14,7,5,22,15,13,0,0,0,4,3,1,18,0,0,2,0,0,1,4,4,4,3,1,0,1,2,2,1,2,0,684,34,679
,봉화읍제3투,1304,704,18,445,75,27,15,8,3,25,10,8,1,0,0,10,0,1,14,1,0,1,0,0,0,6,1,3,0,0,1,1,0,0,0,1,1,676,28,600
