읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,40027,27247,406,15772,3161,1382,461,390,106,1043,422,620,45,28,13,161,26,28,537,15,19,31,44,14,28,93,62,152,79,12,49,105,14,17,20,55,39,25449,1798,12780
거소·선상투표,,118,113,1,62,14,2,0,1,0,5,1,4,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,1,103,10,5
관외사전투표,,2642,2642,44,1292,463,187,28,13,7,165,23,102,8,1,3,33,2,1,46,1,1,3,10,1,1,4,5,22,18,2,9,16,1,0,1,1,5,2519,123,0
재외투표,,157,35,3,6,9,1,1,4,0,2,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,2,122
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성주읍,소계,11233,6940,115,3741,985,473,100,114,11,296,80,190,12,9,2,38,6,6,169,4,5,7,13,2,5,23,25,35,20,0,14,21,6,4,1,5,7,6544,396,4293
,관내사전투표,2810,2810,45,1336,515,251,27,53,1,144,30,111,3,3,0,21,3,1,47,1,2,2,5,0,1,5,11,11,13,0,9,4,4,1,0,1,1,2662,148,0
,성주읍제1투,1573,859,14,557,80,46,14,9,1,32,9,12,0,2,0,1,0,2,17,0,0,0,0,1,0,3,0,5,1,0,1,4,0,1,0,1,1,814,45,714
,성주읍제2투,2311,1041,18,597,117,42,26,17,4,37,11,21,3,1,0,7,0,1,36,3,1,3,1,1,2,5,5,7,2,0,3,3,1,1,0,1,0,977,64,1270
,성주읍제3투,2626,1227,22,665,166,87,22,19,2,43,20,31,1,2,2,4,2,1,38,0,2,0,3,0,1,4,4,6,1,0,0,6,1,1,0,0,1,1157,70,1399
,성주읍제4투,1913,1003,16,586,107,47,11,16,3,40,10,15,5,1,0,5,1,1,31,0,0,2,4,0,1,6,5,6,3,0,1,4,0,0,1,2,4,934,69,910
선남면,소계,5347,3548,34,2313,307,112,77,28,12,121,56,59,6,2,0,16,1,2,76,3,2,5,1,2,3,24,10,24,9,1,4,18,1,1,1,9,1,3341,207,1799
,관내사전투표,1124,1124,6,713,118,36,24,11,5,39,19,23,0,0,0,8,1,1,12,2,1,0,0,0,0,9,6,10,3,0,2,4,1,0,0,0,0,1054,70,0
,선남면제1투,2066,1180,15,766,100,40,23,8,5,42,20,19,3,1,0,7,0,0,24,1,1,3,1,0,1,7,2,8,4,1,0,11,0,0,0,3,1,1117,63,886
,선남면제2투,2157,1244,13,834,89,36,30,9,2,40,17,17,3,1,0,1,0,1,40,0,0,2,0,2,2,8,2,6,2,0,2,3,0,1,1,6,0,1170,74,913
용암면,소계,3203,2137,31,1310,205,88,45,31,15,89,37,32,7,1,1,9,3,4,42,0,2,3,1,0,3,10,1,12,3,0,4,1,1,3,4,3,8,2009,128,1066
,관내사전투표,1038,1038,19,632,119,43,17,16,9,42,15,16,5,1,0,2,2,0,12,0,1,3,0,0,2,4,0,4,1,0,4,1,0,2,3,2,5,982,56,0
,용암면제1투,1080,561,6,348,46,28,17,12,4,17,12,11,1,0,0,1,1,3,14,0,0,0,0,0,1,3,0,5,1,0,0,0,0,0,0,0,0,531,30,519
,용암면제2투,1085,538,6,330,40,17,11,3,2,30,10,5,1,0,1,6,0,1,16,0,1,0,1,0,0,3,1,3,1,0,0,0,1,1,1,1,3,496,42,547
수륜면,소계,2624,1769,29,1061,177,63,31,32,8,49,12,40,2,3,3,7,3,3,53,0,0,3,1,1,4,6,4,9,6,2,3,7,0,2,5,5,1,1635,134,855
,관내사전투표,944,944,15,540,112,40,12,13,4,24,6,35,1,1,1,1,2,2,17,0,0,2,0,1,2,2,4,5,2,1,2,0,0,1,4,2,1,855,89,0
,수륜면제1투,1048,501,9,313,42,18,4,14,1,17,5,4,1,1,1,3,1,1,24,0,0,1,0,0,1,1,0,4,1,0,1,4,0,1,0,1,0,474,27,547
,수륜면제2투,632,324,5,208,23,5,15,5,3,8,1,1,0,1,1,3,0,0,12,0,0,0,1,0,1,3,0,0,3,1,0,3,0,0,1,2,0,306,18,308
가천면,소계,1843,1406,33,821,132,69,34,21,3,42,26,33,0,3,0,9,3,1,16,2,0,0,0,0,1,4,1,6,4,0,2,9,1,3,0,3,2,1284,122,437
,관내사전투표,811,811,22,455,88,38,22,12,2,21,20,24,0,3,0,8,0,0,7,1,0,0,0,0,1,3,0,4,2,0,2,1,0,2,0,1,2,741,70,0
,가천면투표소,1032,595,11,366,44,31,12,9,1,21,6,9,0,0,0,1,3,1,9,1,0,0,0,0,0,1,1,2,2,0,0,8,1,1,0,2,0,543,52,437
금수면,소계,977,738,14,423,80,31,13,13,2,18,8,18,0,1,1,10,0,1,6,2,0,0,2,0,1,2,2,2,1,1,3,1,0,1,2,5,2,666,72,239
,관내사전투표,341,341,7,190,49,17,5,5,0,7,3,12,0,0,0,6,0,1,2,2,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,2,1,315,26,0
,금수면투표소,636,397,7,233,31,14,8,8,2,11,5,6,0,1,1,4,0,0,4,0,0,0,0,0,1,1,1,2,1,0,2,1,0,1,2,3,1,351,46,239
대가면,소계,2140,1460,25,833,130,76,35,34,9,53,38,20,1,0,1,5,2,2,27,0,1,1,2,2,3,5,3,7,4,1,1,5,0,0,1,2,1,1330,130,680
,관내사전투표,740,740,8,418,66,49,16,18,5,29,19,9,1,0,0,3,1,2,8,0,1,1,2,1,1,1,2,4,1,0,1,1,0,0,1,0,1,670,70,0
,대가면투표소,1400,720,17,415,64,27,19,16,4,24,19,11,0,0,1,2,1,0,19,0,0,0,0,1,2,4,1,3,3,1,0,4,0,0,0,2,0,660,60,680
벽진면,소계,2814,1915,24,1143,199,85,37,22,14,48,54,37,5,1,1,6,1,1,28,1,2,1,1,2,3,5,1,8,4,1,3,5,1,2,1,2,4,1753,162,899
,관내사전투표,968,968,11,588,119,44,14,11,6,29,25,26,2,1,1,2,0,1,4,1,1,0,1,0,0,3,1,4,1,1,1,0,0,2,1,1,2,904,64,0
,벽진면투표소,1846,947,13,555,80,41,23,11,8,19,29,11,3,0,0,4,1,0,24,0,1,1,0,2,3,2,0,4,3,0,2,5,1,0,0,1,2,849,98,899
초전면,소계,4028,2573,37,1498,298,126,27,44,15,87,50,48,1,3,1,17,4,5,41,0,2,5,8,2,1,6,7,17,4,1,3,6,2,0,3,10,4,2383,190,1455
,관내사전투표,1113,1113,13,599,166,54,15,21,10,43,23,30,0,1,1,8,1,3,13,0,2,3,4,0,0,0,3,4,1,0,1,2,1,0,3,5,2,1032,81,0
,초전면제1투,1634,766,11,476,76,36,8,12,2,20,10,8,1,1,0,4,2,1,15,0,0,0,1,0,1,6,1,6,2,1,2,2,1,0,0,1,0,707,59,868
,초전면제2투,1281,694,13,423,56,36,4,11,3,24,17,10,0,1,0,5,1,1,13,0,0,2,3,2,0,0,3,7,1,0,0,2,0,0,0,4,2,644,50,587
월항면,소계,2901,1971,16,1269,162,69,33,33,10,68,35,36,3,3,0,6,1,1,32,2,4,3,4,2,3,3,3,9,4,2,3,14,1,1,1,10,3,1849,122,930
,관내사전투표,856,856,5,544,79,32,11,13,3,36,17,20,1,2,0,3,1,1,9,0,1,0,1,2,0,1,1,5,3,1,3,4,1,1,1,3,2,807,49,0
,월항면제1투,1294,687,5,434,53,26,14,17,3,21,14,9,1,1,0,1,0,0,15,2,3,1,3,0,1,1,1,2,1,0,0,5,0,0,0,5,1,640,47,607
,월항면제2투,751,428,6,291,30,11,8,3,4,11,4,7,1,0,0,2,0,0,8,0,0,2,0,0,2,1,1,2,0,1,0,5,0,0,0,2,0,402,26,323
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
