읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,15393,11161,176,6084,1452,599,170,159,62,409,220,283,18,4,8,76,9,16,233,12,19,18,31,7,21,38,26,72,29,10,15,36,12,12,7,39,16,10398,763,4232
거소·선상투표,,112,91,3,41,3,6,3,4,2,5,4,3,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,9,21
관외사전투표,,818,817,15,332,177,68,12,12,1,51,5,42,4,0,1,7,0,1,14,1,4,2,6,0,0,5,2,7,1,0,2,6,1,0,0,2,1,782,35,1
재외투표,,49,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,38
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영양읍,소계,5974,4173,60,2354,536,244,52,50,24,182,75,105,3,1,3,31,3,5,72,5,5,2,11,2,8,9,7,29,18,4,6,9,4,2,4,15,10,3950,223,1801
,관내사전투표,2125,2125,38,1157,316,137,17,23,11,109,30,67,2,1,3,17,2,1,19,5,2,0,8,0,4,2,4,18,14,1,5,2,0,1,2,6,2,2026,99,0
,영양읍제1투,1487,802,10,456,92,43,14,6,4,26,24,21,1,0,0,3,0,1,20,0,1,1,1,2,1,2,1,3,1,2,1,2,3,0,0,4,5,751,51,685
,영양읍제2투,1236,671,3,389,76,38,16,9,5,27,14,10,0,0,0,8,1,1,19,0,1,0,1,0,1,2,1,3,3,0,0,2,1,0,2,3,2,638,33,565
