읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,91188,62393,932,33677,9275,3974,708,872,194,3076,754,1816,81,30,20,569,47,53,1099,48,38,69,67,29,94,205,145,385,328,36,78,206,54,26,45,102,75,59207,3186,28795
거소·선상투표,,343,326,14,120,49,15,4,5,1,9,7,11,4,0,2,8,1,2,4,1,3,2,2,1,1,1,1,1,0,1,2,0,1,0,1,3,5,282,44,17
관외사전투표,,3655,3655,103,1392,838,324,26,28,10,245,6,158,18,2,1,47,1,3,40,3,2,5,12,2,10,14,14,30,47,2,6,11,10,0,0,5,2,3417,238,0
재외투표,,173,44,1,8,15,7,0,1,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,43,1,129
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
풍기읍,소계,9401,6164,88,3635,781,292,85,101,26,228,96,158,5,4,2,53,10,6,116,2,4,7,5,4,8,13,14,38,23,0,9,21,3,5,5,18,11,5876,288,3237
,관내사전투표,2222,2221,37,1239,342,123,25,28,10,96,30,82,1,1,0,21,4,3,32,0,1,2,4,1,0,5,8,12,3,0,3,5,1,1,1,5,4,2130,91,1
,풍기읍제1투,1592,918,11,562,104,38,9,21,4,34,15,18,1,1,0,8,1,0,10,0,0,2,1,1,3,2,0,8,4,0,0,3,1,0,1,3,1,867,51,674
,풍기읍제2투,1626,854,4,537,100,36,9,11,3,18,16,18,1,0,2,8,2,1,23,1,1,0,0,0,3,1,0,4,8,0,3,3,0,1,2,3,1,820,34,772
