읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,47346,31204,500,17632,4245,1667,599,187,143,1556,323,817,48,26,12,224,31,27,520,23,32,45,31,17,31,87,53,138,116,12,36,86,24,22,29,62,58,29459,1745,16142
거소·선상투표,,312,270,7,148,29,7,10,0,0,1,4,9,3,0,0,2,1,0,2,0,1,0,0,0,1,1,1,5,0,0,0,0,0,0,0,2,0,234,36,42
관외사전투표,,3222,3221,74,1398,685,277,26,17,4,255,16,143,12,1,2,37,3,1,34,4,5,4,10,0,1,10,5,22,28,1,6,9,0,1,0,1,7,3099,122,1
재외투표,,161,42,2,11,14,3,1,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,119
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예천읍,소계,12538,7202,75,4608,806,298,146,45,19,291,69,129,9,4,1,65,2,4,116,2,3,8,2,4,6,16,17,31,29,2,5,16,6,2,4,8,10,6858,344,5336
,관내사전투표,3227,3227,30,2059,409,139,53,23,10,128,30,78,6,1,0,24,1,3,35,0,0,2,1,3,3,6,6,17,15,1,2,2,1,1,1,3,6,3099,128,0
,예천읍제1투,1330,545,3,343,55,23,12,3,2,18,6,11,1,1,0,7,0,0,17,0,0,0,0,0,0,2,2,5,1,0,0,1,0,1,2,0,0,516,29,785
,예천읍제2투,1606,697,8,448,77,31,18,6,0,22,4,5,0,0,0,10,0,0,13,1,0,1,0,0,1,2,1,1,5,0,0,9,2,0,0,1,1,667,30,909
,예천읍제3투,2100,920,12,593,100,32,19,6,2,39,6,16,1,1,0,9,0,1,17,0,1,0,1,1,0,1,2,2,1,0,0,0,0,0,1,2,1,867,53,1180
