읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,8610,5904,96,3217,955,335,68,32,36,235,54,174,9,1,3,47,5,2,162,3,2,7,5,2,7,22,8,43,18,4,7,20,2,3,5,5,8,5602,302,2706
거소·선상투표,,20,20,0,6,5,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
관외사전투표,,890,890,11,449,172,53,10,7,1,43,2,32,2,1,0,8,1,0,26,1,0,3,3,0,0,5,1,8,9,0,0,5,0,0,0,1,1,855,35,0
재외투표,,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
울릉읍,소계,5379,3292,58,1802,540,191,32,19,23,134,32,109,6,0,0,26,4,1,61,1,2,2,2,2,5,9,5,22,7,2,6,10,2,2,3,2,4,3126,166,2087
,관내사전투표,1341,1341,19,661,257,95,10,11,5,70,10,66,3,0,0,15,2,0,23,1,0,1,1,1,0,3,2,9,2,1,2,3,0,0,1,0,2,1276,65,0
,울릉읍제1투,1597,744,13,412,112,38,9,3,7,24,15,24,1,0,0,7,1,1,9,0,2,0,1,0,3,1,2,2,2,1,0,4,0,0,1,1,0,696,48,853
,울릉읍제2투,1967,942,19,585,114,44,12,5,8,29,6,15,1,0,0,3,1,0,20,0,0,1,0,1,1,3,1,11,3,0,3,2,1,2,1,1,2,895,47,1025
,울릉읍제3투,474,265,7,144,57,14,1,0,3,11,1,4,1,0,0,1,0,0,9,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,259,6,209
서면,소계,1156,880,18,509,116,46,17,4,9,28,8,10,0,0,1,9,0,1,32,0,0,0,0,0,1,7,2,7,1,2,0,3,0,0,2,0,0,833,47,276
,관내사전투표,313,313,6,176,53,16,3,1,1,13,4,7,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,294,19,0
,서면제1투,498,326,10,199,39,20,7,2,5,6,1,2,0,0,0,2,0,0,10,0,0,0,0,0,0,2,1,2,1,2,0,0,0,0,1,0,0,312,14,172
,서면제2투,345,241,2,134,24,10,7,1,3,9,3,1,0,0,1,4,0,1,19,0,0,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,227,14,104
북면,소계,1157,821,9,451,122,42,9,2,3,26,10,23,1,0,2,4,0,0,43,1,0,2,0,0,1,1,0,6,1,0,1,2,0,1,0,2,3,768,53,336
,관내사전투표,307,307,6,155,61,19,3,1,1,12,3,13,0,0,0,2,0,0,8,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,288,19,0
,북면제1투,505,285,2,158,36,11,5,1,2,9,4,5,1,0,2,1,0,0,15,0,0,1,0,0,0,1,0,3,1,0,1,2,0,1,0,1,1,264,21,220
,북면제2투,345,229,1,138,25,12,1,0,0,5,3,5,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,216,13,116
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
