읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,43117,29941,447,16759,3867,1578,426,402,232,1316,398,863,55,25,17,267,16,24,423,20,27,40,59,19,44,96,93,177,126,9,59,76,20,21,25,55,40,28121,1820,13176
거소·선상투표,,393,360,4,242,26,9,3,0,2,10,12,6,1,0,0,3,0,0,1,0,0,1,0,0,0,1,4,2,0,0,1,1,0,0,0,3,1,333,27,33
관외사전투표,,2086,2086,42,870,450,161,16,20,5,145,5,66,14,1,2,33,0,2,39,0,0,4,13,1,5,7,5,19,34,0,7,7,2,0,4,2,2,1983,103,0
재외투표,,104,20,1,8,3,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,84
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
울진읍,소계,10803,7272,86,4026,1091,478,90,108,12,348,71,241,11,6,2,85,2,5,106,5,3,7,18,4,10,22,20,36,37,2,10,24,5,3,3,6,8,6991,281,3531
,관내사전투표,3219,3219,34,1676,600,222,37,40,6,156,20,154,5,2,1,33,2,0,33,2,1,4,4,2,1,7,11,22,20,0,5,11,2,2,0,2,5,3122,97,0
,울진읍제1투,1701,856,11,519,112,50,14,7,2,24,6,12,2,2,0,15,0,2,15,2,0,0,0,1,1,2,1,1,5,1,3,2,1,0,1,2,2,818,38,845
,울진읍제2투,1856,974,14,510,130,67,16,24,1,54,11,24,2,0,1,11,0,2,22,0,1,1,5,0,4,4,1,5,4,0,1,5,0,0,0,0,0,920,54,882
