읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,48844,35959,617,22145,3370,1381,705,404,133,1068,631,585,43,23,9,285,27,33,1100,31,40,46,42,23,59,125,72,171,93,15,40,106,9,25,39,57,73,33625,2334,12885
거소·선상투표,,270,253,3,150,32,6,5,8,0,6,4,6,0,0,0,2,0,0,10,0,0,1,0,0,0,0,2,3,1,0,0,1,0,0,1,0,0,241,12,17
관외사전투표,,2711,2705,53,1390,464,179,35,27,2,157,8,88,4,1,0,32,2,3,38,0,4,2,5,0,3,10,8,13,22,3,3,11,1,0,1,6,4,2579,126,6
재외투표,,377,83,3,53,12,2,1,0,0,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,82,1,294
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의성읍,소계,11249,7504,113,4495,851,353,112,47,19,284,113,149,7,6,0,73,5,5,289,4,6,7,9,2,8,23,14,27,20,0,6,36,1,1,5,4,7,7101,403,3745
,관내사전투표,3906,3905,57,2300,500,188,65,28,10,155,69,82,2,4,0,36,2,2,86,3,3,3,4,0,4,11,8,17,15,0,3,15,0,1,2,2,3,3680,225,1
,의성읍제1투,1183,505,6,316,36,22,8,1,1,27,5,10,0,1,0,3,0,1,36,0,0,1,0,0,0,2,0,2,0,0,0,4,1,0,0,0,1,484,21,678
,의성읍제2투,2184,996,13,569,122,57,15,8,1,32,11,18,2,0,0,10,1,1,53,0,0,0,1,2,1,4,0,6,1,0,2,6,0,0,0,1,2,939,57,1188
,의성읍제3투,2126,1072,18,645,126,53,14,6,2,33,14,23,1,0,0,16,1,0,44,0,1,3,3,0,0,4,5,2,3,0,0,5,0,0,3,1,0,1026,46,1054
,의성읍제4투,1850,1026,19,665,67,33,10,4,5,37,14,16,2,1,0,8,1,1,70,1,2,0,1,0,3,2,1,0,1,0,1,6,0,0,0,0,1,972,54,824
단촌면,소계,1808,1346,23,854,103,57,24,21,6,29,32,23,1,0,0,16,0,1,27,2,2,6,3,0,3,4,3,5,2,0,4,3,0,3,3,1,2,1263,83,462
,관내사전투표,844,844,13,547,68,37,17,14,3,21,18,13,1,0,0,11,0,0,13,1,1,3,0,0,1,2,1,3,1,0,2,1,0,3,2,0,2,799,45,0
,단촌면투표소,964,502,10,307,35,20,7,7,3,8,14,10,0,0,0,5,0,1,14,1,1,3,3,0,2,2,2,2,1,0,2,2,0,0,1,1,0,464,38,462
점곡면,소계,1502,1131,24,698,120,39,18,22,3,29,23,25,1,0,0,8,1,0,17,1,0,4,3,1,4,2,2,3,1,0,0,10,0,0,2,2,3,1066,65,371
,관내사전투표,764,764,18,487,83,24,11,10,1,18,14,19,1,0,0,6,0,0,6,1,0,2,0,1,3,2,2,2,0,0,0,4,0,0,1,1,1,718,46,0
