읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,39467,28353,459,16781,3400,1170,476,142,229,1173,391,610,27,20,9,189,23,16,623,22,27,35,37,13,36,105,52,136,92,10,42,82,11,16,29,60,46,26589,1764,11114
거소·선상투표,,146,135,8,74,11,5,0,1,0,5,5,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,119,16,11
관외사전투표,,2944,2941,48,1492,538,183,38,13,8,203,17,115,4,3,1,25,0,1,40,4,1,5,3,0,0,9,9,28,28,0,10,9,2,0,1,1,3,2842,99,3
재외투표,,192,43,1,21,9,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,42,1,149
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청도읍,소계,10774,7327,106,4333,890,333,120,34,67,291,103,149,4,6,3,46,5,9,148,3,9,12,8,2,10,28,13,43,22,3,9,18,1,4,6,13,6,6857,470,3447
,관내사전투표,2916,2916,40,1626,459,168,35,16,16,135,35,86,2,3,0,12,0,1,43,2,3,3,5,1,5,7,5,12,8,0,4,4,0,1,2,2,1,2742,174,0
,청도읍제1투,2208,1112,20,649,121,46,21,8,11,45,10,24,0,0,0,13,1,1,31,1,1,0,1,0,2,6,1,8,2,1,1,5,0,0,0,2,2,1034,78,1096
,청도읍제2투,2369,1181,21,683,136,54,25,3,9,44,13,24,2,0,1,8,0,2,34,0,2,5,1,0,1,6,2,5,7,1,1,4,0,0,2,3,2,1101,80,1188
,청도읍제3투,770,507,7,326,40,9,9,2,6,16,10,6,0,1,1,2,2,0,9,0,0,1,1,0,1,1,1,3,1,0,2,2,0,0,1,2,0,462,45,263
,청도읍제4투,1191,750,7,493,67,20,12,2,10,25,16,3,0,1,0,5,2,1,10,0,2,2,0,0,1,5,2,5,3,1,0,1,0,2,1,3,1,703,47,441
,청도읍제5투,1320,861,11,556,67,36,18,3,15,26,19,6,0,1,1,6,0,4,21,0,1,1,0,1,0,3,2,10,1,0,1,2,1,1,0,1,0,815,46,459
화양읍,소계,6172,4134,68,2375,570,171,57,24,39,208,42,115,10,1,1,31,3,3,112,2,3,5,5,0,4,19,10,21,11,1,5,19,1,0,5,3,1,3945,189,2038
,관내사전투표,1395,1394,19,743,241,74,13,10,12,90,9,56,3,0,0,8,0,2,18,1,1,2,2,0,1,8,3,9,2,0,1,0,0,0,3,0,0,1331,63,1
,화양읍제1투,935,475,10,312,41,7,8,1,1,21,2,9,2,1,0,1,0,0,20,0,0,0,1,0,0,3,2,1,0,0,0,2,1,0,2,0,1,449,26,460
,화양읍제2투,2352,1301,23,703,184,66,13,11,16,71,16,36,4,0,1,13,2,1,44,1,1,2,0,0,0,5,3,6,7,1,2,11,0,0,0,2,0,1245,56,1051
,화양읍제3투,645,398,5,257,34,15,11,2,5,12,8,4,1,0,0,1,0,0,15,0,0,1,2,0,3,2,1,2,1,0,2,1,0,0,0,0,0,385,13,247
,화양읍제4투,845,566,11,360,70,9,12,0,5,14,7,10,0,0,0,8,1,0,15,0,1,0,0,0,0,1,1,3,1,0,0,5,0,0,0,1,0,535,31,279
각남면,소계,1927,1495,30,930,148,54,27,5,12,37,14,26,1,1,1,10,1,0,30,1,1,1,1,2,2,5,0,9,4,0,1,2,1,0,2,5,5,1369,126,432
,관내사전투표,869,869,16,559,83,32,9,0,7,15,8,18,1,1,1,3,1,0,8,1,1,0,0,2,1,4,0,5,1,0,1,0,0,0,1,1,3,783,86,0
,각남면제1투,650,363,6,209,48,18,9,3,3,14,3,5,0,0,0,7,0,0,13,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,2,0,347,16,287
,각남면제2투,408,263,8,162,17,4,9,2,2,8,3,3,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,1,2,2,239,24,145
풍각면,소계,3620,2565,38,1553,239,83,87,16,16,113,45,43,1,2,1,23,4,0,45,5,2,4,2,2,4,7,6,7,5,2,5,8,2,4,5,7,4,2390,175,1055
,관내사전투표,1145,1145,17,672,130,50,31,7,6,55,23,28,1,1,0,11,2,0,12,2,1,0,1,1,1,4,3,4,2,1,2,1,1,0,0,0,1,1071,74,0
