읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,229821,154637,2181,80813,26798,12016,1215,730,303,8908,940,4452,196,67,52,1240,76,86,4260,68,60,145,151,31,115,572,328,707,801,25,145,613,79,38,70,99,97,148477,6160,75184
거소·선상투표,,622,563,19,230,75,48,3,3,1,40,4,14,3,0,1,12,0,2,8,0,1,2,1,0,0,3,0,4,2,1,0,4,2,0,0,2,3,488,75,59
관외사전투표,,11702,11696,262,4561,2602,1228,60,54,23,781,29,452,74,12,8,151,6,5,147,7,14,21,32,4,22,51,32,100,129,1,32,36,17,1,6,18,14,10992,704,6
재외투표,,612,135,2,42,40,12,0,0,0,9,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,134,1,477
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흥해읍,소계,31474,20150,300,10797,3401,1535,178,120,31,1017,127,473,16,4,9,152,10,11,557,6,7,20,18,6,12,88,52,100,69,5,23,79,5,6,8,18,16,19276,874,11324
,관내사전투표,4885,4885,69,2590,945,377,44,38,9,197,23,161,3,1,4,34,2,2,61,3,2,10,5,1,3,19,8,22,13,2,7,9,3,1,1,2,1,4672,213,0
,흥해읍제1투,1713,857,8,535,88,53,12,8,4,40,6,6,0,0,0,6,0,1,25,0,0,1,1,0,1,1,4,4,3,0,1,1,0,0,1,0,1,811,46,856
,흥해읍제2투,1437,799,10,447,98,62,5,1,1,28,7,20,3,0,0,10,1,0,26,0,2,0,0,1,1,3,2,6,3,0,1,10,0,1,0,1,2,752,47,638
