읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,364886,242421,13399,7242,144911,22277,308,7312,168,11251,204,19350,250,64,89,1248,77,105,1834,749,66,311,469,30,131,131,690,171,1230,32,118,271,133,14,174,92,166,235067,7354,122465
거소·선상투표,,760,712,70,39,341,44,3,18,1,47,0,43,6,0,0,17,0,1,7,1,0,1,3,1,1,0,2,3,2,0,4,2,0,0,2,2,2,663,49,48
관외사전투표,,32658,32642,1834,1057,17974,3429,22,865,30,1663,11,3153,95,16,7,255,5,18,141,90,16,45,98,4,26,20,108,56,246,9,28,34,33,4,18,26,39,31475,1167,16
재외투표,,833,190,4,10,100,24,2,0,0,8,0,29,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,184,6,643
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중흥1동,소계,4175,2430,141,56,1468,216,4,66,1,128,4,174,2,0,3,10,0,1,17,5,2,6,5,1,2,1,5,4,11,0,1,0,1,0,2,2,0,2339,91,1745
,관내사전투표,1182,1182,68,22,728,109,2,28,0,60,0,96,0,0,1,3,0,0,4,4,0,2,2,0,0,1,3,4,2,0,0,0,1,0,0,2,0,1142,40,0
,중흥1동투표소,2993,1248,73,34,740,107,2,38,1,68,4,78,2,0,2,7,0,1,13,1,2,4,3,1,2,0,2,0,9,0,1,0,0,0,2,0,0,1197,51,1745
중흥2동,소계,5910,3751,173,158,2164,350,13,115,2,215,10,279,1,2,1,22,2,2,22,4,2,5,8,1,4,2,14,4,21,1,2,8,0,0,3,4,3,3617,134,2159
