읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,133393,84763,1176,46703,12437,4277,1679,339,181,5915,646,2490,84,29,28,862,44,45,1782,35,28,74,103,16,73,222,153,350,533,24,78,485,44,16,40,65,54,81110,3653,48630
거소·선상투표,,253,215,6,88,39,13,5,0,2,13,8,7,3,0,0,7,0,0,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,198,17,38
관외사전투표,,7510,7503,147,3175,1574,548,89,34,13,602,37,387,21,3,4,94,2,8,98,7,3,12,21,2,12,20,26,59,90,0,14,35,10,1,4,10,5,7167,336,7
재외투표,,369,75,0,19,23,7,1,0,0,5,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,75,0,294
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이천동,소계,10319,6739,87,3746,972,364,106,26,14,548,56,188,4,0,3,54,2,5,153,1,2,2,12,1,4,13,10,22,37,0,8,38,2,0,1,1,6,6488,251,3580
,관내사전투표,1652,1652,19,826,346,94,21,4,3,125,8,80,0,0,0,11,0,2,27,0,1,1,3,0,0,2,1,10,13,0,1,1,0,0,0,0,2,1601,51,0
,이천동제1투,1244,587,12,364,56,22,19,5,1,33,8,16,0,0,0,6,0,0,10,1,0,0,2,0,1,2,2,3,1,0,0,4,0,0,0,0,1,569,18,657
,이천동제2투,2266,1390,9,825,165,79,26,5,6,110,16,20,0,0,0,10,0,1,33,0,0,0,4,0,1,2,1,3,10,0,5,6,2,0,0,1,1,1341,49,876
,이천동제3투,2677,1608,21,875,234,81,23,8,1,155,9,31,1,0,3,18,1,2,31,0,1,1,2,0,0,5,4,3,6,0,0,16,0,0,0,0,1,1533,75,1069
,이천동제4투,2480,1502,26,856,171,88,17,4,3,125,15,41,3,0,0,9,1,0,52,0,0,0,1,1,2,2,2,3,7,0,2,11,0,0,1,0,1,1444,58,978
봉덕1동,소계,8174,4976,57,2884,661,262,76,15,11,347,47,141,4,0,2,41,2,1,90,0,0,2,7,0,10,10,7,27,28,1,6,27,3,1,1,3,2,4776,200,3198
,관내사전투표,1670,1670,21,911,295,82,19,2,5,104,12,74,1,0,1,14,0,0,17,0,0,0,3,0,5,1,1,9,10,0,0,3,0,0,0,0,1,1591,79,0
,봉덕1동제1투,1751,801,13,471,87,39,12,6,2,57,9,18,1,0,0,5,1,0,22,0,0,0,0,0,0,1,1,3,4,0,2,11,0,0,1,3,0,769,32,950
