읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,208237,133633,1939,67894,22699,8006,1711,1296,377,11191,901,4040,203,39,34,1294,51,86,2719,67,36,167,139,24,107,579,295,624,734,24,111,625,94,32,57,127,88,128410,5223,74604
거소·선상투표,,479,445,20,179,63,15,11,6,3,31,10,12,4,0,0,3,0,2,2,0,2,1,0,0,4,4,4,5,1,0,1,2,1,0,0,3,2,391,54,34
관외사전투표,,12064,12056,215,5354,2441,880,147,110,40,966,60,510,54,3,3,119,7,8,146,10,5,15,35,0,15,57,30,90,89,2,20,41,24,4,3,20,16,11539,517,8
재외투표,,451,96,4,29,23,12,0,3,0,2,1,13,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,95,1,355
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화원읍,소계,39502,24950,304,13691,3558,1361,374,218,67,1956,173,600,29,3,7,210,9,14,749,11,5,24,18,4,16,84,51,103,159,3,15,129,19,2,10,18,17,24011,939,14552
,관내사전투표,5472,5472,65,2837,1005,325,70,47,14,382,30,205,5,0,2,43,0,2,94,2,1,3,2,1,1,16,6,26,42,1,3,14,6,0,0,1,2,5253,219,0
,화원읍제1투,2551,1231,19,758,122,34,21,11,7,53,7,14,3,1,0,9,1,0,48,1,0,1,1,0,1,5,2,7,11,0,1,12,3,0,1,0,3,1157,74,1320
,화원읍제2투,3195,1816,21,1069,195,85,29,11,4,143,16,31,0,1,0,19,0,1,86,0,0,0,1,1,3,8,7,7,10,0,0,4,0,1,2,0,1,1756,60,1379
