읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,296622,194261,3203,101258,31012,11988,2820,1006,461,15253,1461,5656,260,60,53,1846,74,98,4419,96,73,162,433,37,154,622,377,835,1132,52,153,925,142,35,88,153,155,186552,7709,102361
거소·선상투표,,621,584,21,227,65,41,8,5,3,52,10,13,6,1,1,19,0,1,7,1,1,1,6,2,2,5,3,5,0,0,2,2,1,0,0,1,2,514,70,37
관외사전투표,,17685,17681,419,7181,3790,1522,156,94,43,1492,87,802,75,9,10,210,3,11,218,9,12,40,72,2,24,56,39,123,139,3,30,54,23,3,11,26,17,16805,876,4
재외투표,,830,207,4,53,67,25,1,1,0,12,0,21,1,0,0,0,0,1,8,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,201,6,623
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신암1동,소계,6982,4607,70,2733,541,229,106,10,12,289,52,90,4,4,4,45,3,3,75,1,2,5,4,1,3,16,4,28,20,2,2,23,2,1,1,3,2,4390,217,2375
,관내사전투표,1988,1988,23,1150,281,112,44,4,5,129,26,57,2,1,2,11,2,1,19,0,1,2,3,1,0,3,1,10,10,1,1,6,1,0,0,0,1,1910,78,0
,신암1동제1투,1621,762,13,435,82,39,22,2,3,51,5,10,1,0,1,9,1,1,15,1,1,1,1,0,1,5,1,7,3,0,0,8,0,0,0,2,0,721,41,859
,신암1동제2투,1909,1029,24,601,108,56,23,3,1,78,12,13,0,0,1,16,0,1,18,0,0,2,0,0,1,5,0,7,2,1,0,6,1,1,0,1,0,982,47,880
,신암1동제3투,1464,828,10,547,70,22,17,1,3,31,9,10,1,3,0,9,0,0,23,0,0,0,0,0,1,3,2,4,5,0,1,3,0,0,1,0,1,777,51,636
신암2동,소계,9157,6250,90,3277,988,412,112,22,13,548,50,158,1,0,2,42,4,2,105,5,2,3,14,1,6,19,8,29,18,3,6,28,2,1,2,7,2,5982,268,2907
,관내사전투표,2504,2504,33,1273,481,181,35,8,2,207,16,87,1,0,1,15,3,0,18,0,2,0,7,0,3,4,2,11,8,2,4,3,1,0,1,3,1,2413,91,0
,신암2동제1투,2337,1255,16,677,150,86,29,3,3,131,10,21,0,0,1,8,0,1,25,2,0,2,4,0,0,6,0,9,5,1,2,10,0,1,0,1,0,1204,51,1082
,신암2동제2투,2062,1030,13,507,178,68,13,7,2,82,14,29,0,0,0,9,0,1,28,2,0,0,1,0,2,2,2,5,0,0,0,10,1,0,1,1,1,979,51,1032
,신암2동제3투,2254,1461,28,820,179,77,35,4,6,128,10,21,0,0,0,10,1,0,34,1,0,1,2,1,1,7,4,4,5,0,0,5,0,0,0,2,0,1386,75,793
신암3동,소계,7222,4661,63,2587,673,271,56,26,9,353,38,129,1,3,0,37,3,2,78,3,0,2,13,3,3,13,11,13,29,0,2,42,4,0,1,1,3,4472,189,2561
,관내사전투표,1810,1810,26,957,314,100,19,8,2,136,16,78,1,1,0,10,2,1,18,1,0,2,6,1,0,2,7,6,14,0,0,4,0,0,0,0,1,1733,77,0
,신암3동제1투,3473,1946,29,1091,255,122,23,15,6,165,13,36,0,2,0,16,0,1,37,1,0,0,4,0,0,10,3,3,10,0,1,26,3,0,1,1,0,1874,72,1527
,신암3동제2투,1939,905,8,539,104,49,14,3,1,52,9,15,0,0,0,11,1,0,23,1,0,0,3,2,3,1,1,4,5,0,1,12,1,0,0,0,2,865,40,1034
신암4동,소계,11447,6707,72,3883,948,331,133,20,12,371,50,161,5,0,1,76,1,4,127,3,2,1,18,2,7,20,18,24,30,2,6,44,1,0,5,5,4,6387,320,4740
,관내사전투표,2382,2382,24,1360,407,120,39,8,4,131,19,81,1,0,1,22,0,2,27,1,0,1,4,0,2,5,5,3,11,1,1,3,0,0,3,0,0,2286,96,0
,신암4동제1투,3236,1369,10,767,204,60,33,3,3,80,11,22,2,0,0,18,1,1,21,1,0,0,3,0,2,6,4,6,7,1,3,22,1,0,1,1,0,1294,75,1867
,신암4동제2투,3321,1744,23,1051,184,90,38,4,4,93,9,27,0,0,0,18,0,1,51,0,2,0,7,1,1,6,6,8,7,0,2,12,0,0,1,4,4,1654,90,1577
,신암4동제3투,2508,1212,15,705,153,61,23,5,1,67,11,31,2,0,0,18,0,0,28,1,0,0,4,1,2,3,3,7,5,0,0,7,0,0,0,0,0,1153,59,1296
신암5동,소계,6550,4555,57,2617,634,249,93,16,9,291,48,115,7,2,0,47,2,1,67,3,2,6,7,1,2,18,10,20,26,1,3,24,4,1,0,1,4,4388,167,1995
,관내사전투표,2180,2179,31,1159,379,132,43,8,3,147,16,77,3,1,0,22,0,0,20,1,1,5,2,1,1,5,5,7,12,1,3,8,1,0,0,0,1,2095,84,1
,신암5동제1투,1934,1064,16,650,129,49,27,7,3,70,13,12,2,1,0,10,0,1,22,0,1,0,2,0,0,5,3,4,5,0,0,5,0,1,0,0,0,1038,26,870
,신암5동제2투,2436,1312,10,808,126,68,23,1,3,74,19,26,2,0,0,15,2,0,25,2,0,1,3,0,1,8,2,9,9,0,0,11,3,0,0,1,3,1255,57,1124
신천1·2동,소계,11162,7611,101,4220,1149,419,126,27,9,626,64,178,4,5,2,58,3,0,148,3,1,2,14,1,1,25,12,25,35,0,5,35,7,0,2,5,7,7319,292,3551
,관내사전투표,2457,2457,31,1309,442,148,31,8,3,188,23,90,2,2,0,18,0,0,33,2,0,1,4,0,0,3,5,5,11,0,1,3,1,0,0,1,0,2365,92,0
,신천1·2동제1투,2058,1274,14,731,183,60,26,2,1,92,11,19,0,0,0,12,1,0,27,0,0,1,3,1,0,5,3,3,10,0,1,6,1,0,0,1,2,1216,58,784
,신천1·2동제2투,2066,1130,18,641,141,53,17,7,2,102,11,27,2,2,0,5,0,0,22,1,0,0,2,0,1,10,0,3,5,0,0,7,2,0,0,0,0,1081,49,936
,신천1·2동제3투,1909,997,12,616,93,48,28,5,2,54,14,13,0,0,0,10,0,0,22,0,1,0,1,0,0,3,2,4,3,0,1,14,1,0,1,2,2,952,45,912
,신천1·2동제4투,2672,1753,26,923,290,110,24,5,1,190,5,29,0,1,2,13,2,0,44,0,0,0,4,0,0,4,2,10,6,0,2,5,2,0,1,1,3,1705,48,919
신천3동,소계,10230,6897,81,3734,1066,381,99,19,10,595,54,209,8,1,0,44,0,4,176,2,0,5,16,3,5,22,15,19,55,2,1,28,5,1,2,3,2,6667,230,3333
,관내사전투표,2485,2485,25,1321,449,152,30,4,2,182,17,117,5,0,0,11,0,2,43,2,0,1,4,1,4,7,5,7,17,0,0,3,3,1,1,0,0,2416,69,0
,신천3동제1투,2176,1103,14,573,161,54,19,2,1,113,7,20,2,0,0,6,0,1,46,0,0,2,3,1,0,5,3,6,11,0,1,10,0,0,0,1,1,1063,40,1073
,신천3동제2투,2613,1560,22,849,226,77,27,8,3,150,14,40,1,1,0,14,0,1,34,0,0,1,5,1,0,3,3,3,12,2,0,5,0,0,0,1,1,1504,56,1053
,신천3동제3투,2956,1749,20,991,230,98,23,5,4,150,16,32,0,0,0,13,0,0,53,0,0,1,4,0,1,7,4,3,15,0,0,10,2,0,1,1,0,1684,65,1207
신천4동,소계,6676,4004,50,2268,601,213,59,13,7,248,32,103,3,0,0,47,0,2,92,1,0,4,10,2,5,8,11,12,22,1,1,22,1,1,2,5,1,3847,157,2672
,관내사전투표,1363,1363,17,737,249,81,16,7,0,72,9,66,0,0,0,9,0,0,26,1,0,1,4,1,1,3,3,2,7,1,0,2,0,1,2,0,1,1319,44,0
,신천4동제1투,769,400,9,271,36,16,3,2,1,21,3,2,1,0,0,3,0,0,10,0,0,1,0,1,1,1,1,1,2,0,0,2,0,0,0,0,0,388,12,369
,신천4동제2투,2418,1124,12,601,185,72,21,1,3,76,9,18,0,0,0,23,0,1,20,0,0,1,5,0,1,2,3,3,6,0,1,5,0,0,0,3,0,1072,52,1294
,신천4동제3투,2126,1117,12,659,131,44,19,3,3,79,11,17,2,0,0,12,0,1,36,0,0,1,1,0,2,2,4,6,7,0,0,13,1,0,0,2,0,1068,49,1009
효목1동,소계,12011,7585,106,4515,930,354,127,35,12,463,69,172,5,4,2,73,3,0,188,6,6,8,10,2,9,25,7,29,41,3,3,39,3,0,2,10,6,7267,318,4426
,관내사전투표,2170,2170,21,1342,310,89,28,7,0,111,20,66,0,1,1,18,0,0,19,2,3,2,6,1,3,12,2,10,8,1,0,6,1,0,1,1,2,2094,76,0
,효목1동제1투,1619,850,15,484,98,40,12,5,3,40,8,14,2,1,0,12,2,0,43,0,0,1,1,0,0,3,1,2,3,0,1,10,0,0,0,4,1,806,44,769
,효목1동제2투,1773,972,7,588,104,43,20,7,3,64,8,21,1,1,0,7,1,0,26,2,0,1,0,0,2,1,1,3,3,0,0,4,1,0,1,0,0,920,52,801
,효목1동제3투,1827,963,22,575,95,49,20,9,3,48,5,20,0,0,0,9,0,0,27,1,1,2,1,0,1,3,0,5,8,0,1,6,1,0,0,2,1,915,48,864
,효목1동제4투,2622,1657,20,940,201,95,24,5,1,157,16,36,1,1,1,13,0,0,46,1,2,2,2,1,2,4,2,7,12,2,1,11,0,0,0,1,2,1609,48,965
,효목1동제5투,2000,973,21,586,122,38,23,2,2,43,12,15,1,0,0,14,0,0,27,0,0,0,0,0,1,2,1,2,7,0,0,2,0,0,0,2,0,923,50,1027
효목2동,소계,12739,8120,109,4716,1145,407,149,20,13,570,61,197,5,0,0,64,5,2,167,0,2,6,12,0,5,28,19,30,34,1,5,26,5,1,3,3,5,7815,305,4619
,관내사전투표,2636,2636,28,1527,450,139,34,6,2,169,14,105,3,0,0,11,2,0,23,0,0,1,6,0,3,5,5,10,13,1,0,5,0,0,1,1,0,2564,72,0
,효목2동제1투,1154,564,16,346,50,30,9,3,0,31,6,5,0,0,0,7,0,0,18,0,0,1,1,0,0,3,3,3,0,0,0,5,1,0,0,1,0,539,25,590
,효목2동제2투,2459,1211,22,694,142,63,34,1,3,79,10,19,2,0,0,7,1,1,32,0,1,0,0,0,1,6,1,7,11,0,2,5,1,0,1,0,4,1150,61,1248
