읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,157422,100101,1299,58753,12296,5653,1933,599,272,5738,935,2077,131,32,32,839,56,61,1718,48,43,115,184,33,122,326,211,526,496,34,143,389,63,21,55,110,79,95422,4679,57321
거소·선상투표,,215,193,8,97,28,13,2,0,0,5,2,4,1,1,1,7,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,175,18,22
관외사전투표,,7166,7160,153,3235,1394,557,89,31,21,476,27,254,35,4,5,91,4,10,91,0,3,12,22,3,12,24,19,67,61,4,27,33,10,1,2,12,11,6800,360,6
재외투표,,281,66,2,17,23,8,2,1,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,65,1,215
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
내당1동,소계,7587,4562,51,2691,553,224,112,16,12,308,34,92,7,0,0,47,0,3,97,2,3,7,10,1,3,18,10,16,35,0,3,18,1,0,3,4,1,4382,180,3025
,관내사전투표,1643,1643,21,935,274,69,35,8,7,100,11,52,1,0,0,13,0,0,9,2,2,5,6,0,1,5,2,4,11,0,0,1,0,0,1,2,1,1578,65,0
,내당1동제1투,3011,1545,14,974,131,73,48,2,4,111,13,19,4,0,0,15,0,0,45,0,1,1,2,0,2,6,3,5,12,0,2,4,1,0,1,0,0,1493,52,1466
,내당1동제2투,2933,1374,16,782,148,82,29,6,1,97,10,21,2,0,0,19,0,3,43,0,0,1,2,1,0,7,5,7,12,0,1,13,0,0,1,2,0,1311,63,1559
내당2·3동,소계,8863,5360,72,3312,621,243,102,24,13,288,51,99,5,0,1,38,1,0,66,0,1,8,12,3,5,16,8,31,18,3,10,19,3,2,1,7,3,5086,274,3503
,관내사전투표,1408,1408,20,822,213,64,27,5,4,73,15,46,1,0,0,9,0,0,11,0,1,2,6,1,1,3,0,9,4,1,1,4,1,0,1,3,1,1349,59,0
,내당2·3동제1투,2687,1432,19,903,172,54,20,11,3,66,16,10,2,0,1,10,0,0,27,0,0,2,4,1,1,4,1,3,5,0,5,6,1,0,0,1,0,1348,84,1255
,내당2·3동제2투,2293,1171,18,752,98,51,36,5,2,68,8,19,1,0,0,6,1,0,24,0,0,2,1,1,1,4,2,9,8,1,4,2,1,0,0,0,1,1126,45,1122
,내당2·3동제3투,2475,1349,15,835,138,74,19,3,4,81,12,24,1,0,0,13,0,0,4,0,0,2,1,0,2,5,5,10,1,1,0,7,0,2,0,3,1,1263,86,1126
내당4동,소계,14615,9309,120,5469,1169,515,202,40,20,593,72,203,12,1,3,68,3,5,235,7,10,7,22,3,4,26,14,37,50,2,9,42,3,0,1,6,11,8984,325,5306
,관내사전투표,3033,3033,33,1716,485,211,50,15,4,198,22,89,5,1,1,16,1,3,36,0,4,2,6,0,0,10,3,8,13,2,2,7,0,0,1,4,4,2952,81,0
,내당4동제1투,2083,1021,22,590,131,45,22,6,5,70,8,17,1,0,0,9,0,0,20,0,2,0,1,0,1,1,0,3,6,0,1,8,1,0,0,0,2,972,49,1062
