읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,151396,97610,2368,30917,31586,8415,658,964,194,5979,540,4356,163,34,38,847,54,62,2517,47,40,102,102,15,87,257,328,264,697,24,88,304,84,133,71,66,89,92490,5120,53786
거소·선상투표,,313,295,14,79,82,25,1,2,0,20,2,8,2,0,0,7,0,0,7,0,0,0,0,0,1,3,0,1,0,0,2,1,1,4,2,1,1,266,29,18
관외사전투표,,8702,8700,290,1985,3035,949,33,85,23,590,32,518,47,6,5,123,2,6,91,7,7,10,21,2,15,24,34,44,84,0,16,18,21,48,10,13,14,8208,492,2
재외투표,,334,66,1,14,29,2,0,0,0,1,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,64,2,268
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오정동,소계,12575,7454,179,2693,2215,518,62,72,18,430,55,310,5,1,1,65,5,7,230,6,4,7,9,4,3,25,29,14,52,2,2,22,7,3,1,5,6,7067,387,5121
,관내사전투표,2154,2154,64,670,760,158,17,19,3,131,17,143,3,0,1,19,1,1,28,0,2,2,2,1,1,7,5,1,11,0,0,0,1,0,0,1,1,2070,84,0
,오정동제1투,1839,973,22,365,258,57,6,6,4,54,8,33,0,0,0,10,1,1,54,2,0,1,1,1,1,4,5,1,7,0,0,4,1,1,0,1,2,911,62,866
,오정동제2투,1085,519,17,193,145,40,5,7,0,30,4,12,2,0,0,2,0,0,21,0,0,1,0,0,0,0,0,3,2,1,0,2,0,0,1,0,1,489,30,566
,오정동제3투,1738,705,15,248,200,48,7,3,0,50,4,26,0,0,0,6,0,1,22,0,1,0,3,0,0,2,6,1,10,1,0,4,1,0,0,1,0,660,45,1033
,오정동제4투,1719,781,17,302,213,55,4,7,3,49,6,17,0,0,0,6,0,3,33,2,0,3,1,0,0,1,4,3,6,0,0,5,2,0,0,2,1,745,36,938
,오정동제5투,2399,1504,34,608,401,109,12,22,5,78,10,45,0,0,0,15,1,1,42,1,1,0,2,0,1,6,5,4,11,0,2,7,1,2,0,0,1,1427,77,895
,오정동제6투,1641,818,10,307,238,51,11,8,3,38,6,34,0,1,0,7,2,0,30,1,0,0,0,2,0,5,4,1,5,0,0,0,1,0,0,0,0,765,53,823
대화동,소계,6532,3862,101,1284,1143,303,47,32,18,174,29,137,12,4,2,46,2,3,82,3,2,6,6,1,11,7,21,7,14,0,3,15,0,5,2,0,12,3534,328,2670
,관내사전투표,1489,1489,35,494,486,116,18,15,3,69,7,64,4,2,0,18,0,1,14,0,0,2,1,0,2,3,8,2,3,0,0,3,0,2,0,0,2,1374,115,0
,대화동제1투,1634,703,26,209,165,37,14,7,5,27,8,20,5,1,2,10,1,2,13,1,0,3,3,1,5,0,4,1,4,0,2,7,0,1,0,0,6,590,113,931
,대화동제2투,1289,620,13,222,179,59,4,2,2,35,6,20,0,0,0,10,0,0,24,1,0,0,2,0,1,1,2,2,2,0,0,3,0,2,1,0,1,594,26,669
,대화동제3투,2120,1050,27,359,313,91,11,8,8,43,8,33,3,1,0,8,1,0,31,1,2,1,0,0,3,3,7,2,5,0,1,2,0,0,1,0,3,976,74,1070
회덕동,소계,11480,7294,158,2567,2254,586,51,65,13,414,41,296,4,2,3,35,2,5,248,1,1,6,6,2,2,22,19,16,40,2,4,12,8,6,5,5,13,6914,380,4186
,관내사전투표,1975,1975,29,639,716,169,15,11,3,113,10,119,2,0,0,5,0,2,33,0,0,2,1,0,0,2,2,7,9,2,1,1,3,3,1,0,3,1903,72,0
,회덕동제1투,2386,1472,42,493,479,130,9,21,4,73,9,55,1,1,1,9,0,1,47,0,0,1,1,1,0,4,2,4,10,0,1,4,1,1,0,0,2,1407,65,914
,회덕동제2투,2104,1101,29,410,278,85,13,11,0,71,7,34,0,0,0,7,1,1,49,0,1,0,1,1,1,3,4,0,7,0,0,3,1,2,1,1,2,1024,77,1003
,회덕동제3투,1880,823,16,260,259,69,3,9,3,50,4,28,0,0,1,3,0,0,34,0,0,1,2,0,1,7,3,1,4,0,0,1,1,0,0,1,0,761,62,1057
,회덕동제4투,2635,1607,32,624,459,116,10,12,2,95,9,48,0,0,1,7,1,1,72,1,0,0,0,0,0,5,8,2,9,0,0,3,2,0,2,2,5,1528,79,1028
,회덕동제5투,500,316,10,141,63,17,1,1,1,12,2,12,1,1,0,4,0,0,13,0,0,2,1,0,0,1,0,2,1,0,2,0,0,0,1,1,1,291,25,184
비래동,소계,13637,8420,179,2882,2750,593,52,95,14,452,54,361,14,5,2,59,5,9,236,4,3,11,5,2,10,25,32,17,55,4,10,31,7,12,2,3,6,8001,419,5217
,관내사전투표,2642,2640,45,816,1013,215,14,33,3,121,12,170,3,2,1,17,0,2,30,2,0,2,2,0,0,3,5,4,13,1,2,5,1,1,1,0,0,2539,101,2
,비래동제1투,2243,1130,20,454,325,73,8,16,3,50,20,28,3,0,0,8,1,2,35,2,1,2,1,0,0,5,3,1,8,2,1,7,2,2,0,0,0,1083,47,1113
,비래동제2투,2111,1135,28,399,350,78,4,9,1,54,11,35,2,0,1,9,1,2,42,0,0,1,0,0,6,5,4,6,9,0,1,3,2,3,0,1,2,1069,66,976
,비래동제3투,2068,1011,27,349,307,63,12,11,1,65,5,31,2,2,0,10,0,1,32,0,1,3,0,1,1,2,6,2,5,1,1,7,1,3,0,1,0,953,58,1057
,비래동제4투,2435,1295,33,442,392,74,12,11,4,76,4,48,2,1,0,9,0,2,55,0,1,2,1,0,2,5,7,4,10,0,3,7,1,3,0,0,3,1214,81,1140
,비래동제5투,2138,1209,26,422,363,90,2,15,2,86,2,49,2,0,0,6,3,0,42,0,0,1,1,1,1,5,7,0,10,0,2,2,0,0,1,1,1,1143,66,929
송촌동,소계,21671,14273,308,4099,4943,1421,60,141,23,1046,49,709,19,3,5,106,9,11,369,6,3,15,11,0,9,18,50,34,128,2,11,60,10,13,7,8,3,13709,564,7398
,관내사전투표,4738,4738,90,1210,1893,473,11,35,3,293,16,381,5,0,1,31,1,1,50,1,0,5,3,0,2,8,18,8,39,0,2,5,1,4,1,1,0,4592,146,0
,송촌동제1투,2817,1793,36,519,601,198,6,27,1,158,5,51,3,0,0,12,2,0,66,0,0,4,2,0,3,2,5,4,17,0,1,6,0,2,0,1,1,1733,60,1024
,송촌동제2투,2799,1517,32,458,481,160,7,16,2,126,2,55,1,1,2,18,1,1,49,2,1,0,1,0,2,1,6,2,22,1,0,12,2,3,1,0,0,1468,49,1282
,송촌동제3투,2776,1659,45,442,555,178,9,14,4,157,5,56,2,0,1,10,0,2,54,2,0,1,3,0,0,1,7,6,15,0,1,6,0,2,0,1,0,1579,80,1117
,송촌동제4투,3058,1816,32,498,609,203,9,15,7,170,7,83,4,0,1,5,1,3,37,0,0,2,0,0,0,3,6,4,14,1,4,13,3,0,1,1,1,1737,79,1242
