읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,193956,121811,2996,39823,39041,9900,1072,1000,240,7587,683,5403,140,49,48,1077,67,71,2672,61,48,128,155,28,104,385,405,320,835,29,88,383,90,140,80,81,102,115331,6480,72145
거소·선상투표,,384,365,17,86,101,19,5,7,0,26,3,14,0,0,0,15,1,0,3,1,2,1,1,0,0,3,3,4,0,0,2,0,0,3,0,0,1,318,47,19
관외사전투표,,11187,11184,346,2612,4047,1121,52,126,22,719,29,717,38,7,4,141,3,7,119,7,3,16,36,4,17,32,45,35,135,3,15,28,19,44,7,12,15,10583,601,3
재외투표,,474,92,1,18,37,11,0,0,0,2,0,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,88,4,382
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중앙동,소계,5055,3019,70,1234,877,150,42,20,8,155,20,112,2,2,2,34,1,0,39,1,0,2,3,2,4,9,10,11,15,0,3,12,2,3,2,2,3,2852,167,2036
,관내사전투표,1419,1419,25,485,508,92,6,3,5,82,7,68,1,0,2,11,0,0,10,1,0,0,2,1,0,0,5,2,9,0,2,2,1,2,1,1,0,1334,85,0
,중앙동제1투,1575,728,19,339,170,27,15,9,1,26,8,26,0,0,0,3,0,0,9,0,0,0,0,1,3,3,3,3,2,0,0,4,1,1,0,0,1,674,54,847
,중앙동제2투,2061,872,26,410,199,31,21,8,2,47,5,18,1,2,0,20,1,0,20,0,0,2,1,0,1,6,2,6,4,0,1,6,0,0,1,1,2,844,28,1189
신인동,소계,11323,7572,147,2581,2485,580,53,57,19,438,33,357,8,2,1,59,0,3,134,2,2,7,10,1,9,26,28,21,47,1,7,15,5,6,4,4,5,7157,415,3751
,관내사전투표,3328,3328,60,1039,1235,256,13,26,7,174,13,221,2,0,1,19,0,1,24,0,0,2,3,0,2,6,14,7,17,0,2,2,2,1,0,3,2,3154,174,0
,신인동제1투,2280,1125,19,444,327,88,11,6,4,58,6,29,3,0,0,11,0,0,27,1,1,2,0,0,2,8,5,3,8,0,0,2,1,3,1,0,1,1071,54,1155
,신인동제2투,2461,1259,31,473,368,87,10,10,3,62,5,46,1,0,0,7,0,2,29,0,1,1,2,0,1,7,4,4,8,1,3,6,0,1,0,0,1,1174,85,1202
,신인동제3투,2107,1219,26,451,329,92,15,9,3,86,8,38,1,2,0,21,0,0,31,0,0,1,4,1,4,5,2,6,6,0,0,5,2,1,1,0,1,1151,68,888
,신인동제4투,1147,641,11,174,226,57,4,6,2,58,1,23,1,0,0,1,0,0,23,1,0,1,1,0,0,0,3,1,8,0,2,0,0,0,2,1,0,607,34,506
효동,소계,18799,11508,225,3426,3964,1061,75,87,7,757,46,623,9,3,3,103,3,6,258,6,4,10,13,1,3,34,40,28,68,1,6,39,11,8,5,10,7,10950,558,7291
,관내사전투표,3588,3588,57,886,1463,355,13,22,1,210,11,302,2,0,1,25,1,1,24,3,0,2,6,0,0,6,8,7,28,1,0,6,3,1,1,2,1,3449,139,0
,효동제1투,2326,1247,27,529,282,94,16,8,1,88,14,38,1,2,1,12,0,0,36,1,2,0,1,0,0,2,1,4,7,0,0,1,0,1,1,1,0,1171,76,1079
,효동제2투,2793,1496,25,504,480,127,8,19,2,83,5,49,2,1,0,14,1,1,51,1,0,1,0,0,0,7,6,4,6,0,2,7,0,3,1,3,2,1415,81,1297
,효동제3투,3507,1564,37,493,479,127,11,11,1,114,6,69,2,0,0,23,1,1,50,0,1,2,1,0,1,4,10,4,5,0,1,13,4,0,1,0,1,1473,91,1943
,효동제4투,3636,1905,34,496,686,197,17,17,1,149,3,85,0,0,0,18,0,1,55,0,1,2,3,1,1,9,6,7,8,0,3,8,2,1,0,2,1,1814,91,1731
,효동제5투,2949,1708,45,518,574,161,10,10,1,113,7,80,2,0,1,11,0,2,42,1,0,3,2,0,1,6,9,2,14,0,0,4,2,2,1,2,2,1628,80,1241
판암1동,소계,10054,6311,192,2031,1961,556,62,68,22,405,38,258,7,5,4,52,3,3,139,4,2,4,9,3,4,11,15,22,45,4,5,17,0,6,3,6,6,5972,339,3743
,관내사전투표,2346,2346,56,716,848,200,20,28,10,137,15,134,2,0,2,16,1,1,28,0,0,1,2,3,0,1,4,10,11,1,1,4,0,0,1,2,0,2255,91,0
,판암1동제1투,2150,1120,54,402,274,94,17,18,4,64,12,35,1,3,1,7,0,0,35,1,0,1,3,0,3,5,3,5,4,2,2,3,0,2,0,4,2,1061,59,1030
,판암1동제2투,3006,1509,42,503,423,117,14,14,7,95,7,55,2,2,1,14,0,0,44,3,1,1,2,0,1,2,3,4,18,0,1,5,0,2,1,0,4,1388,121,1497
,판암1동제3투,2552,1336,40,410,416,145,11,8,1,109,4,34,2,0,0,15,2,2,32,0,1,1,2,0,0,3,5,3,12,1,1,5,0,2,1,0,0,1268,68,1216
판암2동,소계,8462,5341,153,1883,1696,310,76,38,11,290,43,185,5,3,1,38,7,6,88,0,4,6,9,2,6,13,21,15,21,3,2,12,2,11,7,5,6,4978,363,3121
,관내사전투표,2506,2506,58,837,899,170,30,19,4,130,20,117,2,2,0,11,3,4,17,0,1,2,2,0,1,4,6,3,8,0,1,2,0,2,3,0,4,2362,144,0
,판암2동제1투,1616,738,23,270,195,32,15,5,1,55,10,12,2,0,1,7,2,0,22,0,1,1,1,0,0,2,6,2,5,0,0,4,2,2,1,0,0,679,59,878
,판암2동제2투,1881,922,46,322,258,44,22,7,2,32,7,24,1,1,0,11,1,2,27,0,1,2,2,2,3,4,2,6,4,2,0,0,0,2,2,1,1,841,81,959
,판암2동제3투,2459,1175,26,454,344,64,9,7,4,73,6,32,0,0,0,9,1,0,22,0,1,1,4,0,2,3,7,4,4,1,1,6,0,5,1,4,1,1096,79,1284
용운동,소계,13344,8194,169,2832,2602,709,81,52,14,507,49,342,3,3,1,59,4,5,206,4,3,7,7,1,8,26,31,20,46,3,3,27,4,5,3,1,8,7845,349,5150
,관내사전투표,2963,2963,53,996,1067,260,29,21,1,164,20,170,0,1,0,18,1,0,41,1,0,3,2,0,3,9,9,5,11,1,1,9,2,2,0,0,3,2903,60,0
