읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,283617,196457,3739,54520,64546,22097,838,1875,199,17870,548,12220,176,38,48,1261,53,87,4619,82,54,146,525,26,83,494,408,378,1419,39,109,666,115,190,57,76,121,189722,6735,87160
거소·선상투표,,466,446,31,104,138,34,3,6,1,24,2,12,3,0,3,11,1,0,7,3,0,1,3,3,1,3,1,0,3,0,2,1,3,0,0,2,0,406,40,20
관외사전투표,,23455,23439,536,5488,8134,2893,77,224,34,2001,52,1591,64,4,6,220,9,0,264,14,9,19,80,3,16,59,51,94,241,9,23,43,26,66,5,17,28,22400,1039,16
재외투표,,1119,182,1,36,62,24,0,0,0,14,0,27,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,0,179,3,937
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진잠동,소계,26212,15578,328,4735,5156,1429,104,194,17,1196,54,723,11,1,4,101,7,14,539,13,10,12,26,1,6,35,37,19,95,3,11,59,8,13,5,6,7,14979,599,10634
,관내사전투표,3939,3939,78,1071,1513,351,18,61,3,260,13,258,5,0,1,22,2,7,58,5,4,3,4,0,2,8,8,2,21,1,3,7,1,2,0,0,0,3792,147,0
,진잠동제1투,3320,1323,26,402,392,103,15,16,2,84,4,57,1,0,0,7,1,1,101,0,1,2,4,0,0,5,2,1,11,0,0,13,1,1,0,2,1,1256,67,1997
,진잠동제2투,2573,1426,36,379,475,166,9,27,2,109,8,46,2,0,0,8,0,2,48,0,2,1,2,0,1,4,5,1,9,0,0,6,0,4,1,1,1,1355,71,1147
,진잠동제3투,2495,1441,35,432,471,120,10,19,3,88,6,44,2,0,1,18,0,0,60,2,0,0,4,1,0,4,6,3,9,1,2,8,0,2,0,1,0,1352,89,1054
,진잠동제4투,2633,1066,24,425,264,81,8,6,3,90,6,46,0,0,0,10,2,1,50,1,0,2,1,0,0,4,1,4,4,0,0,5,0,2,2,1,1,1044,22,1567
,진잠동제5투,398,245,9,111,57,15,3,1,0,14,1,6,0,0,0,0,0,0,10,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,233,12,153
