읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,212177,147538,2888,56212,43382,12302,772,1050,242,9694,586,7220,156,46,69,1155,40,59,2636,59,56,156,290,21,90,375,283,392,874,29,111,460,89,13,61,89,100,142057,5481,64639
거소·선상투표,,483,460,29,121,105,37,3,7,3,38,2,15,10,1,0,15,1,0,2,0,4,1,6,1,2,3,1,4,2,0,3,5,1,1,2,0,1,426,34,23
관외사전투표,,12704,12702,303,4129,4003,1138,65,100,35,770,35,818,48,8,12,149,2,4,117,8,3,19,38,4,17,26,29,46,106,5,27,35,15,1,5,11,14,12145,557,2
재외투표,,661,152,1,39,44,15,1,0,0,14,2,19,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,1,0,144,8,509
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대저1동,소계,6208,3968,73,2006,915,220,46,21,14,152,20,132,3,0,4,31,1,2,66,2,2,7,5,0,1,14,8,12,6,0,2,14,1,1,3,6,2,3792,176,2240
,관내사전투표,1368,1368,28,602,393,81,14,9,7,55,4,70,1,0,1,9,0,1,9,1,1,6,1,0,1,6,3,4,4,0,1,5,0,1,1,0,0,1319,49,0
,대저1동제1투,1208,546,6,282,120,26,7,5,1,15,5,10,1,0,0,3,1,0,21,0,1,0,1,0,0,2,1,3,1,0,0,2,1,0,0,0,0,515,31,662
,대저1동제2투,895,501,6,280,94,34,6,3,2,19,5,14,0,0,0,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,479,22,394
,대저1동제3투,1057,596,16,333,106,27,7,1,1,24,1,15,0,0,1,4,0,0,13,0,0,0,2,0,0,1,1,3,1,0,0,3,0,0,1,4,0,565,31,461
,대저1동제4투,877,517,8,290,93,31,7,3,2,17,3,13,0,0,0,6,0,0,9,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,1,1,493,24,360
,대저1동제5투,803,440,9,219,109,21,5,0,1,22,2,10,1,0,2,3,0,1,8,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,421,19,363
대저2동,소계,5989,3914,50,1778,952,273,26,21,5,218,32,193,2,1,4,46,1,1,60,1,4,2,3,1,6,6,5,10,21,2,2,10,2,1,3,4,2,3748,166,2075
,관내사전투표,1529,1529,20,514,478,137,9,10,1,112,10,122,0,0,1,14,1,0,4,0,1,1,2,0,3,2,2,3,7,2,0,3,0,0,1,1,2,1463,66,0
,대저2동제1투,1316,597,5,252,159,45,3,3,2,31,3,19,2,0,1,9,0,1,20,0,1,1,0,0,1,1,1,3,9,0,1,1,0,0,0,2,0,576,21,719
,대저2동제2투,1198,717,13,385,134,36,7,2,2,27,9,24,0,1,1,10,0,0,16,1,1,0,0,1,1,2,0,2,1,0,1,3,0,1,1,0,0,682,35,481
,대저2동제3투,911,539,7,338,86,33,4,5,0,11,4,9,0,0,1,6,0,0,7,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,518,21,372
,대저2동제4투,1035,532,5,289,95,22,3,1,0,37,6,19,0,0,0,7,0,0,13,0,0,0,0,0,1,1,2,1,3,0,0,3,0,0,0,1,0,509,23,503
강동동,소계,4188,2760,57,1434,595,137,23,15,7,112,25,84,4,2,1,9,0,3,40,0,0,4,0,2,3,6,9,9,5,0,2,8,1,1,1,5,8,2612,148,1428
,관내사전투표,1006,1006,25,491,264,56,9,5,2,39,4,47,2,1,0,2,0,1,5,0,0,1,0,1,0,0,0,2,3,0,1,4,0,0,1,0,1,967,39,0
,강동동제1투,836,458,8,230,94,26,4,2,2,18,5,11,1,1,0,1,0,0,6,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,3,1,420,38,378
,강동동제2투,1281,727,11,414,131,20,6,3,0,33,10,10,1,0,1,3,0,2,21,0,0,0,0,0,1,0,6,3,2,0,0,3,1,1,0,0,4,687,40,554
,강동동제3투,1065,569,13,299,106,35,4,5,3,22,6,16,0,0,0,3,0,0,8,0,0,2,0,0,1,5,2,2,0,0,1,1,0,0,0,2,2,538,31,496
가락동,소계,2236,1508,27,737,367,88,10,5,5,61,10,45,2,1,2,5,1,0,33,1,0,4,2,1,0,3,2,3,4,0,3,2,1,1,2,0,1,1429,79,728
,관내사전투표,621,621,8,279,178,34,5,2,0,27,8,31,2,0,1,4,0,0,1,1,0,2,2,1,0,2,0,1,0,0,1,1,0,1,1,0,0,593,28,0
,가락동제1투,944,494,11,268,109,33,2,1,1,17,1,10,0,1,0,0,0,0,12,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,473,21,450
,가락동제2투,671,393,8,190,80,21,3,2,4,17,1,4,0,0,1,1,1,0,20,0,0,1,0,0,0,0,1,2,2,0,2,0,1,0,1,0,0,363,30,278
녹산동,소계,23042,12418,263,4523,3752,1038,79,81,24,741,45,536,13,5,3,148,3,11,319,5,9,15,20,1,15,47,29,20,53,2,9,40,12,2,7,6,7,11883,535,10624
,관내사전투표,1678,1678,33,551,624,136,8,8,1,83,6,127,0,0,0,12,0,1,10,1,3,1,1,1,1,2,3,1,5,0,0,5,0,0,1,0,0,1625,53,0
,녹산동제1투,779,405,3,230,65,21,4,1,0,12,6,10,0,0,0,3,0,0,25,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,386,19,374
,녹산동제2투,1702,790,13,414,185,31,8,10,5,37,4,18,1,0,0,5,0,0,10,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,2,749,41,912
,녹산동제3투,1016,466,8,253,76,35,4,4,1,26,0,12,0,0,0,6,0,1,8,0,1,0,1,0,0,3,1,1,1,0,2,1,2,0,0,0,1,448,18,550
,녹산동제4투,3721,1654,31,480,575,170,10,11,5,127,3,71,2,1,1,26,1,2,43,0,0,7,3,0,2,4,6,2,6,0,2,2,1,0,0,0,3,1597,57,2067
,녹산동제5투,3315,1523,37,603,409,114,4,8,3,99,3,44,1,1,0,29,0,3,49,0,2,3,3,0,1,10,4,2,7,1,0,6,0,0,4,4,0,1454,69,1792
,녹산동제6투,3042,1630,47,542,532,146,5,9,3,93,7,71,1,0,1,13,1,2,39,2,0,2,6,0,0,12,4,8,9,0,0,4,2,0,0,1,1,1563,67,1412
,녹산동제7투,3483,1894,36,676,549,183,13,17,1,107,8,77,4,0,0,25,0,1,71,1,0,0,5,0,3,12,4,1,10,0,3,11,4,0,0,1,0,1823,71,1589
,녹산동제8투,2829,1517,35,500,474,114,17,11,3,87,6,76,1,2,0,17,1,1,50,0,3,2,1,0,4,1,4,2,5,1,1,3,2,1,2,0,0,1427,90,1312
,녹산동제9투,1477,861,20,274,263,88,6,2,2,70,2,30,3,1,1,12,0,0,14,1,0,0,0,0,1,2,2,1,9,0,0,6,1,0,0,0,0,811,50,616
가덕도동,소계,2988,1946,40,908,478,109,12,21,7,63,17,67,1,0,1,20,0,1,46,1,0,5,1,0,1,2,4,12,5,1,0,6,0,0,3,1,2,1835,111,1042
,관내사전투표,711,711,12,298,229,39,6,5,2,30,2,38,0,0,0,5,0,0,9,0,0,2,0,0,0,2,0,2,2,0,0,1,0,0,0,1,0,685,26,0
,가덕도동제1투,980,476,12,217,109,34,2,7,2,16,3,11,0,0,0,8,0,0,18,0,0,2,1,0,0,0,3,3,2,0,0,2,0,0,2,0,1,455,21,504
,가덕도동제2투,781,472,10,258,71,24,2,7,2,9,6,10,0,0,1,3,0,0,18,0,0,1,0,0,0,0,1,4,0,1,0,2,0,0,0,0,1,431,41,309
,가덕도동제3투,516,287,6,135,69,12,2,2,1,8,6,8,1,0,0,4,0,1,1,1,0,0,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,264,23,229
금곡동,소계,32734,22390,486,8934,6323,1691,147,188,41,1173,145,878,22,8,10,180,12,12,505,9,13,32,34,5,17,60,35,70,116,6,12,70,15,1,7,21,24,21302,1088,10344
,관내사전투표,4978,4978,99,1706,1808,368,25,28,3,218,24,332,4,1,1,31,2,0,64,1,3,4,9,1,1,10,5,16,27,0,2,7,1,0,2,2,4,4809,169,0
,금곡동제1투,2341,1504,28,683,343,89,9,12,6,65,19,52,1,0,2,20,4,2,48,2,2,1,3,0,0,2,1,4,6,1,0,0,3,1,2,2,4,1417,87,837
,금곡동제2투,2232,1392,27,608,339,96,10,13,2,65,11,33,4,1,0,11,2,0,45,2,0,2,1,0,1,3,0,5,9,0,4,2,0,0,0,1,2,1299,93,840
,금곡동제3투,2200,1380,29,636,353,88,8,11,1,76,4,36,1,0,2,6,0,0,55,0,1,1,0,0,0,1,2,0,8,0,1,2,1,0,0,0,3,1326,54,820
,금곡동제4투,2311,1641,30,753,405,131,11,15,1,79,9,63,2,0,1,16,0,1,29,1,0,4,0,0,3,7,2,6,7,0,0,8,1,0,0,1,0,1586,55,670
,금곡동제5투,1582,988,35,501,171,44,13,11,7,34,9,22,0,1,0,8,2,1,25,0,1,1,1,0,4,4,3,5,4,2,0,3,2,0,0,6,1,921,67,594
,금곡동제6투,1738,1049,29,442,264,68,12,9,0,68,4,25,0,0,1,7,0,0,29,0,0,1,3,0,0,4,4,3,9,0,1,4,0,0,0,4,0,991,58,689
,금곡동제7투,2382,1448,33,594,386,120,8,16,2,84,8,47,0,0,1,10,0,2,18,0,1,1,0,1,0,5,3,9,12,1,0,12,0,0,0,0,2,1376,72,934
,금곡동제8투,1997,1125,36,512,201,59,15,7,10,37,20,23,1,2,1,9,1,3,28,1,1,5,0,1,1,4,7,5,0,1,1,3,0,0,1,1,2,999,126,872
,금곡동제9투,1822,1178,29,458,314,100,6,7,1,88,2,41,2,0,0,11,0,0,30,0,3,2,1,0,1,4,1,3,7,0,0,3,2,0,0,2,1,1119,59,644
,금곡동제10투,2628,1424,24,525,369,134,11,17,0,85,14,49,0,2,0,22,0,0,67,0,0,3,3,0,1,7,3,3,5,0,0,4,2,0,0,0,2,1352,72,1204
,금곡동제11투,3249,2121,44,739,697,187,13,19,4,113,9,75,6,0,1,21,1,1,30,1,0,2,6,1,2,2,3,7,9,1,3,14,3,0,2,1,0,2017,104,1128
,금곡동제12투,3274,2162,43,777,673,207,6,23,4,161,12,80,1,1,0,8,0,2,37,1,1,5,7,1,3,7,1,4,13,0,0,8,0,0,0,1,3,2090,72,1112
화명제1동,소계,32934,23718,389,9597,6859,1918,106,157,20,1712,76,1063,14,5,8,145,8,10,408,14,4,23,63,0,8,54,46,50,179,0,16,64,14,1,12,12,5,23060,658,9216
,관내사전투표,5149,5148,75,1786,1832,406,20,40,5,294,12,372,4,1,1,25,1,3,41,3,3,8,18,0,1,13,7,8,38,0,1,2,2,0,3,5,0,5030,118,1
,화명제1동제1투,2713,1589,36,580,491,132,9,10,2,117,9,47,3,0,1,12,0,0,36,2,0,2,4,0,0,4,5,6,15,0,3,3,0,0,0,1,0,1530,59,1124
,화명제1동제2투,3437,2155,42,830,630,175,8,19,2,171,10,77,3,1,2,20,0,1,45,2,0,3,4,0,1,2,3,6,12,0,0,9,2,0,0,1,0,2081,74,1282
,화명제1동제3투,2150,1485,15,595,428,144,13,10,1,110,2,45,0,0,0,7,0,1,30,1,0,3,5,0,1,4,3,4,15,0,1,5,1,0,2,1,0,1447,38,665
,화명제1동제4투,2135,1402,34,541,389,124,2,10,0,90,9,63,1,0,0,9,0,0,44,0,0,0,4,0,1,7,3,3,13,0,0,2,1,0,2,0,2,1354,48,733
,화명제1동제5투,3791,2499,47,1035,736,206,12,14,1,161,4,102,0,1,0,12,2,1,41,1,0,2,3,0,0,8,5,6,21,0,1,12,0,0,2,1,1,2438,61,1292
