읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,210199,144022,3571,62992,35855,10559,1057,957,180,8775,729,6190,129,35,51,1097,54,55,2542,45,36,129,477,19,63,272,219,353,993,28,91,542,92,16,49,70,96,138418,5604,66177
거소·선상투표,,465,439,26,138,114,34,9,1,2,30,5,14,5,1,0,5,0,0,1,0,1,0,0,0,2,1,1,0,0,2,0,0,2,0,0,0,0,394,45,26
관외사전투표,,11958,11954,420,3815,3527,1160,46,109,20,844,20,758,35,6,10,118,6,14,98,9,2,22,47,2,8,20,22,52,121,4,13,33,15,2,5,9,11,11403,551,4
재외투표,,858,223,4,47,84,30,1,1,0,8,0,28,0,0,1,0,0,0,5,1,1,0,0,0,0,0,2,2,1,0,0,2,0,0,0,0,0,218,5,635
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서제1동,소계,5898,3452,110,1683,773,179,34,31,4,114,36,98,2,0,1,24,3,2,68,1,3,1,5,0,4,9,11,13,17,1,4,10,4,0,4,6,3,3258,194,2446
,관내사전투표,1178,1178,38,535,307,63,12,10,2,40,12,47,0,0,1,6,1,0,11,0,1,0,1,0,1,3,3,7,3,1,0,0,1,0,3,2,1,1112,66,0
,서제1동제1투,3161,1417,43,722,289,74,11,10,1,50,13,30,1,0,0,13,1,2,35,0,0,1,2,0,2,5,7,5,8,0,2,7,0,0,1,2,1,1338,79,1744
,서제1동제2투,1559,857,29,426,177,42,11,11,1,24,11,21,1,0,0,5,1,0,22,1,2,0,2,0,1,1,1,1,6,0,2,3,3,0,0,2,1,808,49,702
서제2동,소계,9107,5601,151,2666,1295,338,74,38,12,222,46,142,5,1,3,50,2,5,113,1,1,8,7,2,1,12,9,11,30,2,5,23,2,1,4,4,5,5291,310,3506
,관내사전투표,1841,1841,41,867,513,111,21,14,0,59,20,67,0,1,0,6,0,1,10,0,0,2,2,0,0,2,4,1,11,1,0,5,0,0,0,1,2,1762,79,0
,서제2동제1투,2703,1460,47,686,319,96,16,8,6,53,5,29,3,0,1,20,1,3,34,1,0,1,2,1,1,3,3,2,5,1,1,7,1,1,2,2,1,1362,98,1243
,서제2동제2투,2318,1100,31,537,199,48,24,7,3,56,13,19,1,0,1,15,0,1,41,0,1,3,1,1,0,3,1,6,8,0,1,5,1,0,1,0,0,1028,72,1218
,서제2동제3투,2245,1200,32,576,264,83,13,9,3,54,8,27,1,0,1,9,1,0,28,0,0,2,2,0,0,4,1,2,6,0,3,6,0,0,1,1,2,1139,61,1045
서제3동,소계,10186,6164,156,3017,1485,315,64,37,6,245,57,184,4,5,1,54,7,1,108,0,3,8,10,2,7,14,10,16,25,1,6,10,3,2,6,4,5,5878,286,4022
,관내사전투표,2002,2002,33,931,566,102,24,13,1,73,17,88,2,2,1,10,4,0,14,0,0,1,1,2,2,2,4,2,9,0,4,1,0,1,4,0,1,1915,87,0
,서제3동제1투,2117,1117,33,602,239,47,8,6,0,45,6,31,0,1,0,13,1,0,25,0,1,0,3,0,1,3,3,2,2,0,1,2,1,0,2,1,1,1080,37,1000
,서제3동제2투,2180,1190,40,567,290,58,14,7,2,43,13,30,1,0,0,10,0,0,29,0,0,2,2,0,1,3,1,3,4,0,1,2,2,1,0,1,2,1129,61,990
,서제3동제3투,2256,986,29,492,211,54,11,5,1,40,14,19,0,0,0,13,0,0,22,0,1,3,2,0,1,2,2,4,3,0,0,3,0,0,0,2,0,934,52,1270
,서제3동제4투,1631,869,21,425,179,54,7,6,2,44,7,16,1,2,0,8,2,1,18,0,1,2,2,0,2,4,0,5,7,1,0,2,0,0,0,0,1,820,49,762
부곡제1동,소계,8208,5403,134,2559,1297,313,60,41,9,236,42,172,6,0,2,34,2,1,82,3,3,4,4,0,5,13,9,14,33,1,5,24,3,0,2,1,6,5120,283,2805
,관내사전투표,2368,2368,56,1073,645,140,19,21,3,97,11,116,2,0,0,12,0,1,20,1,1,3,1,0,2,5,6,7,9,0,1,4,1,0,1,1,3,2262,106,0
,부곡제1동제1투,1479,736,16,355,171,42,16,7,0,38,6,10,1,0,0,4,0,0,15,2,0,0,1,0,0,0,1,2,5,0,0,5,1,0,0,0,0,698,38,743
,부곡제1동제2투,2743,1420,36,734,292,77,12,5,3,70,10,26,2,0,0,9,1,0,24,0,0,1,1,0,1,5,2,3,12,0,1,8,1,0,0,0,1,1337,83,1323
,부곡제1동제3투,1618,879,26,397,189,54,13,8,3,31,15,20,1,0,2,9,1,0,23,0,2,0,1,0,2,3,0,2,7,1,3,7,0,0,1,0,2,823,56,739
부곡제2동,소계,13877,9509,227,4107,2394,737,78,57,18,635,51,437,6,1,2,77,2,1,112,2,4,12,37,1,5,16,15,22,83,1,9,31,6,0,2,9,0,9197,312,4368
