읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,460663,316462,5708,146035,68620,21128,1631,809,400,28680,997,16383,169,54,67,1550,72,100,7129,87,57,127,1048,20,73,546,410,790,2617,40,123,1761,144,35,77,75,137,307699,8763,144201
거소·선상투표,,564,531,15,223,104,43,1,4,3,36,2,19,1,0,0,7,2,2,9,0,0,0,1,1,0,6,0,2,0,0,0,1,0,0,0,0,2,484,47,33
관외사전투표,,33829,33800,785,12619,9223,2665,125,119,57,2819,84,2547,32,7,16,208,9,6,415,12,8,31,151,2,7,64,70,138,291,10,17,99,23,8,13,13,24,32717,1083,29
재외투표,,5378,1036,12,434,255,67,3,1,0,53,2,133,0,0,0,4,0,2,22,0,0,0,5,0,1,1,9,2,4,0,0,6,0,0,1,0,2,1019,17,4342
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신사동,소계,13991,9442,149,5252,1593,456,38,13,7,737,30,397,4,2,2,35,0,2,242,1,1,3,31,1,0,12,7,13,76,1,3,56,10,2,2,1,3,9182,260,4549
,관내사전투표,2716,2715,48,1281,655,147,7,4,1,189,11,206,1,1,1,15,0,0,42,0,0,1,10,0,0,3,4,3,18,0,1,3,1,1,0,1,1,2656,59,1
,신사동제1투,2370,1177,19,629,192,58,5,0,1,121,4,38,1,0,0,7,0,0,45,0,0,0,4,0,0,3,1,0,9,0,0,8,2,1,1,0,0,1149,28,1193
,신사동제2투,1712,844,25,343,196,59,4,2,0,83,4,33,1,0,0,2,0,2,18,1,1,0,6,0,0,1,0,4,7,1,0,8,4,0,0,0,0,805,39,868
,신사동제3투,1829,1008,25,369,276,85,6,5,1,70,2,53,1,0,1,6,0,0,24,0,0,2,2,1,0,1,0,0,18,0,1,6,2,0,1,0,0,958,50,821
,신사동제4투,2842,1925,14,1441,117,46,10,0,1,125,6,28,0,0,0,0,0,0,48,0,0,0,4,0,0,2,2,3,13,0,0,19,0,0,0,0,1,1880,45,917
,신사동제5투,2522,1773,18,1189,157,61,6,2,3,149,3,39,0,1,0,5,0,0,65,0,0,0,5,0,0,2,0,3,11,0,1,12,1,0,0,0,1,1734,39,749
